source,outer_step,inner_step,loss,l1,l2,l3,grad_norm,delta_norm,z_mean,z_std
vpred,0,0,60787.7109375,1.0,1.003923773765564,60023.4921875,585925.625,0.33965030312538147,-0.07687792181968689,0.076484814286232
vpred,0,1,57113.3203125,1.0,0.9806035757064819,56424.7265625,557230.8125,0.32273468375205994,-0.08452337980270386,0.07622771710157394
vpred,1,0,50638.33203125,0.9375624991953373,0.9601206183433533,50071.6875,492184.3125,0.3181762993335724,-0.19389581680297852,0.1340518444776535
vpred,1,1,47926.87890625,0.9375624991953373,0.9392120838165283,47412.1796875,468039.65625,0.3053025007247925,-0.19710800051689148,0.13249070942401886
vpred,2,0,51430.0546875,0.8751249983906746,0.9236804842948914,50852.1796875,500219.65625,0.31555506587028503,-0.24749097228050232,0.19302301108837128
vpred,2,1,48650.109375,0.8751249983906746,0.9139490723609924,48125.703125,475730.53125,0.30755677819252014,-0.24871587753295898,0.1890357881784439
vpred,3,0,55180.3203125,0.8126875013113022,0.9015892148017883,54527.6796875,535543.4375,0.3290078639984131,-0.2784215807914734,0.2670774757862091
vpred,3,1,52037.6171875,0.8126875013113022,0.8964162468910217,51445.8203125,509299.78125,0.33545196056365967,-0.27835649251937866,0.2606842815876007
vpred,4,0,62755.16015625,0.7502499967813492,0.8842094540596008,61948.8359375,600422.875,0.3471638858318329,-0.28501778841018677,0.32808995246887207
vpred,4,1,58886.5625,0.7502499967813492,0.8811798691749573,58155.40625,570987.0,0.33740901947021484,-0.2844361662864685,0.31910932064056396
vpred,5,0,60712.640625,0.8571428571428572,0.9687994122505188,59822.53515625,316031.65625,4.485540866851807,-0.28526195883750916,0.3154866695404053
vpred,5,1,56421.03125,0.8571428571428572,0.9461521506309509,55612.265625,300609.125,4.476674556732178,-0.2843356430530548,0.31360551714897156
vpred,6,0,62159.39453125,0.7679464274219104,0.9276263117790222,61235.1640625,321750.34375,4.211954116821289,-0.2984507083892822,0.32715243101119995
vpred,6,1,57721.6953125,0.7679464274219104,0.9132927060127258,56883.5,306012.4375,4.375613689422607,-0.2967303991317749,0.32492437958717346
vpred,7,0,63877.13671875,0.6787499977009637,0.9014298915863037,62918.1640625,328205.875,4.521172046661377,-0.30258530378341675,0.34356528520584106
vpred,7,1,59272.59375,0.6787499977009637,0.8944699168205261,58402.359375,312146.90625,4.50655460357666,-0.3011460602283478,0.3400474488735199
vpred,8,0,67504.2109375,0.5895535733018603,0.8883490562438965,66471.875,341409.53125,4.421819686889648,-0.3120554983615875,0.36991843581199646
vpred,8,1,62546.33984375,0.5895535733018603,0.8850907683372498,61616.51171875,324683.46875,4.365529537200928,-0.3111208379268646,0.36551904678344727
vpred,9,0,70414.125,0.5003571382590702,0.8862336874008179,69319.21875,350870.84375,4.203054428100586,-0.3246101438999176,0.3978334665298462
vpred,9,1,65169.4140625,0.5003571382590702,0.8910282850265503,64183.5859375,333657.53125,3.4762754440307617,-0.3229273557662964,0.3907000720500946
vpred,10,0,62331.078125,0.6666666666666667,0.9729053974151611,61196.140625,177346.875,28.01919174194336,-0.2872827351093292,0.3697512447834015
vpred,10,1,56854.81640625,0.6666666666666667,0.9521626830101013,55821.8125,168664.515625,27.456331253051758,-0.28660786151885986,0.41028401255607605
vpred,11,0,57281.94921875,0.5626041653255622,0.9329240918159485,56243.6171875,168375.234375,27.257291793823242,-0.26747390627861023,0.34306421875953674
vpred,11,1,52291.015625,0.5626041653255622,0.9168189167976379,51351.203125,160143.0,27.668067932128906,-0.2670614719390869,0.38748443126678467
vpred,12,0,53568.30859375,0.45854166398445767,0.9035221338272095,52601.5390625,161523.40625,27.863014221191406,-0.25919026136398315,0.32824331521987915
vpred,12,1,48935.69921875,0.45854166398445767,0.8923327326774597,48066.3359375,153631.21875,28.301401138305664,-0.26021608710289,0.3738812506198883
vpred,13,0,49356.5859375,0.35447916885217035,0.8829163312911987,48471.05859375,154131.6875,27.167211532592773,-0.2600930631160736,0.32317349314689636
vpred,13,1,45113.63671875,0.35447916885217035,0.8790175914764404,44317.8984375,146572.5,27.7824649810791,-0.25932252407073975,0.37043705582618713
vpred,14,0,45686.4453125,0.25041666130224866,0.8779886364936829,44872.3515625,147447.953125,27.7053279876709,-0.26514673233032227,0.363340824842453
vpred,14,1,41792.65234375,0.25041666130224866,0.8858252167701721,41061.9296875,140219.640625,28.103099822998047,-0.265455961227417,0.4109690487384796
vpred,15,0,42788.96875,0.3999999999999999,0.9699063897132874,41958.62109375,82460.8125,116.09346008300781,-0.2305203676223755,0.4277994930744171
vpred,15,1,38790.1015625,0.3999999999999999,0.9488381743431091,38038.0078125,78474.0703125,116.22615814208984,-0.23198716342449188,0.5682884454727173
vpred,16,0,38874.1015625,0.3000999987125396,0.9291875958442688,38122.4609375,78682.671875,117.21283721923828,-0.20951467752456665,0.4424740970134735
vpred,16,1,35250.7890625,0.3000999987125396,0.9106932878494263,34566.63671875,74883.8828125,117.17282104492188,-0.21106362342834473,0.5417052507400513
vpred,17,0,35679.8828125,0.2001999974250793,0.8953981995582581,34986.6875,75561.4140625,121.16773986816406,-0.19696001708507538,0.44984108209609985
vpred,17,1,32354.189453125,0.2001999974250793,0.8842388987541199,31726.326171875,71920.3046875,120.33641815185547,-0.196283757686615,0.47817903757095337
vpred,18,0,32738.46875,0.10030000209808347,0.8763541579246521,32097.81640625,72736.8828125,135.73953247070312,-0.18592539429664612,0.4232326149940491
vpred,18,1,29681.306640625,0.10030000209808347,0.8738176226615906,29104.107421875,69251.921875,131.32171630859375,-0.17238712310791016,0.39232590794563293
exppred,0,0,60787.7109375,1.0,1.003923773765564,60023.4921875,585925.625,0.33965030312538147,-0.07687792181968689,0.076484814286232
exppred,0,1,57113.3203125,1.0,0.9806035757064819,56424.7265625,557230.8125,0.32273468375205994,-0.08452337980270386,0.07622771710157394
exppred,1,0,50638.33203125,0.9375624991953373,0.9601206183433533,50071.6875,492184.3125,0.3181762993335724,-0.19389581680297852,0.1340518444776535
exppred,1,1,47926.87890625,0.9375624991953373,0.9392120838165283,47412.1796875,468039.65625,0.3053025007247925,-0.19710800051689148,0.13249070942401886
exppred,2,0,51430.0546875,0.8751249983906746,0.9236804842948914,50852.1796875,500219.65625,0.31555506587028503,-0.24749097228050232,0.19302301108837128
exppred,2,1,48650.109375,0.8751249983906746,0.9139490723609924,48125.703125,475730.53125,0.30755677819252014,-0.24871587753295898,0.1890357881784439
exppred,3,0,55180.3203125,0.8126875013113022,0.9015892148017883,54527.6796875,535543.4375,0.3290078639984131,-0.2784215807914734,0.2670774757862091
exppred,3,1,52037.6171875,0.8126875013113022,0.8964162468910217,51445.8203125,509299.78125,0.33545196056365967,-0.27835649251937866,0.2606842815876007
exppred,4,0,62755.16015625,0.7502499967813492,0.8842094540596008,61948.8359375,600422.875,0.3471638858318329,-0.28501778841018677,0.32808995246887207
exppred,4,1,58886.5625,0.7502499967813492,0.8811798691749573,58155.40625,570987.0,0.33740901947021484,-0.2844361662864685,0.31910932064056396
exppred,5,0,60712.640625,0.8571428571428572,0.9687994122505188,59822.53515625,316031.65625,4.485540866851807,-0.28526195883750916,0.3154866695404053
exppred,5,1,56421.03125,0.8571428571428572,0.9461521506309509,55612.265625,300609.125,4.476674556732178,-0.2843356430530548,0.31360551714897156
exppred,6,0,62159.39453125,0.7679464274219104,0.9276263117790222,61235.1640625,321750.34375,4.211954116821289,-0.2984507083892822,0.32715243101119995
exppred,6,1,57721.6953125,0.7679464274219104,0.9132927060127258,56883.5,306012.4375,4.375613689422607,-0.2967303991317749,0.32492437958717346
exppred,7,0,63877.13671875,0.6787499977009637,0.9014298915863037,62918.1640625,328205.875,4.521172046661377,-0.30258530378341675,0.34356528520584106
exppred,7,1,59272.59375,0.6787499977009637,0.8944699168205261,58402.359375,312146.90625,4.50655460357666,-0.3011460602283478,0.3400474488735199
exppred,8,0,67504.2109375,0.5895535733018603,0.8883490562438965,66471.875,341409.53125,4.421819686889648,-0.3120554983615875,0.36991843581199646
exppred,8,1,62546.33984375,0.5895535733018603,0.8850907683372498,61616.51171875,324683.46875,4.365529537200928,-0.3111208379268646,0.36551904678344727
exppred,9,0,70414.125,0.5003571382590702,0.8862336874008179,69319.21875,350870.84375,4.203054428100586,-0.3246101438999176,0.3978334665298462
exppred,9,1,65169.4140625,0.5003571382590702,0.8910282850265503,64183.5859375,333657.53125,3.4762754440307617,-0.3229273557662964,0.3907000720500946
exppred,10,0,62331.078125,0.6666666666666667,0.9729053974151611,61196.140625,177346.875,28.01919174194336,-0.2872827351093292,0.3697512447834015
exppred,10,1,56854.81640625,0.6666666666666667,0.9521626830101013,55821.8125,168664.515625,27.456331253051758,-0.28660786151885986,0.41028401255607605
exppred,11,0,57281.94921875,0.5626041653255622,0.9329240918159485,56243.6171875,168375.234375,27.257291793823242,-0.26747390627861023,0.34306421875953674
exppred,11,1,52291.015625,0.5626041653255622,0.9168189167976379,51351.203125,160143.0,27.668067932128906,-0.2670614719390869,0.38748443126678467
exppred,12,0,53568.30859375,0.45854166398445767,0.9035221338272095,52601.5390625,161523.40625,27.863014221191406,-0.25919026136398315,0.32824331521987915
exppred,12,1,48935.69921875,0.45854166398445767,0.8923327326774597,48066.3359375,153631.21875,28.301401138305664,-0.26021608710289,0.3738812506198883
exppred,13,0,49356.5859375,0.35447916885217035,0.8829163312911987,48471.05859375,154131.6875,27.167211532592773,-0.2600930631160736,0.32317349314689636
exppred,13,1,45113.63671875,0.35447916885217035,0.8790175914764404,44317.8984375,146572.5,27.7824649810791,-0.25932252407073975,0.37043705582618713
exppred,14,0,45686.4453125,0.25041666130224866,0.8779886364936829,44872.3515625,147447.953125,27.7053279876709,-0.26514673233032227,0.363340824842453
exppred,14,1,41792.65234375,0.25041666130224866,0.8858252167701721,41061.9296875,140219.640625,28.103099822998047,-0.265455961227417,0.4109690487384796
exppred,15,0,42788.96875,0.3999999999999999,0.9699063897132874,41958.62109375,82460.8125,116.09346008300781,-0.2305203676223755,0.4277994930744171
exppred,15,1,38790.1015625,0.3999999999999999,0.9488381743431091,38038.0078125,78474.0703125,116.22615814208984,-0.23198716342449188,0.5682884454727173
exppred,16,0,38874.1015625,0.3000999987125396,0.9291875958442688,38122.4609375,78682.671875,117.21283721923828,-0.20951467752456665,0.4424740970134735
exppred,16,1,35250.7890625,0.3000999987125396,0.9106932878494263,34566.63671875,74883.8828125,117.17282104492188,-0.21106362342834473,0.5417052507400513
exppred,17,0,35679.8828125,0.2001999974250793,0.8953981995582581,34986.6875,75561.4140625,121.16773986816406,-0.19696001708507538,0.44984108209609985
exppred,17,1,32354.189453125,0.2001999974250793,0.8842388987541199,31726.326171875,71920.3046875,120.33641815185547,-0.196283757686615,0.47817903757095337
exppred,18,0,32738.46875,0.10030000209808347,0.8763541579246521,32097.81640625,72736.8828125,135.73953247070312,-0.18592539429664612,0.4232326149940491
exppred,18,1,29681.306640625,0.10030000209808347,0.8738176226615906,29104.107421875,69251.921875,131.32171630859375,-0.17238712310791016,0.39232590794563293
