Config                              Res  PSNR_obs  PSNR_all    Time
--------------------------------------------------------------------
box_baseline                         41     39.78     13.23  154.8s
box_lam10                            35     40.48     12.60  168.3s
box_lam20                            37     40.31     13.03  163.9s
box_lam30                            38     40.13     13.20  158.4s
box_nb_clip100                       77     37.07     12.74  145.9s
box_nb_clip1k                      5038     18.92     11.26  142.1s
box_nb_h0.005                        39     40.08     13.15  154.2s
box_nb_h0.01                        249     31.98     12.80  150.9s
box_nb_h0.02                       1431     24.39     12.16  143.6s
box_nb_h0.05                       9082     16.36      8.59  138.0s
box_nb_h0.10                      35849     10.40      6.57  135.7s
box_nb_staged_A                      80     36.94     11.64  154.5s
box_nb_staged_B                     731     27.31      9.12  152.3s
box_tik_l100_20s                      3     51.63      8.86   31.4s
box_tik_l50_20s                       1     57.67      8.81   32.8s
box_tik_l50_30s                       0     59.61      8.67   47.9s
box_tik_lam100                        7     47.75      9.25   17.2s
box_tik_lam200                       29     41.27      9.30   16.3s
box_tik_lam25                         0     59.37      9.13   18.8s
box_tik_lam50                         2     53.85      9.20   17.8s
box_tik_stgA                          7     47.73      9.21   18.1s
box_tik_stgB                         30     41.24      9.23   17.5s
random_baseline                      58     38.33     17.06  136.5s
random_lam10                         49     39.00     10.86  152.9s
random_lam20                         51     38.84     14.30  144.8s
random_lam30                         53     38.67     15.73  140.3s
random_nb_clip100                    41     39.80     16.42  135.2s
random_nb_clip1k                     61     38.07      6.67  135.2s
random_nb_h0.005                     53     38.69     14.54  138.4s
random_nb_h0.01                      54     38.62     11.52  139.5s
random_nb_h0.02                      56     38.49      8.44  139.5s
random_nb_h0.05                     248     32.01      7.20  164.0s
random_nb_h0.10                     876     26.52      6.19  205.0s
random_nb_staged_A                   54     38.64      3.69  149.0s
random_nb_staged_B                   52     38.82      2.54  136.2s
random_tik_l100_20s                   2     52.49     14.70   28.0s
random_tik_l50_20s                    1     58.66     14.43   28.9s
random_tik_l50_30s                    0     60.90     14.27   42.0s
random_tik_lam100                     6     48.30     15.21   15.1s
random_tik_lam200                    26     41.74     15.37   14.8s
random_tik_lam25                      0     60.24     14.44   16.2s
random_tik_lam50                      1     54.50     14.88   15.6s
random_tik_stgA                       6     48.31     14.92   23.0s
random_tik_stgB                      25     41.92     15.07   24.3s

TOP 5:
  1. random_baseline: PSNR_all=17.06  res=58  t=136.5s
  2. random_nb_clip100: PSNR_all=16.42  res=41  t=135.2s
  3. random_lam30: PSNR_all=15.73  res=53  t=140.3s
  4. random_tik_lam200: PSNR_all=15.37  res=26  t=14.8s
  5. random_tik_lam100: PSNR_all=15.21  res=6  t=15.1s
