rank_balanced,name,source,psnr,psnr_unobs,ssim,lpips,hf,dhf,balanced_score,time_sec,kw
1,C_L5,larger_box_initial,17.509,11.488,0.8438,0.1295,0.6441,0.0110,0.1295,154,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 5}"
2,C_L10,larger_box_initial,16.595,10.575,0.8508,0.1252,0.6960,0.0408,0.1333,260,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 10}"
3,N_cfg2,exploration,18.294,12.273,0.8504,0.1339,0.6767,0.0165,0.1339,247,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""guidance_scale"": 2.0}"
4,A_he1e-3,larger_box_initial,18.376,12.355,0.8722,0.1345,0.6887,0.0438,0.1345,292,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 10}"
5,N_L_5510,exploration,17.468,11.448,0.8474,0.1350,0.6512,0.0172,0.1350,219,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": [5, 5, 5, 10], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
6,A_he2e-3,larger_box_initial,19.201,13.180,0.8758,0.1352,0.6849,0.0400,0.1352,268,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.002, ""num_langevin"": 10}"
7,C_L15,larger_box_initial,16.866,10.846,0.8538,0.1330,0.6983,0.0431,0.1357,399,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 15}"
8,G_hx_uni3,exploration,16.829,10.808,0.8444,0.1328,0.6525,0.0071,0.1363,159,"{""h_x"": 0.3, ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
9,N_L_3_5_5_10,exploration,17.707,11.687,0.8481,0.1383,0.6489,0.0195,0.1383,218,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": [3, 5, 5, 10], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
10,A_he5e-3,larger_box_initial,19.944,13.924,0.8818,0.1394,0.6834,0.0386,0.1394,283,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.005, ""num_langevin"": 10}"
11,N_he_inc_n01,exploration,17.717,11.697,0.8355,0.1404,0.6181,0.0503,0.1405,150,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": [0.001, 0.001, 0.002, 0.005], ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
12,N_cfg2_n01,exploration,18.284,12.264,0.8377,0.1416,0.6757,0.0156,0.1416,259,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0, ""guidance_scale"": 2.0}"
13,N_wls,exploration,18.013,11.993,0.8448,0.1430,0.6738,0.0136,0.1430,130,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""x1_init_mode"": ""wls""}"
14,G_hx_hi,exploration,17.806,11.785,0.8442,0.1433,0.6101,0.0495,0.1433,146,"{""h_x"": [0.1, 0.1, 0.1, 1.0], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
15,B_he_w1+s3vlow,larger_box_initial,17.895,11.875,0.8375,0.1434,0.6661,0.0192,0.1434,262,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.001, 0.001, 0.001, 1e-05], ""num_langevin"": 10}"
16,N_n01_lr100_hx05,exploration,18.562,12.541,0.8416,0.1445,0.6505,0.0096,0.1445,143,"{""h_x"": [0.1, 0.1, 0.1, 0.5], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 100.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
17,G_hx_late2,exploration,17.693,11.672,0.8422,0.1454,0.6173,0.0423,0.1454,156,"{""h_x"": [0.1, 0.1, 0.3, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
18,A_he1e-2,larger_box_initial,20.703,14.682,0.8901,0.1459,0.6871,0.0423,0.1459,289,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.01, ""num_langevin"": 10}"
19,C_L20,larger_box_initial,17.256,11.235,0.8556,0.1418,0.7159,0.0608,0.1472,507,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": 20}"
20,N_he_dec_L5,exploration,19.565,13.545,0.8658,0.1473,0.6471,0.0131,0.1473,140,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": [0.005, 0.002, 0.001, 0.001], ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
21,G_hx_lo,exploration,17.968,11.948,0.8439,0.1416,0.5894,0.0702,0.1517,143,"{""h_x"": [0.1, 0.1, 0.1, 0.4], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
22,F_lr100_C5,exploration,17.989,11.969,0.8441,0.1408,0.5856,0.0741,0.1528,157,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 100.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
23,F_lr200_C5,exploration,18.032,12.012,0.8430,0.1399,0.5780,0.0816,0.1557,147,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 200.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
24,M_C10_repeat,exploration,17.736,11.715,0.8306,0.1566,0.6411,0.0273,0.1566,274,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 10, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
25,N_n03_lr100_ode15,exploration,18.282,12.261,0.8123,0.1568,0.6645,0.0043,0.1568,173,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 100.0, ""noise_scale"": 0.3, ""terminal_replace_weight"": 1.0, ""ode_steps_per_stage"": [10, 10, 10, 15]}"
26,B_he_v,larger_box_initial,20.211,14.190,0.8548,0.1527,0.6245,0.0608,0.1581,288,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.001, 0.01, 0.01, 0.001], ""num_langevin"": 10}"
27,B_he_dec_steep,larger_box_initial,19.886,13.865,0.8520,0.1601,0.6808,0.0037,0.1601,294,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.01, 0.001, 0.0001, 1e-05], ""num_langevin"": 10}"
28,B_he_dec,larger_box_initial,20.406,14.386,0.8534,0.1629,0.6474,0.0372,0.1629,289,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.01, 0.005, 0.002, 0.001], ""num_langevin"": 10}"
29,B_he_lowall,larger_box_initial,17.888,11.867,0.8357,0.1604,0.6360,0.0666,0.1687,300,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.001, 0.001, 0.001, 0.0001], ""num_langevin"": 10}"
30,D_L_s3hi,larger_box_initial,17.409,11.388,0.8205,0.1689,0.7237,0.0377,0.1689,413,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": [10, 10, 10, 20]}"
31,D_L_lowall,larger_box_initial,17.628,11.608,0.8247,0.1693,0.5985,0.0419,0.1693,103,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": [3, 3, 3, 3]}"
32,A_he5e-4,larger_box_initial,16.697,10.677,0.8162,0.1671,0.6767,0.0310,0.1732,284,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.0005, ""num_langevin"": 10}"
33,N_obs_hi,exploration,16.852,10.831,0.8188,0.1560,0.6186,0.0792,0.1736,156,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_x_obs_ratio"": 2.0}"
34,F_lr25_C5,exploration,17.201,11.181,0.8104,0.1705,0.6091,0.0562,0.1736,158,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 25.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0}"
35,K_ode_s3_20,exploration,17.215,11.194,0.8081,0.1750,0.6088,0.0505,0.1753,237,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""ode_steps_per_stage"": [10, 10, 10, 20]}"
36,D_L_s3low,larger_box_initial,17.655,11.634,0.8276,0.1602,0.6037,0.0824,0.1764,216,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": 0.001, ""num_langevin"": [10, 10, 10, 5]}"
37,N_n01_ode15,exploration,17.656,11.635,0.8135,0.1613,0.6139,0.0839,0.1783,206,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0, ""ode_steps_per_stage"": [10, 10, 10, 15]}"
38,N_n01_hxlate,exploration,17.630,11.609,0.8091,0.1671,0.5939,0.0745,0.1794,144,"{""h_x"": [0.1, 0.1, 0.3, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
39,N_n01_hx1,exploration,17.582,11.561,0.8058,0.1688,0.5971,0.0714,0.1795,153,"{""h_x"": [0.1, 0.1, 0.1, 1.0], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
40,E_N03_C10,exploration,17.412,11.392,0.7895,0.1795,0.6167,0.0486,0.1795,290,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 10, ""lambda_reg"": 50.0, ""noise_scale"": 0.3, ""terminal_replace_weight"": 1.0}"
41,E_N01_C10,exploration,17.492,11.471,0.8118,0.1796,0.6243,0.0409,0.1796,287,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 10, ""lambda_reg"": 50.0, ""noise_scale"": 0.1, ""terminal_replace_weight"": 1.0}"
42,K_ode_s3_15,exploration,17.269,11.249,0.8090,0.1726,0.5950,0.0643,0.1798,213,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""ode_steps_per_stage"": [10, 10, 10, 15]}"
43,H_resetEps,exploration,20.331,14.310,0.8136,0.1799,0.6827,0.0143,0.1799,138,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""h_epsilon"": 0.001, ""num_langevin"": 5, ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""reset_eps_per_ode_step"": true}"
44,B_he_s3vlow,larger_box_initial,20.263,14.242,0.8564,0.1703,0.6316,0.0711,0.1809,297,"{""h_x"": [0.1, 0.1, 0.1, 0.7], ""lambda_reg"": 50.0, ""noise_scale"": 0.0, ""terminal_replace_weight"": 1.0, ""h_epsilon"": [0.01, 0.01, 0.01, 0.0001], ""num_langevin"": 10}"
