stage,tau,gamma2_all,std_across_images,n_images
0,0.0,0.015347093718126417,0.008480415588152178,50000
0,0.111,0.015353579482529313,0.00811628629256587,50000
0,0.222,0.014371499708388,0.006951366437691467,50000
0,0.333,0.013303451071958988,0.005989904037837332,50000
0,0.444,0.012393907661084086,0.005316123843919336,50000
0,0.555,0.011647834467701615,0.004829402871796719,50000
0,0.666,0.0110342050162144,0.00446831651739637,50000
0,0.777,0.010528854842763394,0.0041952843397000915,50000
0,0.888,0.010108030313625931,0.003982051606863966,50000
0,0.999,0.009770274467300624,0.003826757762806603,50000
1,0.0,0.019326792567037045,0.007797005276160883,50000
1,0.111,0.017752951610833408,0.007285428228750743,50000
1,0.222,0.016621877911500632,0.006953529499405676,50000
1,0.333,0.01578693637670949,0.0067365015983348086,50000
1,0.444,0.015169071976095438,0.006613462297073678,50000
1,0.555,0.014728917451575398,0.006552575138885554,50000
1,0.666,0.014430135814473033,0.006531785294916474,50000
1,0.777,0.014257467959076167,0.006558121307073608,50000
1,0.888,0.014196913473773748,0.006623752402341111,50000
1,0.999,0.014269322261214256,0.006737979766595319,50000
2,0.0,0.01529544176114723,0.007942855987024398,50000
2,0.111,0.015238513279240579,0.008148481484097714,50000
2,0.222,0.015321804254781454,0.008419089720588038,50000
2,0.333,0.01552855058852583,0.008737203819031817,50000
2,0.444,0.015861635412089528,0.009104093615242283,50000
2,0.555,0.016341459535062313,0.009532916775240102,50000
2,0.666,0.017002022784668953,0.010038341822002729,50000
2,0.777,0.017894823524635284,0.010641548186262425,50000
2,0.888,0.019101032599806785,0.011370120827046906,50000
2,0.999,0.020766042752657084,0.012270396519123,50000
3,0.0,0.011779009823920205,0.008518055726051865,50000
3,0.111,0.012813518145121635,0.009442759258636337,50000
3,0.222,0.013912258269730955,0.01036750569378713,50000
3,0.333,0.015146614878904074,0.011232103391537145,50000
3,0.444,0.01667320995638147,0.012090078020486365,50000
3,0.555,0.018772263581398874,0.013047270726216127,50000
3,0.666,0.022014024114236235,0.014283033561486427,50000
3,0.777,0.027892751374281943,0.01620951040248129,50000
3,0.888,0.04251434523612261,0.020419107810085775,50000
3,0.999,0.14370020731538535,0.014288775423145252,50000
