image,stage,step,task,tau,T,e_k,gamma2_meas,mse_alg2,mse_alg2_miss,mse_alg2_obs,mse_model,mse_model_miss,mse_model_obs,mse_wls,mse_wls_miss,mse_wls_obs,resolution,s_k,score_err,score_err_g2,sigma_tau
breastplate_armor,0,0,box_inpainting,0.0,0.0,0.25,0.009970428422093391,0.045681461691856384,0.17051899433135986,0.004068951588124037,0.2367366999387741,0.20861680805683136,0.24611002206802368,7.752292633056641,7.614419937133789,7.798250198364258,32,0.0,0.0,0.0,1.0
crane_structure,0,0,box_inpainting,0.0,0.0,0.25,0.009970428422093391,0.12062731385231018,0.4384559094905853,0.014684458263218403,0.274311363697052,0.2740797996520996,0.27438852190971375,8.164359092712402,7.783902645111084,8.291177749633789,32,0.0,0.0,0.0,1.0
ibex_horns,0,0,box_inpainting,0.0,0.0,0.25,0.009970428422093391,0.3136664927005768,1.1992520093917847,0.018471339717507362,0.13460764288902283,0.1609891653060913,0.1258137822151184,7.465041637420654,8.06283187866211,7.265777587890625,32,0.0,0.0,0.0,1.0
junco,0,0,box_inpainting,0.0,0.0,0.25,0.009970428422093391,0.04234669730067253,0.14634327590465546,0.007681169547140598,0.045455798506736755,0.06343761086463928,0.03946186602115631,7.350055694580078,7.086477756500244,7.437915325164795,32,0.0,0.0,0.0,1.0
lakeside_beach,0,0,box_inpainting,0.0,0.0,0.25,0.009970428422093391,0.012374023906886578,0.045784514397382736,0.0012371952179819345,0.050089187920093536,0.03977317735552788,0.05352785438299179,7.850903511047363,7.637976169586182,7.921878337860107,32,0.0,0.0,0.0,1.0
sea_anemone,0,0,box_inpainting,0.0,0.0,0.25,0.009970428422093391,0.29308435320854187,1.157729148864746,0.004869387485086918,0.24709820747375488,0.2970868647098541,0.2304353415966034,7.964532375335693,8.176375389099121,7.893917560577393,32,0.0,0.0,0.0,1.0
shetland_sheepdog,0,0,box_inpainting,0.0,0.0,0.25,0.009970428422093391,0.04056691750884056,0.1492815464735031,0.004328706301748753,0.12838894128799438,0.1623956561088562,0.11705335229635239,8.01799201965332,7.930896759033203,8.04702377319336,32,0.0,0.0,0.0,1.0
breastplate_armor,0,0,random_inpainting,0.0,0.0,0.25,0.009970428422093391,0.00510261720046401,0.0050287675112485886,0.005262891761958599,0.2367366999387741,0.2317478060722351,0.24756404757499695,7.752292633056641,7.756560802459717,7.743030548095703,32,0.0,0.0,0.0,1.0
crane_structure,0,0,random_inpainting,0.0,0.0,0.25,0.009970428422093391,0.02070268988609314,0.02206483855843544,0.01757981814444065,0.274311363697052,0.27417460083961487,0.27462488412857056,8.164359092712402,8.180739402770996,8.126805305480957,32,0.0,0.0,0.0,1.0
ibex_horns,0,0,random_inpainting,0.0,0.0,0.25,0.009970428422093391,0.028132691979408264,0.028363674879074097,0.02761753462255001,0.13460764288902283,0.13386699557304382,0.13625945150852203,7.465041637420654,7.723937511444092,6.887629985809326,32,0.0,0.0,0.0,1.0
junco,0,0,random_inpainting,0.0,0.0,0.25,0.009970428422093391,0.009006071835756302,0.008927544578909874,0.00918947346508503,0.045455798506736755,0.04543491080403328,0.04550458490848541,7.350055694580078,7.566793918609619,6.843863487243652,32,0.0,0.0,0.0,1.0
lakeside_beach,0,0,random_inpainting,0.0,0.0,0.25,0.009970428422093391,0.0021804985590279102,0.0018645707750692964,0.0029252583626657724,0.050089187920093536,0.050665900111198425,0.048729658126831055,7.850903511047363,7.7377471923828125,8.117655754089355,32,0.0,0.0,0.0,1.0
sea_anemone,0,0,random_inpainting,0.0,0.0,0.25,0.009970428422093391,0.006145256571471691,0.006287804339081049,0.005806058645248413,0.24709820747375488,0.2473103106021881,0.24659354984760284,7.964532375335693,7.953584671020508,7.990581512451172,32,0.0,0.0,0.0,1.0
shetland_sheepdog,0,0,random_inpainting,0.0,0.0,0.25,0.009970428422093391,0.0071262819692492485,0.0069860429503023624,0.007433409336954355,0.12838894128799438,0.12932594120502472,0.12633685767650604,8.01799201965332,7.961439609527588,8.141844749450684,32,0.0,0.0,0.0,1.0
breastplate_armor,0,0,gaussian_blur,0.0,0.0,0.25,0.009970428422093391,0.005060241557657719,,,0.2367366999387741,,,7.752292633056641,,,32,0.0,0.0,0.0,1.0
crane_structure,0,0,gaussian_blur,0.0,0.0,0.25,0.009970428422093391,0.018904734402894974,,,0.274311363697052,,,8.164359092712402,,,32,0.0,0.0,0.0,1.0
