task,image,trw,pre_mse,post_mse,meas_resid,post_hole,post_obs,stage0_hole,stage1_hole,stage2_hole,stage3_hole
box_inpainting,breastplate_armor,0.0,0.9007717967033386,0.9007717967033386,0.9130306839942932,3.5939419269561768,0.0030482870060950518,0.18096911907196045,0.19436223804950714,0.624782145023346,3.5939419269561768
box_inpainting,crane_structure,0.0,0.8705621957778931,0.8705621957778931,0.9015150666236877,3.4739999771118164,0.0027496321126818657,0.3178456127643585,0.30087167024612427,0.4820578396320343,3.4739999771118164
box_inpainting,ibex_horns,0.0,0.9352390170097351,0.9352390170097351,0.9266958236694336,3.7311573028564453,0.003266303101554513,0.33507832884788513,0.3166966438293457,0.5676377415657043,3.7311573028564453
box_inpainting,junco,0.0,0.8846566677093506,0.8846566677093506,0.8990369439125061,3.530186414718628,0.0028133802115917206,0.22649209201335907,0.2180141657590866,0.47343674302101135,3.530186414718628
box_inpainting,lakeside_beach,0.0,0.9585304260253906,0.9585304260253906,0.900195837020874,3.825922966003418,0.0027329707518219948,0.15469394624233246,0.1823129802942276,0.413541704416275,3.825922966003418
box_inpainting,sea_anemone,0.0,0.9824425578117371,0.9824425578117371,0.916456937789917,3.9207820892333984,0.0029960412066429853,0.2553706169128418,0.3380674123764038,0.4627918303012848,3.9207820892333984
box_inpainting,shetland_sheepdog,0.0,0.9296485781669617,0.9296485781669617,0.9102883338928223,3.7097208499908447,0.0029577582608908415,0.31918591260910034,0.253338485956192,0.5487422347068787,3.7097208499908447
random_inpainting,breastplate_armor,0.0,1.7241120338439941,1.7241120338439941,1.0643454790115356,2.4521892070770264,0.005252465605735779,0.005617822520434856,0.014585783705115318,0.10002370178699493,2.4521892070770264
random_inpainting,crane_structure,0.0,2.327335834503174,2.327335834503174,1.0870920419692993,3.3262622356414795,0.005661390256136656,0.022431697696447372,0.06118510290980339,0.17756196856498718,3.3262622356414795
random_inpainting,ibex_horns,0.0,2.3551852703094482,2.3551852703094482,1.0798015594482422,3.3733716011047363,0.0056590004824101925,0.02882889285683632,0.03655967488884926,0.1557147353887558,3.3733716011047363
random_inpainting,junco,0.0,1.656661033630371,1.656661033630371,1.0351811647415161,2.365352153778076,0.0049928040243685246,0.009569603018462658,0.012271927669644356,0.055970508605241776,2.365352153778076
random_inpainting,lakeside_beach,0.0,2.0164666175842285,2.0164666175842285,1.0616289377212524,2.8734097480773926,0.005437904503196478,0.0025954938028007746,0.00813309196382761,0.052100472152233124,2.8734097480773926
random_inpainting,sea_anemone,0.0,2.1166160106658936,2.1166160106658936,1.0468415021896362,3.009047508239746,0.005432901903986931,0.006778419949114323,0.013135246001183987,0.07479593902826309,3.009047508239746
random_inpainting,shetland_sheepdog,0.0,1.9176359176635742,1.9176359176635742,1.0470576286315918,2.7502143383026123,0.00527667673304677,0.007649180479347706,0.009945794939994812,0.04374068230390549,2.7502143383026123
gaussian_blur,breastplate_armor,0.0,2.5344719886779785,2.5344719886779785,1.1376594305038452,,,,,,
gaussian_blur,crane_structure,0.0,2.449434995651245,2.449434995651245,1.1353225708007812,,,,,,
gaussian_blur,ibex_horns,0.0,2.1230344772338867,2.1230344772338867,1.1071372032165527,,,,,,
gaussian_blur,junco,0.0,2.3973031044006348,2.3973031044006348,1.0761526823043823,,,,,,
gaussian_blur,lakeside_beach,0.0,2.140723705291748,2.140723705291748,1.048191785812378,,,,,,
gaussian_blur,sea_anemone,0.0,1.7785747051239014,1.7785747051239014,1.1684205532073975,,,,,,
gaussian_blur,shetland_sheepdog,0.0,2.6424496173858643,2.6424496173858643,1.150077223777771,,,,,,
motion_blur,breastplate_armor,0.0,2.2225112915039062,2.2225112915039062,1.5071754455566406,,,,,,
motion_blur,crane_structure,0.0,2.4663846492767334,2.4663846492767334,1.282692551612854,,,,,,
motion_blur,ibex_horns,0.0,2.8864078521728516,2.8864078521728516,1.2959895133972168,,,,,,
motion_blur,junco,0.0,2.3646609783172607,2.3646609783172607,1.1860401630401611,,,,,,
motion_blur,lakeside_beach,0.0,2.0829529762268066,2.0829529762268066,1.2536861896514893,,,,,,
motion_blur,sea_anemone,0.0,1.7431838512420654,1.7431838512420654,1.2499197721481323,,,,,,
motion_blur,shetland_sheepdog,0.0,2.608144521713257,2.608144521713257,1.256438136100769,,,,,,
superresolution,breastplate_armor,0.0,1.9802625179290771,1.9802625179290771,3.9039103984832764,,,,,,
superresolution,crane_structure,0.0,2.2140865325927734,2.2140865325927734,3.3420639038085938,,,,,,
superresolution,ibex_horns,0.0,2.9704768657684326,2.9704768657684326,4.9286041259765625,,,,,,
superresolution,junco,0.0,2.984922409057617,2.984922409057617,3.1121137142181396,,,,,,
superresolution,lakeside_beach,0.0,2.455746650695801,2.455746650695801,2.2769663333892822,,,,,,
superresolution,sea_anemone,0.0,2.08481764793396,2.08481764793396,5.1503095626831055,,,,,,
superresolution,shetland_sheepdog,0.0,2.05149245262146,2.05149245262146,3.5124762058258057,,,,,,
