blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,74,9.203317858919036e-06,0,0.009970428422093391,1.9357062578201294,0.18607747554779053,0.007415333762764931,0.05208086967468262,0.19075952470302582,1.0,0,0,0.0,0.9903921484947205
1,67,9.697402674646582e-06,1,0.010642001405358315,1.935654640197754,0.18566279113292694,0.007451934739947319,0.052004650235176086,0.19075952470302582,0.9722500000000001,0,1,0.111,0.9833174347877502
1,66,9.276914170186501e-06,2,0.01062399335205555,1.9358826875686646,0.21565426886081696,0.0074233319610357285,0.05948106572031975,0.19075952470302582,0.9445,0,2,0.222,0.9793150424957275
1,64,9.469625183555763e-06,3,0.009873627685010433,1.9358501434326172,0.22112219035625458,0.007317039649933577,0.06076831743121147,0.19075952470302582,0.9167500000000001,0,3,0.333,0.9726725220680237
1,65,9.932595276040956e-06,4,0.009073696099221706,1.9358657598495483,0.2506880760192871,0.007350611966103315,0.0681849792599678,0.19075952470302582,0.889,0,4,0.444,0.9682104587554932
1,65,9.780809705262072e-06,5,0.008365506306290627,1.935768961906433,0.24213989078998566,0.007414408028125763,0.06609578430652618,0.19075952470302582,0.86125,0,5,0.555,0.9653264284133911
1,66,9.217569640895817e-06,6,0.007804953958839178,1.935793399810791,0.254721075296402,0.007389064412564039,0.06922207027673721,0.19075952470302582,0.8335,0,6,0.666,0.9618096947669983
1,66,9.052062523551285e-06,7,0.0074211894534528255,1.9357106685638428,0.20650185644626617,0.007394858635962009,0.05717160925269127,0.19075952470302582,0.80575,0,7,0.777,0.9601461887359619
1,61,9.41522648645332e-06,8,0.00719289667904377,1.9358458518981934,0.2346573919057846,0.007295639254152775,0.0641360878944397,0.19075952470302582,0.778,0,8,0.888,0.9582080841064453
1,63,9.461448826186825e-06,9,0.007022725883871317,1.9357491731643677,0.2291608452796936,0.00732231792062521,0.06278195232152939,0.19075952470302582,0.75025,0,9,0.999,0.9539443850517273
1,155,9.933034561981913e-06,10,0.013227979652583599,1.4890646934509277,0.13102062046527863,0.0038556349463760853,0.03564688190817833,0.20476265251636505,0.8571428571428572,1,0,0.0,0.9986152052879333
1,141,9.81852372206049e-06,11,0.012689127586781979,1.488713264465332,0.15495207905769348,0.003889187006279826,0.041654910892248154,0.20476265251636505,0.8175000000000001,1,1,0.111,0.9937244057655334
1,127,9.976735782402102e-06,12,0.012317526154220104,1.4892245531082153,0.15669478476047516,0.0038801480550318956,0.04208380728960037,0.20476265251636505,0.7778571428571429,1,2,0.222,0.9871354699134827
1,116,9.87771727523068e-06,13,0.012009454891085625,1.4892098903656006,0.14960920810699463,0.003877780167385936,0.040310636162757874,0.20476265251636505,0.7382142857142858,1,3,0.333,0.9829825162887573
1,97,9.953389962902293e-06,14,0.011795909143984318,1.4888486862182617,0.1363918036222458,0.0038738283328711987,0.037003323435783386,0.20476265251636505,0.6985714285714286,1,4,0.444,0.979564905166626
1,92,9.982346455217339e-06,15,0.011530348099768162,1.4893192052841187,0.17091822624206543,0.0038977796211838722,0.04565289616584778,0.20476265251636505,0.6589285714285714,1,5,0.555,0.9733166694641113
1,88,9.54644383455161e-06,16,0.011259624734520912,1.489190936088562,0.1302809864282608,0.0038873692974448204,0.03548577427864075,0.20476265251636505,0.6192857142857142,1,6,0.666,0.9691984057426453
1,76,9.943202712747734e-06,17,0.010943361558020115,1.4890894889831543,0.14759446680545807,0.003925659228116274,0.039842862635850906,0.20476265251636505,0.5796428571428571,1,7,0.777,0.964771032333374
1,66,9.817761565500405e-06,18,0.010707459412515163,1.4886802434921265,0.1502530723810196,0.0039357393980026245,0.040515076369047165,0.20476265251636505,0.54,1,8,0.888,0.960084855556488
1,61,9.712345672596712e-06,19,0.010580291040241718,1.488407015800476,0.15038608014583588,0.00401129387319088,0.04060498997569084,0.20476265251636505,0.5003571428571428,1,9,0.999,0.9585455656051636
1,144,9.944613339030184e-06,20,0.011577649042010307,1.208572268486023,0.14933925867080688,0.003179229563102126,0.03971923887729645,0.21508482098579407,0.6666666666666667,2,0,0.0,1.0022544860839844
1,125,9.537075129628647e-06,21,0.011458246037364006,1.2083944082260132,0.15303467214107513,0.0032148482277989388,0.04066981002688408,0.21508482098579407,0.6204166666666668,2,1,0.111,1.000191569328308
1,106,9.742370821186341e-06,22,0.011648545041680336,1.2055245637893677,0.1637372523546219,0.003216793527826667,0.043346911668777466,0.21508482098579407,0.5741666666666667,2,2,0.222,0.9973645210266113
1,92,9.633505214878824e-06,23,0.011883500963449478,1.206864356994629,0.14055706560611725,0.0032747352961450815,0.037595320492982864,0.21508482098579407,0.5279166666666668,2,3,0.333,0.9943898916244507
1,78,9.97234837996075e-06,24,0.01197701133787632,1.2058204412460327,0.13266251981258392,0.003266125451773405,0.0356152281165123,0.21508482098579407,0.48166666666666674,2,4,0.444,0.9928433895111084
1,69,8.983790394267999e-06,25,0.012359649874269962,1.2058961391448975,0.1430526226758957,0.0033599005546420813,0.038283079862594604,0.21508482098579407,0.4354166666666667,2,5,0.555,0.9912601709365845
1,59,9.92236255115131e-06,26,0.012831875123083591,1.2032800912857056,0.13774041831493378,0.003444013884291053,0.03701811656355858,0.21508482098579407,0.38916666666666666,2,6,0.666,0.9901203513145447
1,51,8.668122063681949e-06,27,0.013585136272013187,1.2021535634994507,0.1467982530593872,0.0035284236073493958,0.039345882833004,0.21508482098579407,0.34291666666666665,2,7,0.777,0.9889243245124817
1,43,8.373773198400158e-06,28,0.014856654219329357,1.2011926174163818,0.134226992726326,0.003651669481769204,0.03629549965262413,0.21508482098579407,0.2966666666666667,2,8,0.888,0.9882608652114868
1,35,8.432288268522825e-06,29,0.016559859737753868,1.1983267068862915,0.13702623546123505,0.003756783902645111,0.037074148654937744,0.21508482098579407,0.2504166666666667,2,9,0.999,0.9881422519683838
1,129,9.669993232819252e-06,30,0.009436266363731452,0.9697693586349487,0.15258172154426575,0.003116258420050144,0.04048262536525726,0.222158744931221,0.3999999999999999,3,0,0.0,1.0000029802322388
1,110,9.783977475308347e-06,31,0.01041741163602897,0.9679242968559265,0.14782163500785828,0.003079206682741642,0.03926481306552887,0.222158744931221,0.3555999999999999,3,1,0.111,0.9976121783256531
1,93,9.180272172670811e-06,32,0.011588477263493198,0.9665288925170898,0.1476311832666397,0.003076863242313266,0.03921544551849365,0.222158744931221,0.3111999999999999,3,2,0.222,0.9946063160896301
1,77,9.704861440695822e-06,33,0.012996630277484655,0.9650410413742065,0.1459912806749344,0.0030585522763431072,0.03879173472523689,0.222158744931221,0.2668,3,3,0.333,0.9909477233886719
1,63,8.740701559872832e-06,34,0.014714584685862064,0.9626239538192749,0.14597786962985992,0.0030378864612430334,0.03877288103103638,0.222158744931221,0.22239999999999996,3,4,0.444,0.9891236424446106
1,49,8.856978638505097e-06,35,0.01717439160815307,0.9602786302566528,0.14666642248630524,0.003013947047293186,0.03892706707119942,0.222158744931221,0.17799999999999994,3,5,0.555,0.989096462726593
1,37,7.699624802626204e-06,36,0.020981202567262307,0.9545546174049377,0.14674848318099976,0.0029292935505509377,0.03888408839702606,0.222158744931221,0.13359999999999997,3,6,0.666,0.9896497130393982
1,25,7.5602606557367835e-06,37,0.027574546369058744,0.9406655430793762,0.1472179889678955,0.0027549033984541893,0.0388706736266613,0.222158744931221,0.08919999999999997,3,7,0.777,0.9902715682983398
1,12,7.625097168784123e-06,38,0.044128120211618285,0.9257803559303284,0.14782293140888214,0.0025853589177131653,0.03889475390315056,0.222158744931221,0.044799999999999986,3,8,0.888,0.9900603890419006
1,1,1.0708108675316907e-06,39,0.1419714934059552,0.9255399107933044,0.14782202243804932,0.0025851477403193712,0.03889436647295952,0.222158744931221,0.0004000000000000003,3,9,0.999,0.9973020553588867
