blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,60,9.652933840698097e-06,0,0.009970428422093391,1.9325631856918335,0.14519962668418884,0.0072551569901406765,0.041741274297237396,0.19075952470302582,1.0,0,0,0.0,0.0
1,22,9.313641385233495e-06,1,0.010642001405358315,1.93257474899292,0.1476926952600479,0.007256487850099802,0.04236554354429245,0.19075952470302582,0.9722500000000001,0,1,0.111,0.0
1,12,8.603341484558769e-06,2,0.01062399335205555,1.93255615234375,0.14812953770160675,0.007263789419084787,0.0424802303314209,0.19075952470302582,0.9445,0,2,0.222,0.0
1,11,9.937820323102642e-06,3,0.009873627685010433,1.9325424432754517,0.14863905310630798,0.007269145920872688,0.04261162504553795,0.19075952470302582,0.9167500000000001,0,3,0.333,0.0
1,10,9.748153388500214e-06,4,0.009073696099221706,1.9325337409973145,0.14874529838562012,0.007272470276802778,0.04264067858457565,0.19075952470302582,0.889,0,4,0.444,0.0
1,10,7.4581453191058245e-06,5,0.008365506306290627,1.9325282573699951,0.14896665513515472,0.00727475993335247,0.042697735130786896,0.19075952470302582,0.86125,0,5,0.555,0.0
1,10,9.385353223478887e-06,6,0.007804953958839178,1.9325226545333862,0.14882969856262207,0.0072760931216180325,0.04266449436545372,0.19075952470302582,0.8335,0,6,0.666,0.0
1,9,9.576104275765829e-06,7,0.0074211894534528255,1.9325199127197266,0.14852018654346466,0.007276879623532295,0.04258770868182182,0.19075952470302582,0.80575,0,7,0.777,0.0
1,10,7.5913658292847686e-06,8,0.00719289667904377,1.9325199127197266,0.14782105386257172,0.0072760144248604774,0.042412277311086655,0.19075952470302582,0.778,0,8,0.888,0.0
1,13,8.805680408840999e-06,9,0.007022725883871317,1.9325424432754517,0.14703653752803802,0.007263762876391411,0.042206957936286926,0.19075952470302582,0.75025,0,9,0.999,0.0
1,139,9.996357221098151e-06,10,0.013227979652583599,1.4741116762161255,0.06785160303115845,0.0034504926297813654,0.01955077052116394,0.20476265251636505,0.8571428571428572,1,0,0.0,0.0
1,26,9.971624422178138e-06,11,0.012689127586781979,1.4740018844604492,0.06700608879327774,0.0034597860649228096,0.019346361979842186,0.20476265251636505,0.8175000000000001,1,1,0.111,0.0
1,31,9.881978257908486e-06,12,0.012317526154220104,1.4739196300506592,0.06515375524759293,0.003464658511802554,0.018886933103203773,0.20476265251636505,0.7778571428571429,1,2,0.222,0.0
1,11,9.534197488392238e-06,13,0.012009454891085625,1.4738858938217163,0.06496082991361618,0.0034652550239115953,0.018839148804545403,0.20476265251636505,0.7382142857142858,1,3,0.333,0.0
1,38,9.747129297466017e-06,14,0.011795909143984318,1.4738789796829224,0.0625711977481842,0.003464711597189307,0.018241332843899727,0.20476265251636505,0.6985714285714286,1,4,0.444,0.0
1,30,9.394899279868696e-06,15,0.011530348099768162,1.4738863706588745,0.06114010885357857,0.0034630228765308857,0.017882296815514565,0.20476265251636505,0.6589285714285714,1,5,0.555,0.0
1,29,9.706858691060916e-06,16,0.011259624734520912,1.4739038944244385,0.0600101538002491,0.0034603821113705635,0.017597824335098267,0.20476265251636505,0.6192857142857142,1,6,0.666,0.0
1,24,9.121978109760676e-06,17,0.010943361558020115,1.4739266633987427,0.05927782878279686,0.003456603502854705,0.017411909997463226,0.20476265251636505,0.5796428571428571,1,7,0.777,0.0
1,22,9.406255230715033e-06,18,0.010707459412515163,1.4739502668380737,0.058856796473264694,0.003452620469033718,0.01730366423726082,0.20476265251636505,0.54,1,8,0.888,0.0
1,29,9.830487215367611e-06,19,0.010580291040241718,1.4740359783172607,0.05862585827708244,0.0034499717876315117,0.017243942245841026,0.20476265251636505,0.5003571428571428,1,9,0.999,0.0
1,122,9.574838259140961e-06,20,0.011577649042010307,1.1493754386901855,0.07458958029747009,0.0017470864113420248,0.019957711920142174,0.21508482098579407,0.6666666666666667,2,0,0.0,0.0
1,92,9.768623385753017e-06,21,0.011458246037364006,1.1497278213500977,0.06235523149371147,0.0018019529525190592,0.016940271481871605,0.21508482098579407,0.6204166666666668,2,1,0.111,0.0
1,67,9.287549801229034e-06,22,0.011648545041680336,1.1496021747589111,0.06027422472834587,0.0018005988094955683,0.016419006511569023,0.21508482098579407,0.5741666666666667,2,2,0.222,0.0
1,51,9.220985702995677e-06,23,0.011883500963449478,1.1494619846343994,0.059726763516664505,0.0017977484967559576,0.016280002892017365,0.21508482098579407,0.5279166666666668,2,3,0.333,0.0
1,44,9.585962288838346e-06,24,0.01197701133787632,1.1492302417755127,0.05959455296397209,0.0017955031944438815,0.016245266422629356,0.21508482098579407,0.48166666666666674,2,4,0.444,0.0
1,39,8.644125955470372e-06,25,0.012359649874269962,1.1487442255020142,0.0594804622232914,0.0018004286102950573,0.016220437362790108,0.21508482098579407,0.4354166666666667,2,5,0.555,0.0
1,35,9.812710231926758e-06,26,0.012831875123083591,1.147624135017395,0.05928252264857292,0.0018244071397930384,0.016188936308026314,0.21508482098579407,0.38916666666666666,2,6,0.666,0.0
1,31,9.368411156174261e-06,27,0.013585136272013187,1.1461771726608276,0.0592045895755291,0.001873706583864987,0.016206426545977592,0.21508482098579407,0.34291666666666665,2,7,0.777,0.0
1,27,8.408058420172893e-06,28,0.014856654219329357,1.1442195177078247,0.05905841663479805,0.0019629234448075294,0.016236796975135803,0.21508482098579407,0.2966666666666667,2,8,0.888,0.0
1,23,8.521209565515164e-06,29,0.016559859737753868,1.1418859958648682,0.05891388654708862,0.0020668541546911,0.016278613358736038,0.21508482098579407,0.2504166666666667,2,9,0.999,0.0
1,108,9.733104889164679e-06,30,0.009436266363731452,0.6681435704231262,0.06556854397058487,0.001447542104870081,0.017477795481681824,0.222158744931221,0.3999999999999999,3,0,0.0,0.0
1,87,9.359733667224646e-06,31,0.01041741163602897,0.6942456364631653,0.06676618754863739,0.0015873932279646397,0.01788209192454815,0.222158744931221,0.3555999999999999,3,1,0.111,0.0
1,67,9.86093255050946e-06,32,0.011588477263493198,0.687794029712677,0.06738647818565369,0.001562972436659038,0.018018849194049835,0.222158744931221,0.3111999999999999,3,2,0.222,0.0
1,55,9.21994069358334e-06,33,0.012996630277484655,0.6815119385719299,0.06757364422082901,0.0015050683869048953,0.018022214993834496,0.222158744931221,0.2668,3,3,0.333,0.0
1,46,9.586834494257346e-06,34,0.014714584685862064,0.6799004077911377,0.06748885661363602,0.0014341260539367795,0.017947807908058167,0.222158744931221,0.22239999999999996,3,4,0.444,0.0
1,38,8.036464350880124e-06,35,0.01717439160815307,0.6791643500328064,0.0671621784567833,0.0013336449628695846,0.0177907794713974,0.222158744931221,0.17799999999999994,3,5,0.555,0.0
1,29,8.675874596519861e-06,36,0.020981202567262307,0.6815760135650635,0.06689456850290298,0.0012163302162662148,0.01763589307665825,0.222158744931221,0.13359999999999997,3,6,0.666,0.0
1,20,8.592736776336096e-06,37,0.027574546369058744,0.6910133361816406,0.06679758429527283,0.0010258399415761232,0.017468778416514397,0.222158744931221,0.08919999999999997,3,7,0.777,0.0
1,10,7.0507362579519395e-06,38,0.044128120211618285,0.7573773264884949,0.0667111948132515,0.0006556573207490146,0.017169544473290443,0.222158744931221,0.044799999999999986,3,8,0.888,0.0
1,1,1.8921947742001066e-07,39,0.1419714934059552,0.757409393787384,0.06671129912137985,0.0006555774598382413,0.01716950722038746,0.222158744931221,0.0004000000000000003,3,9,0.999,0.0
