blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,60,9.924431651597843e-06,0,0.009970428422093391,1.9325515031814575,0.14600519835948944,0.007257078308612108,0.04194410890340805,0.19075952470302582,1.0,0,0,0.0,0.8967254161834717
1,17,9.925219274009578e-06,1,0.010642001405358315,1.9325517416000366,0.14822787046432495,0.0072572072967886925,0.04249987751245499,0.19075952470302582,0.9722500000000001,0,1,0.111,0.8092833757400513
1,20,9.763365596882068e-06,2,0.01062399335205555,1.9325541257858276,0.15184970200061798,0.007256913464516401,0.043405111879110336,0.19075952470302582,0.9445,0,2,0.222,0.7303295135498047
1,19,9.818330909183715e-06,3,0.009873627685010433,1.9325546026229858,0.15407128632068634,0.007256949786096811,0.043960537761449814,0.19075952470302582,0.9167500000000001,0,3,0.333,0.6591082215309143
1,7,8.180234544852283e-06,4,0.009073696099221706,1.932555079460144,0.15402506291866302,0.007257012650370598,0.04394902288913727,0.19075952470302582,0.889,0,4,0.444,0.5948807001113892
1,5,9.57207794272108e-06,5,0.008365506306290627,1.9325546026229858,0.1539720743894577,0.007257363758981228,0.04393604397773743,0.19075952470302582,0.86125,0,5,0.555,0.5369672775268555
1,6,9.382823918713257e-06,6,0.007804953958839178,1.932553768157959,0.15375164151191711,0.007258156780153513,0.043881528079509735,0.19075952470302582,0.8335,0,6,0.666,0.484712153673172
1,9,9.753675840329379e-06,7,0.0074211894534528255,1.9325525760650635,0.15289834141731262,0.007259284611791372,0.043669044971466064,0.19075952470302582,0.80575,0,7,0.777,0.4376123249530792
1,15,8.641762178740464e-06,8,0.00719289667904377,1.9325507879257202,0.14971424639225006,0.007260163780301809,0.04287368059158325,0.19075952470302582,0.778,0,8,0.888,0.39524704217910767
1,20,9.058572686626576e-06,9,0.007022725883871317,1.9325541257858276,0.14872221648693085,0.0072579956613481045,0.04262404888868332,0.19075952470302582,0.75025,0,9,0.999,0.35780099034309387
1,126,9.65894287219271e-06,10,0.013227979652583599,1.4739876985549927,0.06686179339885712,0.0034362252335995436,0.019292619079351425,0.20476265251636505,0.8571428571428572,1,0,0.0,0.9061068296432495
1,30,9.998596397053916e-06,11,0.012689127586781979,1.4739887714385986,0.06620261818170547,0.003435526741668582,0.01912730187177658,0.20476265251636505,0.8175000000000001,1,1,0.111,0.8178181648254395
1,28,9.913917892845348e-06,12,0.012317526154220104,1.4739902019500732,0.06533097475767136,0.003435306716710329,0.01890922337770462,0.20476265251636505,0.7778571428571429,1,2,0.222,0.7382142543792725
1,36,9.906208106258418e-06,13,0.012009454891085625,1.4739872217178345,0.06389019638299942,0.00343560753390193,0.018549256026744843,0.20476265251636505,0.7382142857142858,1,3,0.333,0.6663625240325928
1,38,9.852921721176244e-06,14,0.011795909143984318,1.473982572555542,0.06304141134023666,0.003436524420976639,0.01833774521946907,0.20476265251636505,0.6985714285714286,1,4,0.444,0.6014932990074158
1,49,9.910486369335558e-06,15,0.011530348099768162,1.473958969116211,0.0646049901843071,0.0034413437824696302,0.018732255324721336,0.20476265251636505,0.6589285714285714,1,5,0.555,0.5428677797317505
1,40,9.885152394417673e-06,16,0.011259624734520912,1.4739329814910889,0.06529318541288376,0.003447681199759245,0.01890905760228634,0.20476265251636505,0.6192857142857142,1,6,0.666,0.4903787672519684
