blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,60,9.653005690779537e-06,0,0.009970428422093391,1.9325510263442993,0.14628152549266815,0.0072568124160170555,0.04201298952102661,0.19075952470302582,1.0,0,0,0.0,0.9852181673049927
1,26,8.950748451752588e-06,1,0.010642001405358315,1.9325495958328247,0.143732488155365,0.007257269695401192,0.04137607663869858,0.19075952470302582,0.9722500000000001,0,1,0.111,0.9837103486061096
1,19,8.767988219915424e-06,2,0.01062399335205555,1.9325495958328247,0.1445768028497696,0.0072576189413666725,0.04158741980791092,0.19075952470302582,0.9445,0,2,0.222,0.9777097702026367
1,27,9.929767657013144e-06,3,0.009873627685010433,1.932549238204956,0.14412032067775726,0.007258239667862654,0.041473761200904846,0.19075952470302582,0.9167500000000001,0,3,0.333,0.9700851440429688
1,14,9.883511665975675e-06,4,0.009073696099221706,1.9325486421585083,0.14567668735980988,0.007258927449584007,0.041863374412059784,0.19075952470302582,0.889,0,4,0.444,0.9646140336990356
1,17,9.958809641830157e-06,5,0.008365506306290627,1.9325475692749023,0.14771731197834015,0.007259527686983347,0.04237397760152817,0.19075952470302582,0.86125,0,5,0.555,0.957770049571991
1,17,9.226419024344068e-06,6,0.007804953958839178,1.9325474500656128,0.14950360357761383,0.007259982172399759,0.04282089322805405,0.19075952470302582,0.8335,0,6,0.666,0.9527732133865356
1,19,9.996697372116614e-06,7,0.0074211894534528255,1.9325480461120605,0.15294747054576874,0.0072603654116392136,0.04368214309215546,0.19075952470302582,0.80575,0,7,0.777,0.9483773112297058
1,9,9.0724361143657e-06,8,0.00719289667904377,1.9325463771820068,0.15526948869228363,0.007261184975504875,0.04426325857639313,0.19075952470302582,0.778,0,8,0.888,0.9432027339935303
1,15,9.64833907346474e-06,9,0.007022725883871317,1.9325464963912964,0.15866230428218842,0.007261208258569241,0.04511147737503052,0.19075952470302582,0.75025,0,9,0.999,0.9405521154403687
1,138,9.951848369382787e-06,10,0.013227979652583599,1.473990559577942,0.07311730086803436,0.0034352641087025404,0.020855773240327835,0.20476265251636505,0.8571428571428572,1,0,0.0,0.994186282157898
1,32,9.708813195175026e-06,11,0.012689127586781979,1.4739969968795776,0.07361295074224472,0.003435265738517046,0.020979687571525574,0.20476265251636505,0.8175000000000001,1,1,0.111,0.9903733730316162
1,35,9.39965138968546e-06,12,0.012317526154220104,1.4739969968795776,0.07556656002998352,0.0034358580596745014,0.02146853320300579,0.20476265251636505,0.7778571428571429,1,2,0.222,0.9868506193161011
1,36,9.934112313203514e-06,13,0.012009454891085625,1.4739996194839478,0.07923471927642822,0.003437309991568327,0.022386660799384117,0.20476265251636505,0.7382142857142858,1,3,0.333,0.9818665385246277
1,36,9.973963642551098e-06,14,0.011795909143984318,1.4739972352981567,0.08546498417854309,0.00343977939337492,0.023946082219481468,0.20476265251636505,0.6985714285714286,1,4,0.444,0.9758484363555908
1,41,9.887175110634416e-06,15,0.011530348099768162,1.4739899635314941,0.09142325073480606,0.0034457591827958822,0.02544013410806656,0.20476265251636505,0.6589285714285714,1,5,0.555,0.9711173176765442
1,41,9.658733688411303e-06,16,0.011259624734520912,1.4739667177200317,0.09240066260099411,0.0034544544760137796,0.02569100819528103,0.20476265251636505,0.6192857142857142,1,6,0.666,0.9672683477401733
1,36,9.875262549030595e-06,17,0.010943361558020115,1.4739340543746948,0.09199445694684982,0.003471004543825984,0.025601869449019432,0.20476265251636505,0.5796428571428571,1,7,0.777,0.964379072189331
1,34,9.985230462916661e-06,18,0.010707459412515163,1.4738795757293701,0.09290764480829239,0.0034858216531574726,0.025841278955340385,0.20476265251636505,0.54,1,8,0.888,0.9593589901924133
1,30,9.399539521837141e-06,19,0.010580291040241718,1.4737926721572876,0.0934545025229454,0.0035078460350632668,0.02599450945854187,0.20476265251636505,0.5003571428571428,1,9,0.999,0.9537904858589172
1,123,9.528341252007522e-06,20,0.011577649042010307,1.1492904424667358,0.098244309425354,0.001747045898810029,0.025871364399790764,0.21508482098579407,0.6666666666666667,2,0,0.0,0.9938579797744751
1,71,9.858217708824668e-06,21,0.011458246037364006,1.1491682529449463,0.10004287958145142,0.0017658130964264274,0.026335079222917557,0.21508482098579407,0.6204166666666668,2,1,0.111,0.9909940361976624
1,61,9.551587936584838e-06,22,0.011648545041680336,1.1489068269729614,0.1017104759812355,0.0017928273882716894,0.02677224390208721,0.21508482098579407,0.5741666666666667,2,2,0.222,0.9881134033203125
1,51,9.860799764283001e-06,23,0.011883500963449478,1.14860999584198,0.10360785573720932,0.0018228888511657715,0.027269132435321808,0.21508482098579407,0.5279166666666668,2,3,0.333,0.9852184653282166
1,45,9.81883113126969e-06,24,0.01197701133787632,1.1482897996902466,0.10521185398101807,0.0018588267266750336,0.027697084471583366,0.21508482098579407,0.48166666666666674,2,4,0.444,0.9822487235069275
1,39,9.77119543676963e-06,25,0.012359649874269962,1.1476165056228638,0.106272853910923,0.0019073138246312737,0.027998698875308037,0.21508482098579407,0.4354166666666667,2,5,0.555,0.9791455268859863
1,35,9.271884664485697e-06,26,0.012831875123083591,1.1464817523956299,0.10703051835298538,0.0019756194669753313,0.02823934517800808,0.21508482098579407,0.38916666666666666,2,6,0.666,0.9756338000297546
1,30,9.602855243429076e-06,27,0.013585136272013187,1.1450214385986328,0.10801335424184799,0.002061590552330017,0.02854953333735466,0.21508482098579407,0.34291666666666665,2,7,0.777,0.9714332818984985
1,26,9.85636143013835e-06,28,0.014856654219329357,1.1430447101593018,0.10908772796392441,0.0021811716724187136,0.028907811269164085,0.21508482098579407,0.2966666666666667,2,8,0.888,0.9662601947784424
1,23,9.203606168739498e-06,29,0.016559859737753868,1.140909194946289,0.11002574115991592,0.0023114322684705257,0.029240012168884277,0.21508482098579407,0.2504166666666667,2,9,0.999,0.9598892331123352
