cond,arm,h0,n,mse_hole_mean,mse_hole_std,mse_full_mean,mse_full_std,psnr_mean,psnr_std,x0_rms_last,cg_bad
allnoise,baseline,,3,0.1369,0.0021,0.0362,0.0005,20.43,0.06,0.999,0
no_noise,baseline,,3,0.0816,0.0112,0.0213,0.0028,22.79,0.60,0.999,0
xi0_zero,baseline,,3,0.0750,0.0013,0.0201,0.0003,22.98,0.07,0.000,0
all_zero,baseline,,3,0.0666,0.0001,0.0171,0.0000,23.68,0.01,0.000,0
allnoise,h1.0,1.0,3,0.0870,0.0110,0.0234,0.0028,22.35,0.53,1.117,0
no_noise,h1.0,1.0,3,0.0709,0.0086,0.0185,0.0022,23.38,0.49,0.999,0
xi0_zero,h1.0,1.0,3,0.0714,0.0006,0.0191,0.0002,23.20,0.03,0.499,0
all_zero,h1.0,1.0,3,0.0689,0.0001,0.0177,0.0000,23.53,0.01,0.002,0
allnoise,h0.5,0.5,3,0.0749,0.0050,0.0202,0.0013,22.98,0.27,1.030,0
no_noise,h0.5,0.5,3,0.0680,0.0044,0.0176,0.0011,23.56,0.27,0.710,0
xi0_zero,h0.5,0.5,3,0.0680,0.0006,0.0183,0.0001,23.41,0.03,0.749,0
all_zero,h0.5,0.5,3,0.0659,0.0005,0.0170,0.0001,23.72,0.03,0.130,0
allnoise,h0.1,0.1,3,0.0994,0.0172,0.0263,0.0043,21.87,0.69,1.000,0
no_noise,h0.1,0.1,3,0.0816,0.0058,0.0211,0.0014,22.79,0.29,0.337,0
xi0_zero,h0.1,0.1,3,0.0762,0.0046,0.0204,0.0011,22.94,0.24,0.949,0
all_zero,h0.1,0.1,3,0.0689,0.0088,0.0178,0.0022,23.56,0.52,0.212,0
allnoise,h5e-2,0.05,3,0.1241,0.0164,0.0326,0.0041,20.92,0.58,0.999,0
no_noise,h5e-2,0.05,3,0.0976,0.0132,0.0252,0.0033,22.05,0.59,0.244,0
xi0_zero,h5e-2,0.05,3,0.0939,0.0066,0.0249,0.0017,22.07,0.28,0.974,0
all_zero,h5e-2,0.05,3,0.0818,0.0113,0.0211,0.0028,22.82,0.58,0.166,0
allnoise,h1e-2,0.01,3,0.1538,0.0117,0.0403,0.0029,19.98,0.31,0.999,0
no_noise,h1e-2,0.01,3,0.1215,0.0136,0.0314,0.0034,21.08,0.46,0.102,0
xi0_zero,h1e-2,0.01,3,0.1470,0.0185,0.0385,0.0046,20.20,0.51,0.994,0
all_zero,h1e-2,0.01,3,0.1188,0.0096,0.0306,0.0024,21.18,0.34,0.047,0
allnoise,h5e-3,0.005,3,0.1621,0.0153,0.0425,0.0038,19.76,0.38,0.999,0
no_noise,h5e-3,0.005,3,0.1281,0.0122,0.0331,0.0030,20.84,0.39,0.073,0
xi0_zero,h5e-3,0.005,3,0.1595,0.0192,0.0418,0.0048,19.84,0.49,0.996,0
all_zero,h5e-3,0.005,3,0.1264,0.0080,0.0326,0.0020,20.89,0.26,0.023,0
allnoise,h1e-5,1e-05,3,0.1794,0.0198,0.0469,0.0049,19.33,0.45,0.999,0
no_noise,h1e-5,1e-05,3,0.1344,0.0018,0.0348,0.0005,20.61,0.06,0.014,0
xi0_zero,h1e-5,1e-05,3,0.1796,0.0202,0.0470,0.0051,19.33,0.46,0.999,0
all_zero,h1e-5,1e-05,3,0.1345,0.0016,0.0348,0.0004,20.60,0.05,0.014,0
