blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,74,9.521843821858056e-06,0,0.009970428422093391,1.9358329772949219,0.18316160142421722,0.0072581288404762745,0.05123399943113327,0.19075952470302582,1.0,0,0,0.0,0.24754276871681213
1,67,9.9702201623586e-06,1,0.010642001405358315,1.9358092546463013,0.21323247253894806,0.007393168285489082,0.05885299667716026,0.19075952470302582,0.9722500000000001,0,1,0.111,0.06214175745844841
1,66,9.915498594637029e-06,2,0.01062399335205555,1.9357503652572632,0.21526938676834106,0.007387783844023943,0.05935818701982498,0.19075952470302582,0.9445,0,2,0.222,0.01820520870387554
1,66,9.721024071041029e-06,3,0.009873627685010433,1.9356932640075684,0.23244553804397583,0.0073668938130140305,0.06363655626773834,0.19075952470302582,0.9167500000000001,0,3,0.333,0.014774668961763382
1,65,9.916901944961865e-06,4,0.009073696099221706,1.9357333183288574,0.20444536209106445,0.007379121147096157,0.05664568394422531,0.19075952470302582,0.889,0,4,0.444,0.018244262784719467
1,66,9.631069588067476e-06,5,0.008365506306290627,1.9354864358901978,0.2178836464881897,0.0074390568770468235,0.06005021184682846,0.19075952470302582,0.86125,0,5,0.555,0.025651441887021065
1,66,9.66265179158654e-06,6,0.007804953958839178,1.935702919960022,0.18985126912593842,0.007424965500831604,0.053031545132398605,0.19075952470302582,0.8335,0,6,0.666,0.031913820654153824
1,70,9.179431799566373e-06,7,0.0074211894534528255,1.935850977897644,0.2090807408094406,0.007330648601055145,0.05776817724108696,0.19075952470302582,0.80575,0,7,0.777,0.03742586076259613
1,65,9.217138540407177e-06,8,0.00719289667904377,1.9356746673583984,0.19865763187408447,0.007458764594048262,0.055258482694625854,0.19075952470302582,0.778,0,8,0.888,0.04447202384471893
1,63,9.819698789215181e-06,9,0.007022725883871317,1.935740351676941,0.21060259640216827,0.00739497784525156,0.05819688364863396,0.19075952470302582,0.75025,0,9,0.999,0.051406580954790115
1,143,9.847885849012528e-06,10,0.013227979652583599,1.4889813661575317,0.17429180443286896,0.0038594724610447884,0.046467557549476624,0.20476265251636505,0.8571428571428572,1,0,0.0,0.25054657459259033
1,127,9.691092600405682e-06,11,0.012689127586781979,1.4897047281265259,0.12400531768798828,0.0038893388118594885,0.033918336033821106,0.20476265251636505,0.8175000000000001,1,1,0.111,0.06786113977432251
1,128,9.982944902731106e-06,12,0.012317526154220104,1.4891287088394165,0.118344746530056,0.0038746041245758533,0.03249214217066765,0.20476265251636505,0.7778571428571429,1,2,0.222,0.03731671720743179
1,112,9.914057045534719e-06,13,0.012009454891085625,1.4888948202133179,0.11063119769096375,0.00392572395503521,0.030602093786001205,0.20476265251636505,0.7382142857142858,1,3,0.333,0.04320137947797775
1,106,9.874915122054517e-06,14,0.011795909143984318,1.4891324043273926,0.11544620245695114,0.003864815691486001,0.031760163605213165,0.20476265251636505,0.6985714285714286,1,4,0.444,0.05166245251893997
1,93,9.478011634200811e-06,15,0.011530348099768162,1.4890449047088623,0.1062847450375557,0.003852222114801407,0.029460353776812553,0.20476265251636505,0.6589285714285714,1,5,0.555,0.06455180794000626
1,84,9.763965863385238e-06,16,0.011259624734520912,1.4885163307189941,0.10524626821279526,0.00389522360637784,0.02923298440873623,0.20476265251636505,0.6192857142857142,1,6,0.666,0.07452597469091415
1,77,9.394558219355531e-06,17,0.010943361558020115,1.4890087842941284,0.11142894625663757,0.0038795555010437965,0.03076690435409546,0.20476265251636505,0.5796428571428571,1,7,0.777,0.09002183377742767
1,71,9.221674190484919e-06,18,0.010707459412515163,1.4888335466384888,0.10042605549097061,0.0038780239410698414,0.028015032410621643,0.20476265251636505,0.54,1,8,0.888,0.10468088090419769
1,60,9.925773156282958e-06,19,0.010580291040241718,1.4889672994613647,0.09658538550138474,0.0038909465074539185,0.027064558118581772,0.20476265251636505,0.5003571428571428,1,9,0.999,0.11625243723392487
1,142,9.880598554445896e-06,20,0.011577649042010307,1.2084349393844604,0.12284553050994873,0.003134799189865589,0.03306248039007187,0.21508482098579407,0.6666666666666667,2,0,0.0,0.5016634464263916
1,124,9.63740239967592e-06,21,0.011458246037364006,1.209376573562622,0.11410386115312576,0.0031891800463199615,0.030917849391698837,0.21508482098579407,0.6204166666666668,2,1,0.111,0.2567356526851654
1,109,9.348736966785509e-06,22,0.011648545041680336,1.209144949913025,0.10756649821996689,0.003161903005093336,0.029263053089380264,0.21508482098579407,0.5741666666666667,2,2,0.222,0.13968585431575775
1,92,9.748111551743932e-06,23,0.011883500963449478,1.2082433700561523,0.10143443197011948,0.003172889119014144,0.02773827314376831,0.21508482098579407,0.5279166666666668,2,3,0.333,0.09714578092098236
1,80,9.634624802856706e-06,24,0.01197701133787632,1.2087502479553223,0.09298360347747803,0.003216615878045559,0.025658365339040756,0.21508482098579407,0.48166666666666674,2,4,0.444,0.09490884095430374
1,69,9.802535714698024e-06,25,0.012359649874269962,1.2078478336334229,0.08802089095115662,0.0031675403006374836,0.0243808776140213,0.21508482098579407,0.4354166666666667,2,5,0.555,0.10419078171253204
1,60,8.94936420081649e-06,26,0.012831875123083591,1.2094510793685913,0.08502507209777832,0.0031573930755257607,0.02362431399524212,0.21508482098579407,0.38916666666666666,2,6,0.666,0.12257376313209534
1,50,9.813823453441728e-06,27,0.013585136272013187,1.2075879573822021,0.08552858233451843,0.00319308671168983,0.023776961490511894,0.21508482098579407,0.34291666666666665,2,7,0.777,0.1434820294380188
1,43,8.47599767439533e-06,28,0.014856654219329357,1.2073009014129639,0.07844856381416321,0.0031533462461084127,0.021977152675390244,0.21508482098579407,0.2966666666666667,2,8,0.888,0.1672501116991043
1,35,8.598178283136804e-06,29,0.016559859737753868,1.2058589458465576,0.07738062739372253,0.003225262276828289,0.021764105185866356,0.21508482098579407,0.2504166666666667,2,9,0.999,0.1932617872953415
1,128,9.585731277184095e-06,30,0.009436266363731452,0.9679849743843079,0.096172034740448,0.0030807426664978266,0.026353567838668823,0.222158744931221,0.3999999999999999,3,0,0.0,0.5082027316093445
1,111,9.816181773203425e-06,31,0.01041741163602897,0.9838672876358032,0.09043503552675247,0.0031508991960436106,0.024971935898065567,0.222158744931221,0.3555999999999999,3,1,0.111,0.27488356828689575
1,93,9.604458682588302e-06,32,0.011588477263493198,0.9776372313499451,0.08392485231161118,0.00311411265283823,0.023316798731684685,0.222158744931221,0.3111999999999999,3,2,0.222,0.16770291328430176
1,77,9.530354873277247e-06,33,0.012996630277484655,0.9776803851127625,0.08331721276044846,0.003127498785033822,0.02317492663860321,0.222158744931221,0.2668,3,3,0.333,0.1448068767786026
1,63,8.917629202187527e-06,34,0.014714584685862064,0.9752440452575684,0.0805603638291359,0.0030698340851813555,0.022442465648055077,0.222158744931221,0.22239999999999996,3,4,0.444,0.16492299735546112
1,49,9.340435099147726e-06,35,0.01717439160815307,0.9735581278800964,0.07769829779863358,0.0029842620715498924,0.021662771701812744,0.222158744931221,0.17799999999999994,3,5,0.555,0.20569679141044617
1,37,8.762187462707516e-06,36,0.020981202567262307,0.9663985967636108,0.07403718680143356,0.002817214000970125,0.02062220871448517,0.222158744931221,0.13359999999999997,3,6,0.666,0.2680671215057373
1,25,8.955613338912372e-06,37,0.027574546369058744,0.9522706270217896,0.07103172689676285,0.00249137612991035,0.019626464694738388,0.222158744931221,0.08919999999999997,3,7,0.777,0.371502548456192
1,12,9.122656592808198e-06,38,0.044128120211618285,0.9301835894584656,0.06871005892753601,0.0016923949588090181,0.01844681240618229,0.222158744931221,0.044799999999999986,3,8,0.888,0.5794077515602112
1,1,1.1852599755002302e-06,39,0.1419714934059552,0.9287469983100891,0.06869212538003922,0.0016811012756079435,0.018433859571814537,0.222158744931221,0.0004000000000000003,3,9,0.999,0.7497169971466064
