blk1_cg_converged,blk1_cg_iters,blk1_cg_resid,frame,gamma2,meas_resid,mse_hole,mse_obs,mse_x1,s2,sigma_tau,stage,step,tau,x0_rms
1,74,9.447942829865497e-06,0,0.009970428422093391,1.9358317852020264,0.18357305228710175,0.007257216610014439,0.051336176693439484,0.19075952470302582,1.0,0,0,0.0,0.8936293721199036
1,67,9.938452421920374e-06,1,0.010642001405358315,1.9358052015304565,0.20520257949829102,0.007396059110760689,0.05684768781065941,0.19075952470302582,0.9722500000000001,0,1,0.111,0.8066703677177429
1,66,9.89156342257047e-06,2,0.01062399335205555,1.935734748840332,0.20727606117725372,0.007384088356047869,0.05735708400607109,0.19075952470302582,0.9445,0,2,0.222,0.7280066013336182
1,66,9.605099876353052e-06,3,0.009873627685010433,1.9356802701950073,0.2230813354253769,0.007359318435192108,0.06128982454538345,0.19075952470302582,0.9167500000000001,0,3,0.333,0.6574079394340515
1,65,9.891647096083034e-06,4,0.009073696099221706,1.93573796749115,0.1951938271522522,0.007370466832071543,0.05432630702853203,0.19075952470302582,0.889,0,4,0.444,0.5927810072898865
1,66,9.558854799252003e-06,5,0.008365506306290627,1.935487985610962,0.21343994140625,0.007429302670061588,0.05893196910619736,0.19075952470302582,0.86125,0,5,0.555,0.5351685285568237
1,66,9.64435821515508e-06,6,0.007804953958839178,1.9357130527496338,0.18958310782909393,0.007414862513542175,0.05295693129301071,0.19075952470302582,0.8335,0,6,0.666,0.48399659991264343
1,70,9.207895345753059e-06,7,0.0074211894534528255,1.93587064743042,0.20528475940227509,0.007321198936551809,0.05681208521127701,0.19075952470302582,0.80575,0,7,0.777,0.4373244643211365
1,65,9.144702744379174e-06,8,0.00719289667904377,1.9356855154037476,0.197152242064476,0.007449666503816843,0.05487531051039696,0.19075952470302582,0.778,0,8,0.888,0.3949374258518219
1,64,9.62677768256981e-06,9,0.007022725883871317,1.9357441663742065,0.20975232124328613,0.007391007617115974,0.05798133835196495,0.19075952470302582,0.75025,0,9,0.999,0.35894545912742615
1,146,9.842417057370767e-06,10,0.013227979652583599,1.4889509677886963,0.1936003416776657,0.0038566940929740667,0.05129260569810867,0.20476265251636505,0.8571428571428572,1,0,0.0,0.9018118977546692
1,121,9.769156349648256e-06,11,0.012689127586781979,1.489524245262146,0.1480027139186859,0.003867784282192588,0.03990152105689049,0.20476265251636505,0.8175000000000001,1,1,0.111,0.8145134449005127
1,127,9.896577466861345e-06,12,0.012317526154220104,1.4891151189804077,0.1387455314397812,0.0038480174262076616,0.03757239878177643,0.20476265251636505,0.7778571428571429,1,2,0.222,0.7350184917449951
1,112,9.62147896643728e-06,13,0.012009454891085625,1.488955020904541,0.1352510303258896,0.0039004343561828136,0.0367380827665329,0.20476265251636505,0.7382142857142858,1,3,0.333,0.6648118495941162
1,107,9.473170393903274e-06,14,0.011795909143984318,1.4892350435256958,0.13951432704925537,0.003843786893412471,0.037761423736810684,0.20476265251636505,0.6985714285714286,1,4,0.444,0.600886344909668
1,93,9.572660928824916e-06,15,0.011530348099768162,1.4890832901000977,0.1196393370628357,0.0038317260332405567,0.0327836275100708,0.20476265251636505,0.6589285714285714,1,5,0.555,0.5441020727157593
1,83,9.84276721283095e-06,16,0.011259624734520912,1.4885358810424805,0.1258651465177536,0.0038804635405540466,0.034376636147499084,0.20476265251636505,0.6192857142857142,1,6,0.666,0.49213293194770813
1,77,9.432726983504836e-06,17,0.010943361558020115,1.4890007972717285,0.12428710609674454,0.003873270470649004,0.033976733684539795,0.20476265251636505,0.5796428571428571,1,7,0.777,0.44754165410995483
1,71,9.393491382070351e-06,18,0.010707459412515163,1.4887624979019165,0.10989383608102798,0.0038770968094468117,0.030381282791495323,0.20476265251636505,0.54,1,8,0.888,0.40911564230918884
1,61,9.999725989473518e-06,19,0.010580291040241718,1.4888784885406494,0.10691843181848526,0.003912969492375851,0.029664333909749985,0.20476265251636505,0.5003571428571428,1,9,0.999,0.3755020797252655
1,142,9.86830946203554e-06,20,0.011577649042010307,1.2085282802581787,0.13689424097537994,0.0031359782442450523,0.036575548350811005,0.21508482098579407,0.6666666666666667,2,0,0.0,0.9488204121589661
1,123,9.600609701010399e-06,21,0.011458246037364006,1.208757996559143,0.12871785461902618,0.0031694951467216015,0.034556590020656586,0.21508482098579407,0.6204166666666668,2,1,0.111,0.9028079509735107
1,109,9.469794349570293e-06,22,0.011648545041680336,1.2083724737167358,0.1288062185049057,0.003162343055009842,0.03457330912351608,0.21508482098579407,0.5741666666666667,2,2,0.222,0.8593858480453491
1,92,9.991981642087922e-06,23,0.011883500963449478,1.207427978515625,0.12104690074920654,0.003191945841535926,0.032655686140060425,0.21508482098579407,0.5279166666666668,2,3,0.333,0.8185861706733704
1,80,9.781230801308993e-06,24,0.01197701133787632,1.207890510559082,0.11191704869270325,0.0032737201545387506,0.03043455444276333,0.21508482098579407,0.48166666666666674,2,4,0.444,0.7809454798698425
1,69,9.968383892555721e-06,25,0.012359649874269962,1.2063705921173096,0.11093587428331375,0.003268883563578129,0.030185632407665253,0.21508482098579407,0.4354166666666667,2,5,0.555,0.7436912655830383
1,60,9.069135558092967e-06,26,0.012831875123083591,1.2075217962265015,0.10575417429208755,0.0032821176573634148,0.028900135308504105,0.21508482098579407,0.38916666666666666,2,6,0.666,0.7109633088111877
1,50,9.763939488038886e-06,27,0.013585136272013187,1.2054983377456665,0.10732966661453247,0.003351656487211585,0.029346158728003502,0.21508482098579407,0.34291666666666665,2,7,0.777,0.6806900501251221
1,43,8.39699714560993e-06,28,0.014856654219329357,1.2042418718338013,0.09981580823659897,0.003330955281853676,0.027452167123556137,0.21508482098579407,0.2966666666666667,2,8,0.888,0.6561710834503174
1,35,8.639717634650879e-06,29,0.016559859737753868,1.2016321420669556,0.10072064399719238,0.0034305627923458815,0.027753083035349846,0.21508482098579407,0.2504166666666667,2,9,0.999,0.6359318494796753
