which,max_iter,seed,hole,obs,full,cg_iters_max,cg_resid_max,unconverged_frames,stage_ends,secs
block1,5,42,0.1096,0.0028,0.0295,5,6.51e-02,39,0.1867/0.1200/0.1137/0.1096,25
block1,5,43,0.1092,0.0028,0.0294,5,6.39e-02,39,,23
block1,5,44,0.1140,0.0028,0.0306,5,6.41e-02,39,,23
block1,5,45,0.1131,0.0028,0.0304,5,6.49e-02,39,,23
block1,10,42,0.1246,0.0027,0.0332,10,3.32e-02,39,0.2216/0.1316/0.1287/0.1246,26
block1,10,43,0.1188,0.0028,0.0318,10,3.31e-02,39,,24
block1,10,44,0.1277,0.0027,0.0340,10,3.27e-02,39,,24
block1,10,45,0.1220,0.0027,0.0326,10,3.23e-02,39,,24
block1,20,42,0.1299,0.0027,0.0345,20,1.29e-02,38,0.2462/0.1281/0.1328/0.1299,27
block1,20,43,0.1177,0.0028,0.0315,20,1.27e-02,38,,26
block1,20,44,0.1338,0.0027,0.0355,20,1.28e-02,38,,13
block1,20,45,0.1170,0.0027,0.0313,20,1.24e-02,38,,25
block1,50,42,0.1287,0.0027,0.0342,50,2.60e-03,34,0.2540/0.1243/0.1243/0.1287,32
block1,50,43,0.1229,0.0028,0.0328,50,2.77e-03,34,,31
block1,50,44,0.1286,0.0027,0.0342,50,2.42e-03,34,,30
block1,50,45,0.1241,0.0027,0.0331,50,2.52e-03,34,,30
block1,300,42,0.1334,0.0027,0.0354,170,9.99e-06,0,0.2551/0.1228/0.1291/0.1334,39
block1,300,43,0.1284,0.0028,0.0342,168,9.99e-06,0,,39
block1,300,44,0.1415,0.0027,0.0374,170,9.98e-06,0,,39
block1,300,45,0.1325,0.0027,0.0352,172,9.99e-06,0,,39
