frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.02513502538204193,-0.020668283104896545,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.08159622550010681,0.006314623635262251
0,0,0,1,0.0,1.0,0.02513502538204193,0.04574131593108177,0.030500760301947594,-0.015240555629134178,0.02060629054903984,0.08159622550010681,0.07242368906736374,0.10166069120168686,0.006780782714486122
1,0,1,0,0.111,0.9722500000000001,0.030500760301947594,0.05400913208723068,0.03442768752574921,-0.019581444561481476,0.02350837178528309,0.10166069120168686,0.06860653311014175,0.11670348793268204,0.007002414204180241
1,0,1,1,0.111,0.9722500000000001,0.03442768752574921,0.059768110513687134,0.035022884607315063,-0.02474522590637207,0.025340422987937927,0.11670348793268204,0.09349425882101059,0.11852052062749863,0.007190336007624865
2,0,2,0,0.222,0.9445,0.035022884607315063,0.04440809041261673,0.036177828907966614,-0.008230261504650116,0.009385205805301666,0.11852052062749863,0.0779573991894722,0.12341031432151794,0.007100332994014025
2,0,2,1,0.222,0.9445,0.036177828907966614,0.07170207798480988,0.03887045010924339,-0.03283162787556648,0.03552424907684326,0.12341031432151794,0.08558022975921631,0.13390642404556274,0.007191792130470276
3,0,3,0,0.333,0.9167500000000001,0.03887045010924339,0.055769484490156174,0.039822399616241455,-0.01594708487391472,0.01689903438091278,0.13390642404556274,0.1123356744647026,0.13790379464626312,0.007128601893782616
3,0,3,1,0.333,0.9167500000000001,0.039822399616241455,0.054783981293439865,0.04016512259840965,-0.014618858695030212,0.01496158167719841,0.13790379464626312,0.06548383086919785,0.13926993310451508,0.0071301874704658985
4,0,4,0,0.444,0.889,0.04016512259840965,0.0381009578704834,0.0412285290658474,0.0031275711953639984,-0.0020641647279262543,0.13926993310451508,0.05665983632206917,0.14328019320964813,0.007211304269731045
4,0,4,1,0.444,0.889,0.0412285290658474,0.15232568979263306,0.04073260724544525,-0.1115930825471878,0.11109716072678566,0.14328019320964813,0.1368248611688614,0.14141881465911865,0.007170535624027252
5,0,5,0,0.555,0.86125,0.04073260724544525,0.047245047986507416,0.04036445543169975,-0.006880592554807663,0.006512440741062164,0.14141881465911865,0.06961023062467575,0.1398015320301056,0.007218759972602129
5,0,5,1,0.555,0.86125,0.04036445543169975,0.05815018340945244,0.04287226125597954,-0.0152779221534729,0.017785727977752686,0.1398015320301056,0.07102767378091812,0.14988887310028076,0.007200052496045828
6,0,6,0,0.666,0.8335,0.04287226125597954,0.04813297092914581,0.04284071922302246,-0.005292251706123352,0.005260709673166275,0.14988887310028076,0.08481224626302719,0.14977537095546722,0.007195831276476383
6,0,6,1,0.666,0.8335,0.04284071922302246,0.06695925444364548,0.043732352554798126,-0.02322690188884735,0.024118535220623016,0.14977537095546722,0.09940161556005478,0.15334613621234894,0.007194423116743565
7,0,7,0,0.777,0.80575,0.043732352554798126,0.062238603830337524,0.04487773776054382,-0.0173608660697937,0.018506251275539398,0.15334613621234894,0.07714679837226868,0.15818798542022705,0.007107647135853767
7,0,7,1,0.777,0.80575,0.04487773776054382,0.04243422672152519,0.044707924127578735,0.002273697406053543,-0.002443511039018631,0.15818798542022705,0.06447335332632065,0.15725930035114288,0.007190796080976725
8,0,8,0,0.888,0.778,0.044707924127578735,0.056463729590177536,0.045630574226379395,-0.010833155363798141,0.0117558054625988,0.15725930035114288,0.09135100990533829,0.16095976531505585,0.007187508977949619
8,0,8,1,0.888,0.778,0.045630574226379395,0.056688468903303146,0.04582419618964195,-0.010864272713661194,0.011057894676923752,0.16095976531505585,0.05950738117098808,0.16200488805770874,0.007097300607711077
9,0,9,0,0.999,0.75025,0.04582419618964195,0.045862480998039246,0.04692818224430084,0.0010657012462615967,3.828480839729309e-05,0.16200488805770874,0.06373485922813416,0.16604168713092804,0.007223678752779961
9,0,9,1,0.999,0.75025,0.04692818224430084,0.049513570964336395,0.04670539125800133,-0.0028081797063350677,0.002585388720035553,0.16604168713092804,0.06245577335357666,0.16544853150844574,0.00712434109300375
10,1,0,0,0.0,0.8571428571428572,0.054186441004276276,0.044968895614147186,0.042084746062755585,-0.0028841495513916016,-0.00921754539012909,0.17441707849502563,0.06535204499959946,0.1579708307981491,0.003456060541793704
10,1,0,1,0.0,0.8571428571428572,0.042084746062755585,0.056502919644117355,0.039375897496938705,-0.01712702214717865,0.01441817358136177,0.1579708307981491,0.07966435700654984,0.14664633572101593,0.0036190850660204887
11,1,1,0,0.111,0.8175000000000001,0.039375897496938705,0.04723861441016197,0.03734865412116051,-0.009889960289001465,0.007862716913223267,0.14664633572101593,0.07670724391937256,0.13830874860286713,0.0036952884402126074
11,1,1,1,0.111,0.8175000000000001,0.03734865412116051,0.06014877185225487,0.036654822528362274,-0.023493949323892593,0.02280011773109436,0.13830874860286713,0.08132660388946533,0.13538801670074463,0.003743750276044011
12,1,2,0,0.222,0.7778571428571429,0.036654822528362274,0.0480470284819603,0.03616081923246384,-0.01188620924949646,0.011392205953598022,0.13538801670074463,0.08187876641750336,0.1335194855928421,0.003707923460751772
12,1,2,1,0.222,0.7778571428571429,0.03616081923246384,0.043030839413404465,0.0352015495300293,-0.007829289883375168,0.006870020180940628,0.1335194855928421,0.06608211249113083,0.1295582801103592,0.0037493014242500067
13,1,3,0,0.333,0.7382142857142858,0.0352015495300293,0.05409812182188034,0.03487453982234001,-0.01922358199954033,0.018896572291851044,0.1295582801103592,0.09996476024389267,0.1282874047756195,0.0037369218189269304
13,1,3,1,0.333,0.7382142857142858,0.03487453982234001,0.05066859722137451,0.03421185910701752,-0.016456738114356995,0.0157940573990345,0.1282874047756195,0.08445366472005844,0.12558315694332123,0.003754762699827552
14,1,4,0,0.444,0.6985714285714286,0.03421185910701752,0.043930843472480774,0.03384682163596153,-0.010084021836519241,0.009718984365463257,0.12558315694332123,0.07824018597602844,0.12422462552785873,0.003720891661942005
14,1,4,1,0.444,0.6985714285714286,0.03384682163596153,0.04642321914434433,0.033122699707746506,-0.013300519436597824,0.012576397508382797,0.12422462552785873,0.10268428176641464,0.12127872556447983,0.0037373576778918505
15,1,5,0,0.555,0.6589285714285714,0.033122699707746506,0.04858962818980217,0.03318268433213234,-0.01540694385766983,0.015466928482055664,0.12127872556447983,0.10219673067331314,0.12151680141687393,0.0037379786372184753
15,1,5,1,0.555,0.6589285714285714,0.03318268433213234,0.0387750081717968,0.03270319104194641,-0.006071817129850388,0.005592323839664459,0.12151680141687393,0.08136136084794998,0.11948677152395248,0.0037753316573798656
16,1,6,0,0.666,0.6192857142857142,0.03270319104194641,0.041595086455345154,0.033023651689291,-0.008571434766054153,0.008891895413398743,0.11948677152395248,0.10073018819093704,0.12096983194351196,0.003708258271217346
16,1,6,1,0.666,0.6192857142857142,0.033023651689291,0.03977810963988304,0.03212960809469223,-0.007648501545190811,0.006754457950592041,0.12096983194351196,0.08639365434646606,0.11727365106344223,0.0037482636980712414
17,1,7,0,0.777,0.5796428571428571,0.03212960809469223,0.042838823050260544,0.03244946524500847,-0.010389357805252075,0.010709214955568314,0.11727365106344223,0.1023411974310875,0.11833276599645615,0.003821698250249028
