frame,stage,tau,sigma_tau,data_prec_range,data_prec_ker,ratio_ker_pooled_junco,spectral_frac_data_dom
0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,0.111,0.9722500000000001,0.0008146481418901384,0.0008146481418901384,3.234115936534451e-05,0.0
2,0,0.222,0.9445,0.0034528844237948324,0.0034528844237948324,0.0001370779354642216,0.0
3,0,0.333,0.9167500000000001,0.008246442727384751,0.008246442727384751,0.00032738001197025123,0.0
4,0,0.444,0.889,0.015589867914429706,0.015589867914429706,0.0006189106397952561,0.0009765625
5,0,0.555,0.86125,0.025954192041220008,0.025954192041220008,0.0010303695765589193,0.0009765625
6,0,0.666,0.8335,0.039904076773127684,0.039904076773127684,0.0015841736326217565,0.0009765625
7,0,0.777,0.80575,0.058119440736276444,0.058119440736276444,0.0023073152670740364,0.0048828125
8,0,0.888,0.778,0.08142293534935666,0.08142293534935666,0.0032324533657167647,0.0048828125
9,0,0.999,0.75025,0.11081511094657885,0.11081511094657885,0.004399309320090433,0.0048828125
10,1,0.0,0.8571428571428572,0.02777777777777777,0.0,0.0,0.0
11,1,0.111,0.8175000000000001,0.049836807601305516,0.004609039643127682,0.000217457229363847,0.000244140625
12,1,0.222,0.7778571428571429,0.08155770915600617,0.020363211377486357,0.0009607484139784127,0.001220703125
13,1,0.333,0.7382142857142858,0.12575550223768858,0.050870216400791195,0.0024000870402903877,0.001220703125
14,1,0.444,0.6985714285714286,0.18618607315961372,0.10099138093266588,0.004764833368268338,0.003173828125
15,1,0.555,0.6589285714285714,0.2679254705826191,0.17735739308612603,0.008367827203484798,0.003173828125
16,1,0.666,0.6192857142857142,0.3779342254576029,0.28913877946863675,0.013641739441023142,0.006591796875
17,1,0.777,0.5796428571428571,0.5259153974615518,0.44922205404518917,0.02119456346778422,0.010009765625
18,1,0.888,0.54,0.7256515775034293,0.6760493827160493,0.031896411630516874,0.013427734375
19,1,0.999,0.5003571428571428,0.9971469344064937,0.9965768103847513,0.04701908614686317,0.020263671875
20,2,0.0,0.6666666666666667,0.24999999999999994,0.0,0.0,0.0
21,2,0.111,0.6204166666666668,0.3743237288357286,0.018005350181609384,0.0009382178172239044,0.00054931640625
22,2,0.222,0.5741666666666667,0.5500515039359959,0.0840915822135528,0.0043818209540788826,0.00189208984375
23,2,0.333,0.5279166666666668,0.7996622415029316,0.22381039177369302,0.011662250115880398,0.00433349609375
24,2,0.444,0.48166666666666674,1.1580440847212072,0.4779641048359094,0.024905621641758132,0.00848388671875
25,2,0.555,0.4354166666666667,1.6813030837206107,0.9138994070648566,0.047621218038535786,0.01300048828125
26,2,0.666,0.38916666666666666,2.4636226494687947,1.6474024824727522,0.08584239382211636,0.01934814453125
27,2,0.777,0.34291666666666665,3.671670635688123,2.8879347554881014,0.1504837070787207,0.02838134765625
28,2,0.888,0.2966666666666667,5.620628708496402,5.0397727559651555,0.26261108763303637,0.04522705078125
29,2,0.999,0.2504166666666667,8.960110852406276,8.952143654087335,0.46647583045574004,0.07000732421875
30,3,0.0,0.3999999999999999,2.2500000000000018,0.0,0.0,0.0
31,3,0.111,0.3555999999999999,3.2838821187846485,0.09743667446518572,0.005401233037070388,0.0017547607421875
32,3,0.222,0.3111999999999999,4.898996173696979,0.5088933459334795,0.02820961991455585,0.0055389404296875
33,3,0.333,0.2668,7.552196165785175,1.557818354690721,0.08635495832851461,0.0133514404296875
34,3,0.444,0.22239999999999996,12.224833083173756,3.985624450080225,0.22093617799754178,0.0304718017578125
35,3,0.555,0.17799999999999994,21.325716449943208,9.721783865673535,0.5389102253617608,0.0638885498046875
36,3,0.666,0.13359999999999997,42.055613324249734,24.85052350389044,1.3775456651659994,0.132720947265625
37,3,0.777,0.08919999999999997,104.2596673972934,75.87738040177769,4.206130967029998,0.309814453125
38,3,0.888,0.044799999999999986,454.60331632653094,392.88903061224516,21.77912191372707,0.7929229736328125
39,3,0.999,0.0004000000000000003,6245000.999999992,6237506.249999991,345765.33950233023,1.0
