frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.0538078173995018,0.008004508912563324,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.1939479112625122,0.00709444098174572
0,0,0,1,0.0,1.0,0.0538078173995018,0.04574131593108177,0.056774623692035675,0.011033307760953903,-0.008066501468420029,0.1939479112625122,0.07242368161678314,0.20551826059818268,0.007193405646830797
1,0,1,0,0.111,0.9722500000000001,0.056774623692035675,0.05400833487510681,0.06727414578199387,0.013265810906887054,-0.0027662888169288635,0.20551826059818268,0.06862955540418625,0.2477567046880722,0.007113297935575247
1,0,1,1,0.111,0.9722500000000001,0.06727414578199387,0.05995841324329376,0.05780620872974396,-0.0021522045135498047,-0.007315732538700104,0.2477567046880722,0.09401627629995346,0.20945429801940918,0.00725683756172657
2,0,2,0,0.222,0.9445,0.05780620872974396,0.04378565400838852,0.05434132739901543,0.010555673390626907,-0.014020554721355438,0.20945429801940918,0.07526293396949768,0.1959618479013443,0.007134477142244577
2,0,2,1,0.222,0.9445,0.05434132739901543,0.07233535498380661,0.06744176894426346,-0.004893586039543152,0.017994027584791183,0.1959618479013443,0.08528319746255875,0.24809683859348297,0.007223404012620449
3,0,3,0,0.333,0.9167500000000001,0.06744176894426346,0.057668477296829224,0.06152508407831192,0.0038566067814826965,-0.009773291647434235,0.24809683859348297,0.11883578449487686,0.22467948496341705,0.007140282075852156
3,0,3,1,0.333,0.9167500000000001,0.06152508407831192,0.05490538477897644,0.06450468301773071,0.009599298238754272,-0.00661969929933548,0.22467948496341705,0.06547432392835617,0.23662708699703217,0.007130548357963562
4,0,4,0,0.444,0.889,0.06450468301773071,0.03815736994147301,0.06117214262485504,0.023014772683382034,-0.026347313076257706,0.23662708699703217,0.0566672682762146,0.22293372452259064,0.007251611910760403
4,0,4,1,0.444,0.889,0.06117214262485504,0.15285933017730713,0.06788808107376099,-0.08497124910354614,0.09168718755245209,0.22293372452259064,0.13332940638065338,0.2500459849834442,0.007168779615312815
5,0,5,0,0.555,0.86125,0.06788808107376099,0.04721130058169365,0.0625246912240982,0.015313390642404556,-0.020676780492067337,0.2500459849834442,0.07009200006723404,0.22841493785381317,0.007227946538478136
