task,frame,stage,step,tau,sigma_tau,stage_res,s2,cap,tol,iters_plain_to_tol,converged_within_cap,rel_resid_at_cap,err_at_cap,iters_jacobi_to_tol,rel_resid_jacobi,err_jacobi
motion_blur,0,0,0,0.0,1.0,32,0.2000590571988071,50,1e-05,174,0,0.001137704006396234,0.11996695399284363,171,9.578812750987709e-06,0.000992397079244256
motion_blur,5,0,5,0.555,0.86125,32,0.2000590571988071,50,1e-05,174,0,0.0011022570542991161,0.11906882375478745,174,9.070796295418404e-06,0.0009429323836229742
motion_blur,10,1,0,0.0,0.8571428571428572,64,0.21108518838244975,50,1e-05,137,0,0.001235428499057889,0.07033849507570267,135,9.50949834077619e-06,0.0005689176614396274
motion_blur,15,1,5,0.555,0.6589285714285714,64,0.21108518838244975,50,1e-05,136,0,0.0012232988374307752,0.06812945753335953,134,9.40114932745928e-06,0.0005625553894788027
motion_blur,19,1,9,0.999,0.5003571428571428,64,0.21108518838244975,50,1e-05,126,0,0.0010426336666569114,0.05343959107995033,125,9.33200408326229e-06,0.0005102523718960583
motion_blur,20,2,0,0.0,0.6666666666666667,128,0.2203612135091675,50,1e-05,83,0,0.0003101349575445056,0.005739766638725996,88,9.127294106292538e-06,0.00022154733596835285
motion_blur,25,2,5,0.555,0.4354166666666667,128,0.2203612135091675,50,1e-05,76,0,0.00019431491091381758,0.0033195579890161753,80,9.511945791018661e-06,0.00020738135208375752
motion_blur,29,2,9,0.999,0.2504166666666667,128,0.2203612135091675,50,1e-05,50,1,8.299809451273177e-06,9.477956336922944e-05,54,9.182946087094024e-06,0.00013095512986183167
motion_blur,30,3,0,0.0,0.3999999999999999,256,0.22819071692139276,50,1e-05,38,1,8.94163895281963e-06,4.717307456303388e-05,44,8.620650987722911e-06,6.22841835138388e-05
motion_blur,34,3,4,0.444,0.22239999999999996,256,0.22819071692139276,50,1e-05,24,1,9.352052074973471e-06,3.361963536008261e-05,29,7.767325769236777e-06,3.6914578231517226e-05
motion_blur,38,3,8,0.888,0.044799999999999986,256,0.22819071692139276,50,1e-05,5,1,6.7303185460332315e-06,7.1724416557117365e-06,6,7.282925253093708e-06,8.894241545931436e-06
