frame,stage,step,tau,kind,sigma_tau,gamma2,s2,h_tau,C_inv,rep,delta_planted,d_in,d_hat,d_out,endpoint_gain,block1_gain,net_gain
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,0.02,0.020337210968136787,0.009364590980112553,0.18022751808166504,-0.010972619988024235,0.1708629271015525,0.15989030711352825
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,0.05,0.049786340445280075,0.011207550764083862,0.1860392838716507,-0.03857878968119621,0.17483173310756683,0.13625294342637062
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,0.1,0.0977034941315651,0.012394734658300877,0.18762345612049103,-0.08530875947326422,0.17522872146219015,0.08991996198892593
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,0.2,0.19708077609539032,0.015896782279014587,0.1877097636461258,-0.18118399381637573,0.1718129813671112,-0.009371012449264526
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,0.4,0.40354564785957336,0.1305437982082367,0.30666449666023254,-0.27300184965133667,0.17612069845199585,-0.09688115119934082
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,0.8,0.7969107627868652,0.3065875768661499,0.46317195892333984,-0.49032318592071533,0.15658438205718994,-0.3337388038635254
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,1.6,1.5918077230453491,0.3606545031070709,0.5206112861633301,-1.2311532199382782,0.15995678305625916,-1.071196436882019
25,2,5,0.555,gauss,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,3.2,3.1994364261627197,0.3340489864349365,0.4879019260406494,-2.865387439727783,0.1538529396057129,-2.7115345001220703
25,2,5,0.555,replay,0.4354166666666667,0.012359649874269962,0.2203612135091675,0.5645833333333333,6.219306773550526,0,nan,0.09581153839826584,0.07167625427246094,0.24782007932662964,-0.0241352841258049,0.1761438250541687,0.1520085409283638
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,0.02,0.019397273659706116,0.005874999333173037,0.08045784384012222,-0.01352227432653308,0.07458284450694919,0.06106057018041611
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,0.05,0.049496471881866455,0.018013523891568184,0.09214504808187485,-0.03148294799029827,0.07413152419030666,0.04264857620000839
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,0.1,0.10062388330698013,0.06198012828826904,0.13242684304714203,-0.03864375501871109,0.07044671475887299,0.031802959740161896
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,0.2,0.20032459497451782,0.15047353506088257,0.2197655886411667,-0.049851059913635254,0.06929205358028412,0.019440993666648865
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,0.4,0.3938990533351898,0.2877078354358673,0.3516198694705963,-0.10619121789932251,0.063912034034729,-0.042279183864593506
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,0.8,0.7942923903465271,0.409338116645813,0.4640142619609833,-0.3849542737007141,0.05467614531517029,-0.3302781283855438
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,1.6,1.6178785562515259,0.5433544516563416,0.583651065826416,-1.0745241045951843,0.04029661417007446,-1.0342274904251099
29,2,9,0.999,gauss,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,3.2,3.2180051803588867,0.8386695981025696,0.8762476444244385,-2.379335582256317,0.037578046321868896,-2.3417575359344482
29,2,9,0.999,replay,0.2504166666666667,0.016559859737753868,0.2203612135091675,0.7495833333333333,13.498114542236191,0,nan,0.09581153839826584,0.08508425205945969,0.1595534235239029,-0.010727286338806152,0.0744691714644432,0.06374188512563705
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,0.02,0.019714783877134323,0.008973373100161552,0.1604442596435547,-0.01074141077697277,0.15147088654339314,0.14072947576642036
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,0.05,0.04989255592226982,0.009769746102392673,0.16105492413043976,-0.04012280981987715,0.15128517802804708,0.11116236820816994
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,0.1,0.10071424394845963,0.011730720289051533,0.16415680944919586,-0.08898352365940809,0.15242608916014433,0.06344256550073624
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,0.2,0.201557919383049,0.048036884516477585,0.19939707219600677,-0.15352103486657143,0.1513601876795292,-0.0021608471870422363
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,0.4,0.40371212363243103,0.10584833472967148,0.2574756145477295,-0.29786378890275955,0.15162727981805801,-0.14623650908470154
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,0.8,0.7961850166320801,0.12853527069091797,0.2800349295139313,-0.6676497459411621,0.1514996588230133,-0.5161500871181488
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,1.6,1.6120491027832031,0.14169247448444366,0.2896372973918915,-1.4703566282987595,0.14794482290744781,-1.3224118053913116
30,3,0,0.0,gauss,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,3.2,3.1482086181640625,0.22127027809619904,0.3708500564098358,-2.9269383400678635,0.14957977831363678,-2.7773585617542267
30,3,0,0.0,replay,0.3999999999999999,0.009431982412934303,0.22819071692139276,0.6000000000000001,6.63229921659995,0,nan,3.521770477294922,0.4734460413455963,0.6247907876968384,-3.0483244359493256,0.15134474635124207,-2.8969796895980835
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,0.02,0.020128564909100533,0.0073341852985322475,0.13826371729373932,-0.012794379610568285,0.13092953199520707,0.11813515238463879
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,0.05,0.05033739283680916,0.010006529279053211,0.1402599960565567,-0.04033086355775595,0.1302534667775035,0.08992260321974754
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,0.1,0.09898871183395386,0.03532848134636879,0.16688628494739532,-0.06366023048758507,0.13155780360102654,0.06789757311344147
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,0.2,0.20106051862239838,0.12930548191070557,0.2569243907928467,-0.07175503671169281,0.1276189088821411,0.0558638721704483
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,0.4,0.40148159861564636,0.14724348485469818,0.2810330092906952,-0.2542381137609482,0.133789524435997,-0.12044858932495117
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,0.8,0.7932462692260742,0.15141399204730988,0.28401586413383484,-0.6418322771787643,0.13260187208652496,-0.5092304050922394
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,1.6,1.616651177406311,0.17801015079021454,0.30868497490882874,-1.4386410266160965,0.1306748241186142,-1.3079662024974823
31,3,1,0.111,gauss,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,3.2,3.1997156143188477,0.3897148668766022,0.5214554667472839,-2.8100007474422455,0.13174059987068176,-2.6782601475715637
31,3,1,0.111,replay,0.3555999999999999,0.01087617315351963,0.22819071692139276,0.6444000000000001,7.6661813353845965,0,nan,3.521770477294922,1.8909298181533813,2.0218629837036133,-1.6308406591415405,0.13093316555023193,-1.4999074935913086
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,0.02,0.019964182749390602,0.007142005488276482,0.11553826183080673,-0.01282217726111412,0.10839625634253025,0.09557407908141613
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,0.05,0.049773573875427246,0.036323171108961105,0.14502973854541779,-0.01345040276646614,0.10870656743645668,0.09525616466999054
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,0.1,0.09916547685861588,0.12448542565107346,0.23279635608196259,0.02531994879245758,0.10831093043088913,0.1336308792233467
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,0.2,0.1990404576063156,0.22276146709918976,0.3300054669380188,0.023721009492874146,0.10724399983882904,0.13096500933170319
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,0.4,0.40060266852378845,0.28208932280540466,0.38911446928977966,-0.11851334571838379,0.107025146484375,-0.011488199234008789
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,0.8,0.8006930351257324,0.3042387068271637,0.4140840768814087,-0.4964543282985687,0.109845370054245,-0.38660895824432373
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,1.6,1.595908761024475,0.32186242938041687,0.4303673207759857,-1.2740463316440582,0.10850489139556885,-1.1655414402484894
32,3,2,0.222,gauss,0.3111999999999999,0.013747267425060272,0.22819071692139276,0.6888000000000001,9.281295390296929,0,3.2,3.200531005859375,0.5698161721229553,0.678975522518158,-2.6307148337364197,0.10915935039520264,-2.521555483341217
