arm,seed,s2_stage3,mse,hole,obs,meas_resid
measured,42,0.22819071692139276,0.8825531005859375,3.521770477294922,0.0028139997739344835,0.8990511298179626
measured,43,0.22819071692139276,0.8494102358818054,3.389120101928711,0.002840185770764947,0.8986698389053345
measured,44,0.22819071692139276,0.9186998605728149,3.666297197341919,0.002833961509168148,0.8999219536781311
measured,45,0.22819071692139276,0.8283306956291199,3.304656982421875,0.002888450864702463,0.8984186053276062
lam25,42,0.04,0.8154438734054565,3.2534539699554443,0.002773860702291131,0.9002207517623901
lam25,43,0.04,0.6756593585014343,2.694185256958008,0.00281738955527544,0.9002184271812439
lam25,44,0.04,0.8248343467712402,3.290952682495117,0.002794880885630846,0.9007898569107056
lam25,45,0.04,0.7548012733459473,3.0107574462890625,0.0028157320339232683,0.8984974026679993
lam100,42,0.01,0.3381311893463135,1.3446992635726929,0.002608534414321184,0.9038188457489014
lam100,43,0.01,0.4162691533565521,1.6572448015213013,0.002610587514936924,0.9033203721046448
lam100,44,0.01,0.40189120173454285,1.599756121635437,0.0026028987485915422,0.9037420749664307
lam100,45,0.01,0.359270304441452,1.4292144775390625,0.0026222688611596823,0.9017124176025391
lam400,42,0.0025,0.28664231300354004,1.1402112245559692,0.002119302749633789,0.9280903339385986
lam400,43,0.0025,0.4517240524291992,1.8007389307022095,0.0020524326246231794,0.9271469116210938
lam400,44,0.0025,0.3728426396846771,1.4851783514022827,0.00206404784694314,0.926414430141449
lam400,45,0.0025,0.3514668941497803,1.3996528387069702,0.002071621362119913,0.9250057339668274
