S_it,metric,stage0,stage1,stage2,stage3
1,full,0.063406,0.043236,0.042482,0.041182
1,hole,0.188416,0.136912,0.140639,0.154481
1,obs,0.021736,0.012011,0.009763,0.003416
2,full,0.052440,0.037537,0.039544,0.039785
2,hole,0.144704,0.114288,0.129069,0.149529
2,obs,0.021685,0.011954,0.009703,0.003204
3,full,0.048591,0.041860,0.041346,0.042853
3,hole,0.128957,0.131657,0.136432,0.162211
3,obs,0.021802,0.011928,0.009650,0.003067
4,full,0.048638,0.042601,0.043923,0.046028
4,hole,0.129442,0.134587,0.146488,0.174890
4,obs,0.021703,0.011939,0.009735,0.003075
5,full,0.049376,0.040424,0.044808,0.048070
5,hole,0.132199,0.125898,0.150364,0.183110
5,obs,0.021768,0.011932,0.009622,0.003057
10,full,0.049972,0.036260,0.048411,0.057076
10,hole,0.134946,0.109342,0.164598,0.219195
10,obs,0.021648,0.011900,0.009681,0.003037
