stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.03969954352354733,0.009970428422093391,0.038327958434820175,1.9353137016296387,0.9947441816329956,19,7.909766281954944e-06,1,0.12979517877101898,0.007838883437216282,0,0.05406167730689049,18.691704754216637,0.989516019821167,0.15104953944683075,0.02173238806426525
0,1,0.111,0.9722500000000001,0.03969954352354733,0.010642001405358315,0.040182676166296005,1.9351648092269897,0.9973888397216797,15,8.37474362924695e-06,1,0.13736170530319214,0.007789663039147854,1,0.05591639503836632,18.545208268988485,0.9947845339775085,0.1586160808801651,0.021683167666196823
0,2,0.222,0.9445,0.03969954352354733,0.01062399335205555,0.037163540720939636,1.9351930618286133,0.9829674363136292,15,8.24705512059154e-06,1,0.12493164092302322,0.007907504215836525,2,0.05289725959300995,18.78626817864834,0.9662250280380249,0.1461860090494156,0.02180100791156292
0,3,0.333,0.9167500000000001,0.03969954352354733,0.009873627685010433,0.03849753737449646,1.9352319240570068,0.9869840145111084,15,8.154154784278944e-06,1,0.13056935369968414,0.007806932087987661,3,0.05423125624656677,18.67810326508352,0.9741374850273132,0.1518237292766571,0.021700436249375343
0,4,0.444,0.889,0.03969954352354733,0.009073696099221706,0.033845558762550354,1.935334324836731,0.9984487891197205,15,8.89261264092056e-06,1,0.11175801604986191,0.007874742150306702,4,0.04957928508520126,19.067597312154547,0.9968999624252319,0.13301238417625427,0.021768245846033096
0,5,0.555,0.86125,0.03969954352354733,0.008365506306290627,0.054964661598205566,1.9351683855056763,0.9851222038269043,15,8.045400136325043e-06,1,0.19622522592544556,0.007877800613641739,5,0.07069838047027588,17.526505260583395,0.9704657793045044,0.21747960150241852,0.021771304309368134
0,6,0.666,0.8335,0.03969954352354733,0.007804953958839178,0.05239875242114067,1.9351860284805298,1.0122591257095337,15,8.465408427582588e-06,1,0.18607687950134277,0.007839377038180828,6,0.06813247501850128,17.68705825677072,1.024668574333191,0.20733124017715454,0.021732881665229797
0,7,0.777,0.80575,0.03969954352354733,0.0074211894534528255,0.03277633711695671,1.9354146718978882,1.0158469676971436,15,7.98452219896717e-06,1,0.10727112740278244,0.00794474221765995,7,0.04851005971431732,19.16228182099084,1.031944990158081,0.1285254955291748,0.021838245913386345
0,8,0.888,0.778,0.03969954352354733,0.00719289667904377,0.035362351685762405,1.9352225065231323,0.9899382591247559,15,8.260277354565915e-06,1,0.1177336797118187,0.007905238308012486,8,0.051096074283123016,18.9367245680323,0.9799777865409851,0.13898806273937225,0.021798741072416306
0,9,0.999,0.75025,0.03969954352354733,0.007022725883871317,0.03423835337162018,1.9351592063903809,0.9699145555496216,15,8.332155630341731e-06,1,0.11369133740663528,0.0077540213242173195,9,0.04997207224369049,19.033326321727518,0.9407342672348022,0.13494570553302765,0.02164752595126629
1,0,0.0,0.8571428571428572,0.04718059426719991,0.013227979652583599,0.04298873990774155,1.4854960441589355,1.001232385635376,18,9.80004551820457e-06,1,0.15698803961277008,0.0049889665096998215,10,0.05124140903353691,18.924389278845812,1.0024662017822266,0.16927385330200195,0.011897253803908825
1,1,0.111,0.8175000000000001,0.04718059426719991,0.012689127586781979,0.03338482230901718,1.48555588722229,1.0051027536392212,16,9.99010353552876e-06,1,0.11857353895902634,0.0049885776825249195,11,0.04163748770952225,19.82575473822964,1.0102314949035645,0.1308593600988388,0.011896864511072636
1,2,0.222,0.7778571428571429,0.04718059426719991,0.012317526154220104,0.03940540552139282,1.4859763383865356,1.0067402124404907,16,9.96750623016851e-06,1,0.14249618351459503,0.005041811149567366,12,0.047658078372478485,19.239234642082863,1.0135258436203003,0.1547820121049881,0.011950097978115082
1,3,0.333,0.7382142857142858,0.04718059426719991,0.012009454891085625,0.04059029370546341,1.4858577251434326,1.0015387535095215,16,9.993883395509329e-06,1,0.14737015962600708,0.004996995907276869,13,0.048842959105968475,19.132580239244117,1.0030797719955444,0.15965600311756134,0.011905282735824585
1,4,0.444,0.6985714285714286,0.04718059426719991,0.011795909143984318,0.036339208483695984,1.4850891828536987,0.9979171752929688,16,9.880074685497675e-06,1,0.13027390837669373,0.005027643404901028,14,0.044591885060071945,19.528041593936287,0.9958386421203613,0.1425597369670868,0.011935929767787457
1,5,0.555,0.6589285714285714,0.04718059426719991,0.011530348099768162,0.033643320202827454,1.4855531454086304,1.005010962486267,16,9.967492587747984e-06,1,0.11949815601110458,0.005025049205869436,15,0.041895996779203415,19.798874638213533,1.0100469589233398,0.13178397715091705,0.011933335103094578
1,6,0.666,0.6192857142857142,0.04718059426719991,0.011259624734520912,0.03167802095413208,1.4851408004760742,0.9920858144760132,16,9.893788956105709e-06,1,0.11188425868749619,0.004942607134580612,16,0.03993069380521774,20.00753135099068,0.9842342138290405,0.12417008727788925,0.011850894428789616
