stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.03969954352354733,0.009970428422093391,0.03815827518701553,1.9352015256881714,1.0024131536483765,19,7.743003152427264e-06,1,0.12885628640651703,0.007925603538751602,0,0.053891997784376144,18.705357080724664,1.0048320293426514,0.15011066198349,0.021819107234477997
0,1,0.111,0.9722500000000001,0.03969954352354733,0.010642001405358315,0.041941724717617035,1.9351423978805542,0.984796941280365,15,7.797340913384687e-06,1,0.1439223438501358,0.00794818066060543,1,0.05767544358968735,18.410690479040102,0.9698249697685242,0.16517671942710876,0.021841684356331825
0,2,0.222,0.9445,0.03969954352354733,0.01062399335205555,0.04166405647993088,1.9353785514831543,1.0142161846160889,15,7.922747499833349e-06,1,0.14288575947284698,0.007923483848571777,2,0.05739777535200119,18.43164931178649,1.0286344289779663,0.16414013504981995,0.02181698940694332
0,3,0.333,0.9167500000000001,0.03969954352354733,0.009873627685010433,0.038569897413253784,1.9352389574050903,0.9999520778656006,15,7.852666385588236e-06,1,0.13086234033107758,0.007805749773979187,3,0.0543036162853241,18.672312394469202,0.9999041557312012,0.15211671590805054,0.02169925533235073
0,4,0.444,0.889,0.03969954352354733,0.009073696099221706,0.053066980093717575,1.9353214502334595,0.9947441220283508,15,7.883251782914158e-06,1,0.18874108791351318,0.007842276245355606,4,0.06880070269107819,17.64467117434031,0.9895159006118774,0.20999546349048615,0.021735779941082
0,5,0.555,0.86125,0.03969954352354733,0.008365506306290627,0.03670670837163925,1.9352167844772339,1.0126255750656128,15,8.402199455304071e-06,1,0.12309092283248901,0.007911967113614082,5,0.05244043096899986,18.823937391510785,1.025410532951355,0.14434529840946198,0.021805472671985626
0,6,0.666,0.8335,0.03969954352354733,0.007804953958839178,0.047110140323638916,1.9352718591690063,0.9999905228614807,15,7.754811122140381e-06,1,0.16480426490306854,0.007878766395151615,6,0.06284386664628983,18.037970929440277,0.9999811053276062,0.1860586404800415,0.021772271022200584
0,7,0.777,0.80575,0.03969954352354733,0.0074211894534528255,0.041922904551029205,1.9352035522460938,1.0016690492630005,15,7.411638762278017e-06,1,0.14404098689556122,0.007883538492023945,7,0.05765662342309952,18.412107863603104,1.0033409595489502,0.16529536247253418,0.021777043119072914
0,8,0.888,0.778,0.03969954352354733,0.00719289667904377,0.03666766732931137,1.935304045677185,0.994405210018158,15,8.273670573544223e-06,1,0.12333816289901733,0.007777497172355652,8,0.05240138620138168,18.827172155723268,0.988841712474823,0.1445925384759903,0.021671000868082047
0,9,0.999,0.75025,0.03969954352354733,0.007022725883871317,0.03670599311590195,1.9351557493209839,0.9973888993263245,15,7.200178970379056e-06,1,0.12344983965158463,0.0077913799323141575,9,0.05243971571326256,18.823996627053393,0.9947845935821533,0.144704207777977,0.021684885025024414
1,0,0.0,0.8571428571428572,0.04718059426719991,0.013227979652583599,0.034816350787878036,1.4853142499923706,1.0041356086730957,18,9.535839126328938e-06,1,0.12440628558397293,0.004953035153448582,10,0.0430690199136734,19.678950023358855,1.0082883834838867,0.1366921067237854,0.011861320585012436
1,1,0.111,0.8175000000000001,0.04718059426719991,0.012689127586781979,0.03978422284126282,1.485121250152588,0.9955300688743591,15,9.83258996711811e-06,1,0.14412344992160797,0.00500447815284133,11,0.04803689569234848,19.20485057277451,0.9910801649093628,0.15640927851200104,0.011912764981389046
1,2,0.222,0.7778571428571429,0.04718059426719991,0.012317526154220104,0.031114783138036728,1.4856001138687134,0.9890120625495911,16,9.892099114949815e-06,1,0.10946077853441238,0.004999450407922268,12,0.03936745226383209,20.069226817844136,0.9781448245048523,0.12174659967422485,0.011907737702131271
1,3,0.333,0.7382142857142858,0.04718059426719991,0.012009454891085625,0.031886301934719086,1.4855440855026245,0.9963897466659546,16,6.190430212882347e-06,1,0.11261240392923355,0.004977598786354065,13,0.04013897478580475,19.98493715616801,0.9927924871444702,0.12489822506904602,0.011885885149240494
1,4,0.444,0.6985714285714286,0.04718059426719991,0.011795909143984318,0.03217655047774315,1.485342025756836,0.9943422675132751,16,6.282662980083842e-06,1,0.11368756741285324,0.005006208084523678,14,0.04042921960353851,19.953646330056152,0.9887166023254395,0.1259733885526657,0.011914495378732681
1,5,0.555,0.6589285714285714,0.04718059426719991,0.011530348099768162,0.031454574316740036,1.4855064153671265,1.0022141933441162,16,6.1996943259146065e-06,1,0.1108272448182106,0.004997016862034798,15,0.0397072434425354,20.031902528223647,1.004433274269104,0.12311306595802307,0.011905302293598652
1,6,0.666,0.6192857142857142,0.04718059426719991,0.011259624734520912,0.029931962490081787,1.4855669736862183,0.9953421354293823,16,6.099579422880197e-06,1,0.10481605678796768,0.004970597103238106,16,0.03818463534116745,20.20171343831402,0.9907059669494629,0.11710188537836075,0.01187888253480196
1,7,0.777,0.5796428571428571,0.04718059426719991,0.010943361558020115,0.03095538541674614,1.485508918762207,1.013023853302002,16,9.95493792288471e-06,1,0.10888153314590454,0.004980001598596573,17,0.0392080582678318,20.086846564097232,1.0262173414230347,0.12116736173629761,0.011888287961483002
1,8,0.888,0.54,0.04718059426719991,0.010707459412515163,0.030244573950767517,1.4851917028427124,1.0010820627212524,15,9.609328117221594e-06,1,0.1059495210647583,0.005009593442082405,18,0.03849724680185318,20.16630320040708,1.0021653175354004,0.11823534220457077,0.01191787887364626
1,9,0.999,0.5003571428571428,0.04718059426719991,0.010580291040241718,0.02928462252020836,1.485282301902771,0.9915290474891663,16,9.763108209881466e-06,1,0.10200261324644089,0.005045292899012566,19,0.03753729909658432,20.275969705026316,0.9831298589706421,0.11428844183683395,0.011953579261898994
2,0,0.0,0.6666666666666667,0.05210772396874556,0.011577649042010307,0.034770190715789795,1.1875845193862915,0.9932594299316406,18,6.8212352744012605e-06,1,0.11831030994653702,0.00692348275333643,20,0.038095735013484955,20.21183634124505,0.9865643382072449,0.12382710725069046,0.009518603794276714
2,1,0.111,0.6204166666666668,0.05210772396874556,0.011458246037364006,0.03423859924077988,1.1867997646331787,0.9982382655143738,17,6.782890523027163e-06,1,0.11613073199987411,0.006941219326108694,21,0.03756414353847504,20.272864999425366,0.9964796900749207,0.12164753675460815,0.009536339901387691
2,2,0.222,0.5741666666666667,0.05210772396874556,0.011648545041680336,0.03663261607289314,1.1880784034729004,0.9935749769210815,17,6.672897598036798e-06,1,0.12555670738220215,0.006991250440478325,22,0.039958156645298004,20.00454546239501,0.9871912002563477,0.1310735046863556,0.009586370550096035
