frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.03816109150648117,-0.007642216980457306,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.12903378903865814,0.00787019357085228
0,0,0,1,0.0,1.0,0.03816109150648117,0.04574131593108177,0.03815827518701553,-0.007583040744066238,0.007580224424600601,0.12903378903865814,0.07242368161678314,0.12885628640651703,0.007925604470074177
1,0,1,0,0.111,0.9722500000000001,0.03815827518701553,0.053957968950271606,0.0377037487924099,-0.01625422015786171,0.015799693763256073,0.12885628640651703,0.06882204860448837,0.12739911675453186,0.007805290166288614
1,0,1,1,0.111,0.9722500000000001,0.0377037487924099,0.06000024080276489,0.041941724717617035,-0.018058516085147858,0.022296492010354996,0.12739911675453186,0.09397443383932114,0.1439223289489746,0.007948183454573154
2,0,2,0,0.222,0.9445,0.041941724717617035,0.04511633515357971,0.03976604342460632,-0.005350291728973389,0.003174610435962677,0.1439223289489746,0.08152732998132706,0.13561569154262543,0.007816154509782791
2,0,2,1,0.222,0.9445,0.03976604342460632,0.07051604986190796,0.041664060205221176,-0.028851989656686783,0.030750006437301636,0.13561569154262543,0.08668538182973862,0.14288577437400818,0.007923484779894352
3,0,3,0,0.333,0.9167500000000001,0.041664060205221176,0.058357834815979004,0.05008615553379059,-0.008271679282188416,0.016693774610757828,0.14288577437400818,0.12157275527715683,0.1769208163022995,0.007807937916368246
3,0,3,1,0.333,0.9167500000000001,0.05008615553379059,0.0574762225151062,0.038569897413253784,-0.018906325101852417,0.007390066981315613,0.1769208163022995,0.07130628079175949,0.13086234033107758,0.007805747911334038
4,0,4,0,0.444,0.889,0.038569897413253784,0.03875581920146942,0.0353848822414875,-0.0033709369599819183,0.0001859217882156372,0.13086234033107758,0.059371042996644974,0.11769959330558777,0.007946646772325039
4,0,4,1,0.444,0.889,0.0353848822414875,0.15066245198249817,0.053066980093717575,-0.0975954718887806,0.11527756974101067,0.11769959330558777,0.14004002511501312,0.18874108791351318,0.007842275314033031
5,0,5,0,0.555,0.86125,0.053066980093717575,0.050404470413923264,0.038258809596300125,-0.012145660817623138,-0.0026625096797943115,0.18874108791351318,0.07889502495527267,0.1292523592710495,0.007927624508738518
5,0,5,1,0.555,0.86125,0.038258809596300125,0.053369298577308655,0.03670670837163925,-0.016662590205669403,0.01511048898100853,0.1292523592710495,0.06846442073583603,0.12309092283248901,0.007911967113614082
6,0,6,0,0.666,0.8335,0.03670670837163925,0.04987166449427605,0.0413515642285347,-0.008520100265741348,0.013164956122636795,0.12309092283248901,0.09146542102098465,0.14170598983764648,0.007900085300207138
6,0,6,1,0.666,0.8335,0.0413515642285347,0.07209780067205429,0.047110140323638916,-0.024987660348415375,0.030746236443519592,0.14170598983764648,0.1160847470164299,0.16480425000190735,0.007878769189119339
7,0,7,0,0.777,0.80575,0.047110140323638916,0.06630551069974899,0.04099120944738388,-0.025314301252365112,0.019195370376110077,0.16480425000190735,0.08936425298452377,0.14050523936748505,0.007819865830242634
7,0,7,1,0.777,0.80575,0.04099120944738388,0.04737680405378342,0.04192289710044861,-0.005453906953334808,0.006385594606399536,0.14050523936748505,0.08041823655366898,0.14404098689556122,0.007883538492023945
