frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.03816109150648117,-0.007642216980457306,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.12903378903865814,0.00787019357085228
0,0,0,1,0.0,1.0,0.03816109150648117,0.04574131593108177,0.03815827891230583,-0.00758303701877594,0.007580224424600601,0.12903378903865814,0.07242368161678314,0.12885628640651703,0.007925605401396751
1,0,1,0,0.111,0.9722500000000001,0.03815827891230583,0.0539579764008522,0.0377037487924099,-0.016254227608442307,0.01579969748854637,0.12885628640651703,0.06882204860448837,0.12739913165569305,0.007805292960256338
1,0,1,1,0.111,0.9722500000000001,0.0377037487924099,0.06000024825334549,0.041941724717617035,-0.018058523535728455,0.022296499460935593,0.12739913165569305,0.09397443383932114,0.1439223438501358,0.007948181591928005
2,0,2,0,0.222,0.9445,0.041941724717617035,0.04511633515357971,0.03976604342460632,-0.005350291728973389,0.003174610435962677,0.1439223438501358,0.08152732998132706,0.13561570644378662,0.007816154509782791
2,0,2,1,0.222,0.9445,0.03976604342460632,0.07051604986190796,0.04166405647993088,-0.02885199338197708,0.030750006437301636,0.13561570644378662,0.08668538182973862,0.14288575947284698,0.007923481985926628
3,0,3,0,0.333,0.9167500000000001,0.04166405647993088,0.058357831090688705,0.05008614808320999,-0.008271683007478714,0.016693774610757828,0.14288575947284698,0.12157273292541504,0.17692077159881592,0.00780793372541666
3,0,3,1,0.333,0.9167500000000001,0.05008614808320999,0.0574762336909771,0.038569897413253784,-0.018906336277723312,0.007390085607767105,0.17692077159881592,0.07130628079175949,0.13086234033107758,0.007805746514350176
4,0,4,0,0.444,0.889,0.038569897413253784,0.03875581920146942,0.0353848934173584,-0.003370925784111023,0.0001859217882156372,0.13086234033107758,0.059371042996644974,0.11769962310791016,0.007946650497615337
4,0,4,1,0.444,0.889,0.0353848934173584,0.1506624072790146,0.05306697636842728,-0.09759543091058731,0.11527751386165619,0.11769962310791016,0.14004002511501312,0.188741073012352,0.007842276245355606
5,0,5,0,0.555,0.86125,0.05306697636842728,0.050404470413923264,0.03825880587100983,-0.012145664542913437,-0.002662505954504013,0.188741073012352,0.07889503240585327,0.1292523592710495,0.007927622646093369
5,0,5,1,0.555,0.86125,0.03825880587100983,0.05336928367614746,0.03670670837163925,-0.01666257530450821,0.015110477805137634,0.1292523592710495,0.06846442073583603,0.12309092283248901,0.007911965250968933
6,0,6,0,0.666,0.8335,0.03670670837163925,0.04987167567014694,0.0413515642285347,-0.008520111441612244,0.01316496729850769,0.12309092283248901,0.09146543592214584,0.14170598983764648,0.007900084368884563
6,0,6,1,0.666,0.8335,0.0413515642285347,0.07209780067205429,0.047110140323638916,-0.024987660348415375,0.030746236443519592,0.14170598983764648,0.11608473211526871,0.16480425000190735,0.007878769189119339
7,0,7,0,0.777,0.80575,0.047110140323638916,0.06630551069974899,0.040991201996803284,-0.02531430870294571,0.019195370376110077,0.16480425000190735,0.08936423808336258,0.14050520956516266,0.00781986489892006
7,0,7,1,0.777,0.80575,0.040991201996803284,0.04737680405378342,0.041922904551029205,-0.005453899502754211,0.006385602056980133,0.14050520956516266,0.08041823655366898,0.14404098689556122,0.007883540354669094
8,0,8,0,0.888,0.778,0.041922904551029205,0.059356123208999634,0.04220173880457878,-0.017154384404420853,0.01743321865797043,0.14404098689556122,0.10621043294668198,0.145182803273201,0.00787470955401659
8,0,8,1,0.888,0.778,0.04220173880457878,0.059471309185028076,0.03666767105460167,-0.022803638130426407,0.017269570380449295,0.145182803273201,0.07100559026002884,0.12333818525075912,0.007777499035000801
