frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.06512923538684845,0.019325926899909973,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.23896221816539764,0.007184898015111685
0,0,0,1,0.0,1.0,0.06512923538684845,0.04574131593108177,0.057306453585624695,0.011565137654542923,-0.019387919455766678,0.23896221816539764,0.07242368906736374,0.20757849514484406,0.0072157662361860275
1,0,1,0,0.111,0.9722500000000001,0.057306453585624695,0.05402182787656784,0.06765116751194,0.013629339635372162,-0.0032846257090568542,0.20757849514484406,0.0686507299542427,0.2492591142654419,0.007115187123417854
1,0,1,1,0.111,0.9722500000000001,0.06765116751194,0.05995592474937439,0.057789452373981476,-0.002166472375392914,-0.007695242762565613,0.2492591142654419,0.09401345252990723,0.2093866616487503,0.007257047574967146
2,0,2,0,0.222,0.9445,0.057789452373981476,0.043787937611341476,0.054209932684898376,0.0104219950735569,-0.01400151476264,0.2093866616487503,0.07528090476989746,0.19543175399303436,0.007135992404073477
2,0,2,1,0.222,0.9445,0.054209932684898376,0.07231950014829636,0.0673220157623291,-0.004997484385967255,0.01810956746339798,0.19543175399303436,0.08530587702989578,0.2476169615983963,0.0072236997075378895
3,0,3,0,0.333,0.9167500000000001,0.0673220157623291,0.057697370648384094,0.06153704971075058,0.0038396790623664856,-0.009624645113945007,0.2476169615983963,0.11894326657056808,0.2247292548418045,0.007139639928936958
3,0,3,1,0.333,0.9167500000000001,0.06153704971075058,0.05500849708914757,0.06341563165187836,0.00840713456273079,-0.006528552621603012,0.2247292548418045,0.0656789168715477,0.23227059841156006,0.007130641024559736
4,0,4,0,0.444,0.889,0.06341563165187836,0.03815121948719025,0.06150661036372185,0.0233553908765316,-0.02526441216468811,0.23227059841156006,0.05668404698371887,0.22426848113536835,0.007252654060721397
4,0,4,1,0.444,0.889,0.06150661036372185,0.15486598014831543,0.0696055069565773,-0.08526047319173813,0.09335936978459358,0.22426848113536835,0.13922466337680817,0.2569160461425781,0.007168662268668413
5,0,5,0,0.555,0.86125,0.0696055069565773,0.04732812941074371,0.06324225664138794,0.015914127230644226,-0.022277377545833588,0.2569160461425781,0.07055974751710892,0.2312871217727661,0.007227298337966204
5,0,5,1,0.555,0.86125,0.06324225664138794,0.05983097851276398,0.07365462929010391,0.013823650777339935,-0.0034112781286239624,0.2312871217727661,0.07577570527791977,0.27295932173728943,0.00721973180770874
6,0,6,0,0.666,0.8335,0.07365462929010391,0.04703497514128685,0.06460060924291611,0.017565634101629257,-0.026619654148817062,0.27295932173728943,0.07956556975841522,0.2367798537015915,0.0072075361385941505
6,0,6,1,0.666,0.8335,0.06460060924291611,0.06280910968780518,0.06653869152069092,0.003729581832885742,-0.0017914995551109314,0.2367798537015915,0.08926945924758911,0.24455606937408447,0.007199565414339304
7,0,7,0,0.777,0.80575,0.06653869152069092,0.06614577770233154,0.0677448958158493,0.0015991181135177612,-0.000392913818359375,0.24455606937408447,0.08583402633666992,0.2495749443769455,0.0071348813362419605
7,0,7,1,0.777,0.80575,0.0677448958158493,0.041059017181396484,0.056756965816020966,0.01569794863462448,-0.02668587863445282,0.2495749443769455,0.0580519437789917,0.20542295277118683,0.0072016287595033646
8,0,8,0,0.888,0.778,0.056756965816020966,0.055821068584918976,0.06557019054889679,0.009749121963977814,-0.0009358972311019897,0.20542295277118683,0.09044020622968674,0.24069756269454956,0.007194394711405039
8,0,8,1,0.888,0.778,0.06557019054889679,0.05807599052786827,0.06468959897756577,0.0066136084496974945,-0.007494200021028519,0.24069756269454956,0.06288599222898483,0.2374422401189804,0.007105380296707153
9,0,9,0,0.999,0.75025,0.06468959897756577,0.04681743308901787,0.07225298881530762,0.02543555572628975,-0.017872165888547897,0.2374422401189804,0.0642285868525505,0.26729127764701843,0.007240226026624441
9,0,9,1,0.999,0.75025,0.07225298881530762,0.05381019040942192,0.0638013482093811,0.009991157799959183,-0.018442798405885696,0.26729127764701843,0.0712256133556366,0.23381321132183075,0.007130720652639866
10,1,0,0,0.0,0.8571428571428572,0.07128239423036575,0.04560025781393051,0.042230334132909775,-0.0033699236810207367,-0.02568213641643524,0.24278175830841064,0.06839406490325928,0.15763843059539795,0.003760965308174491
10,1,0,1,0.0,0.8571428571428572,0.042230334132909775,0.056275106966495514,0.037655796855688095,-0.01861931011080742,0.01404477283358574,0.15763843059539795,0.08208202570676804,0.13935941457748413,0.003754587145522237
11,1,1,0,0.111,0.8175000000000001,0.037655796855688095,0.049284692853689194,0.04097910225391388,-0.008305590599775314,0.011628895998001099,0.13935941457748413,0.08279197663068771,0.15259765088558197,0.003772914409637451
11,1,1,1,0.111,0.8175000000000001,0.04097910225391388,0.0710563212633133,0.052796922624111176,-0.018259398639202118,0.030077219009399414,0.15259765088558197,0.13530586659908295,0.19981087744235992,0.0037922668270766735
12,1,2,0,0.222,0.7778571428571429,0.052796922624111176,0.05067833513021469,0.04724568873643875,-0.00343264639377594,-0.0021185874938964844,0.19981087744235992,0.08876023441553116,0.17773465812206268,0.0037493573036044836
12,1,2,1,0.222,0.7778571428571429,0.04724568873643875,0.04478946328163147,0.04087349399924278,-0.003915969282388687,-0.0024562254548072815,0.17773465812206268,0.07309578359127045,0.15214620530605316,0.0037825885228812695
13,1,3,0,0.333,0.7382142857142858,0.04087349399924278,0.049130942672491074,0.04542805999517441,-0.0037028826773166656,0.008257448673248291,0.15214620530605316,0.07839422672986984,0.17035174369812012,0.003786833258345723
13,1,3,1,0.333,0.7382142857142858,0.04542805999517441,0.05368083715438843,0.039130523800849915,-0.014550313353538513,0.00825277715921402,0.17035174369812012,0.09439191967248917,0.1451568752527237,0.003788405330851674
14,1,4,0,0.444,0.6985714285714286,0.039130523800849915,0.04742037504911423,0.04119553044438362,-0.006224844604730606,0.008289851248264313,0.1451568752527237,0.08884153515100479,0.15349873900413513,0.0037611217703670263
14,1,4,1,0.444,0.6985714285714286,0.04119553044438362,0.04368196427822113,0.03454609215259552,-0.00913587212562561,0.002486433833837509,0.15349873900413513,0.09403262287378311,0.12685328722000122,0.003777020610868931
15,1,5,0,0.555,0.6589285714285714,0.03454609215259552,0.04349274933338165,0.04018601030111313,-0.003306739032268524,0.008946657180786133,0.12685328722000122,0.08093234896659851,0.14941644668579102,0.003775864839553833
15,1,5,1,0.555,0.6589285714285714,0.04018601030111313,0.038263384252786636,0.03610888123512268,-0.0021545030176639557,-0.0019226260483264923,0.14941644668579102,0.08106207847595215,0.13300998508930206,0.003808510722592473
16,1,6,0,0.666,0.6192857142857142,0.03610888123512268,0.03882903605699539,0.03842072933912277,-0.00040830671787261963,0.002720154821872711,0.13300998508930206,0.08896737545728683,0.14242900907993317,0.003751297714188695
16,1,6,1,0.666,0.6192857142857142,0.03842072933912277,0.0390547476708889,0.02955706976354122,-0.00949767790734768,0.0006340183317661285,0.14242900907993317,0.09010330587625504,0.10685411840677261,0.0037913853302598
17,1,7,0,0.777,0.5796428571428571,0.02955706976354122,0.037648167461156845,0.0344809927046299,-0.003167174756526947,0.008091097697615623,0.10685411840677261,0.08430660516023636,0.12629641592502594,0.0038758490700274706
17,1,7,1,0.777,0.5796428571428571,0.0344809927046299,0.030984286218881607,0.030041445046663284,-0.0009428411722183228,-0.003496706485748291,0.12629641592502594,0.07674544304609299,0.10867070406675339,0.0038316904101520777
18,1,8,0,0.888,0.54,0.030041445046663284,0.02949141524732113,0.028366146609187126,-0.0011252686381340027,-0.0005500297993421555,0.10867070406675339,0.0795411467552185,0.10171004384756088,0.003918182570487261
18,1,8,1,0.888,0.54,0.028366146609187126,0.029934484511613846,0.0338345468044281,0.0039000622928142548,0.0015683379024267197,0.10171004384756088,0.0769011452794075,0.12387772649526596,0.003820157377049327
19,1,9,0,0.999,0.5003571428571428,0.0338345468044281,0.0271297600120306,0.03426703065633774,0.0071372706443071365,-0.006704786792397499,0.12387772649526596,0.07733532041311264,0.12516354024410248,0.003968196455389261
19,1,9,1,0.999,0.5003571428571428,0.03426703065633774,0.02687959000468254,0.03055717796087265,0.0036775879561901093,-0.007387440651655197,0.12516354024410248,0.07285322993993759,0.11052901297807693,0.0038998955860733986
20,2,0,0,0.0,0.6666666666666667,0.03548430651426315,0.033897675573825836,0.03765081986784935,0.003753144294023514,-0.001586630940437317,0.11729804426431656,0.09236389398574829,0.14076976478099823,0.003277835436165333
21,2,1,0,0.111,0.6204166666666668,0.03765081986784935,0.03200959414243698,0.036021869629621506,0.0040122754871845245,-0.005641225725412369,0.14076976478099823,0.08600638061761856,0.13440191745758057,0.0032285156194120646
22,2,2,0,0.222,0.5741666666666667,0.036021869629621506,0.03405693918466568,0.041673898696899414,0.007616959512233734,-0.001964930444955826,0.13440191745758057,0.10033325105905533,0.15705497562885284,0.003213548334315419
23,2,3,0,0.333,0.5279166666666668,0.041673898696899414,0.03479618579149246,0.038396142423152924,0.0035999566316604614,-0.006877712905406952,0.15705497562885284,0.10950727015733719,0.14381010830402374,0.003258149605244398
24,2,4,0,0.444,0.48166666666666674,0.038396142423152924,0.03257576376199722,0.03516507148742676,0.002589307725429535,-0.005820378661155701,0.14381010830402374,0.10724490880966187,0.13087938725948334,0.003260299563407898
25,2,5,0,0.555,0.4354166666666667,0.03516507148742676,0.028543706983327866,0.03436198830604553,0.005818281322717667,-0.006621364504098892,0.13087938725948334,0.09607213735580444,0.12726210057735443,0.003395284991711378
26,2,6,0,0.666,0.38916666666666666,0.03436198830604553,0.027913739904761314,0.032685667276382446,0.004771927371621132,-0.006448248401284218,0.12726210057735443,0.09709904342889786,0.1204235777258873,0.00343969720415771
27,2,7,0,0.777,0.34291666666666665,0.032685667276382446,0.028019553050398827,0.034389927983284,0.00637037493288517,-0.00466611422598362,0.1204235777258873,0.09959963709115982,0.12686608731746674,0.003564545651897788
