stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.24318520724773407,0.009970428422093391,0.057306453585624695,1.936166763305664,1.0024131536483765,85,9.914172551361844e-06,1,0.20757849514484406,0.0072157662361860275,0,0.07304017245769501,17.384982013726827,1.0048320293426514,0.2288329005241394,0.021109269931912422
0,1,0.111,0.9722500000000001,0.24318520724773407,0.010642001405358315,0.057789452373981476,1.93612802028656,0.984796941280365,78,9.389960723638069e-06,1,0.2093866616487503,0.007257047574967146,1,0.07352317869663239,17.35635716282815,0.9698249697685242,0.23064102232456207,0.021150551736354828
0,2,0.222,0.9445,0.24318520724773407,0.01062399335205555,0.0673220157623291,1.9363471269607544,1.0142161846160889,79,9.950091225618962e-06,1,0.2476169615983963,0.0072236997075378895,2,0.08305574208498001,16.82690328416333,1.0286344289779663,0.26887133717536926,0.021117204800248146
0,3,0.333,0.9167500000000001,0.24318520724773407,0.009873627685010433,0.06341563165187836,1.9363551139831543,0.9999520778656006,78,9.88256488199113e-06,1,0.23227059841156006,0.007130641024559736,3,0.07914935052394867,17.03612635806435,0.9999041557312012,0.2535249590873718,0.021024145185947418
0,4,0.444,0.889,0.24318520724773407,0.009073696099221706,0.0696055069565773,1.9363359212875366,0.9947441220283508,77,9.919439435179811e-06,1,0.2569160461425781,0.007168662268668413,4,0.08533923327922821,16.709112546572136,0.9895159006118774,0.2781704068183899,0.02106216736137867
0,5,0.555,0.86125,0.24318520724773407,0.008365506306290627,0.07365462929010391,1.9362592697143555,1.0126255750656128,77,9.404323463968467e-06,1,0.27295932173728943,0.00721973180770874,5,0.08938835561275482,16.507790432535053,1.025410532951355,0.2942136824131012,0.021113237366080284
0,6,0.666,0.8335,0.24318520724773407,0.007804953958839178,0.06653869152069092,1.9362486600875854,0.9999905228614807,79,9.491416676610243e-06,1,0.24455606937408447,0.007199565414339304,6,0.08227241039276123,16.868057700040147,0.9999811053276062,0.26581043004989624,0.02109307050704956
0,7,0.777,0.80575,0.24318520724773407,0.0074211894534528255,0.056756965816020966,1.9361741542816162,1.0016690492630005,77,9.272128409065772e-06,1,0.20542295277118683,0.0072016287595033646,7,0.07249069213867188,17.417777449269362,1.0033409595489502,0.22667734324932098,0.02109513431787491
0,8,0.888,0.778,0.24318520724773407,0.00719289667904377,0.06468959897756577,1.9363216161727905,0.994405210018158,75,9.010000212583691e-06,1,0.2374422401189804,0.007105380296707153,8,0.08042332530021667,16.966779652161534,0.988841712474823,0.25869661569595337,0.020998885855078697
0,9,0.999,0.75025,0.24318520724773407,0.007022725883871317,0.0638013482093811,1.9361909627914429,0.9973888993263245,73,9.567952474753838e-06,1,0.23381321132183075,0.007130720652639866,9,0.07953506708145142,17.015013396256997,0.9947845935821533,0.2550675868988037,0.021024225279688835
