config,arm,hole_mean4,hole_std4,obs,spread,nfe,verdict
baseline_sit2222,spectral,0.1411,0.0047,0.0026,0.2468,80,baseline
baseline_sit2222,pooled_junco,0.1499,0.0007,0.0032,0.2646,80,baseline
sit2211,spectral,0.1317,0.0038,0.0027,0.2379,60,KEPT
sit2211,pooled_junco,0.1382,0.0054,0.0034,0.2470,60,KEPT
sit2221,spectral,0.1399,0.0042,0.0027,0.2442,70,inferior
sit2221,pooled_junco,0.1423,0.0027,0.0034,0.2513,70,inferior
sit2111,spectral,0.1738,0.0469,0.0027,0.2829,50,rejected
thresh_perframe,spectral,0.1389,0.0046,0.0027,0.2476,64,inferior
thresh_perframe,pooled_junco,0.1410,0.0039,0.0034,0.2514,64,inferior
pcn_ladder_0:0.7:0.85:0.85,spectral,0.1464,0.0251,0.0027,0.2513,80,rejected_lottery
pcn_global_0.85,spectral,0.1572,0.0280,0.0028,0.2729,80,rejected_lottery
pcn_ladder_0:0.5:0.7:0.7,pooled_junco,0.1548,0.0186,0.0032,0.2766,80,rejected_lottery
pcn_combo_sit2244,spectral,0.1460,0.0295,0.0027,0.2541,120,rejected_lottery
schedonly_sit2244,spectral,0.1463,0.0112,0.0026,0.2742,120,rejected
shift_1133,spectral,0.1478,0.0095,0.0031,0.2530,80,rejected_obs_worse
gamma_colored_on_sit2211,spectral,0.1546,0.0122,0.0027,0.2700,60,rejected
gamma_colored_on_base,spectral,0.1720,0.0083,0.0026,0.2959,80,rejected
gamma_colored_on_sit2211,pooled_junco,0.1398,0.0075,0.0034,0.2581,60,rejected
steps_10101414,spectral,,,,,,NOT_RUN_gamma_grid_mismatch
fixedpc_base_sit2222,spectral,0.1401,0.0052,0.0026,0.2469,80,revalidated_all_converged
fixedpc_winner_sit2211,spectral,0.1339,0.0047,0.0027,0.2391,60,KEPT_revalidated
p19_sit2211,spectral,0.1227,0.0038,0.0026,0.2181,60,OPTION_user_decision
p19_sit2211,pooled_junco,0.1290,0.0011,0.0034,0.2170,60,OPTION_user_decision
p19_sit2222,spectral,0.1269,0.0056,0.0025,0.2214,80,OPTION_user_decision
