frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04567939043045044,0.06502373516559601,0.01934434473514557,0.005334295332431793,0.05792127177119255,0.07209651917219162,0.23853953182697296,0.007185128051787615
0,0,0,1,0.0,1.0,0.06502373516559601,0.04564227908849716,0.05726487562060356,0.0116225965321064,-0.019381456077098846,0.23853953182697296,0.0720718502998352,0.20741212368011475,0.007215786259621382
1,0,1,0,0.111,0.9722500000000001,0.05726487562060356,0.05352243781089783,0.06768232583999634,0.01415988802909851,-0.0037424378097057343,0.20741212368011475,0.06840140372514725,0.24938444793224335,0.007114951033145189
1,0,1,1,0.111,0.9722500000000001,0.06768232583999634,0.059721749275922775,0.05764502286911011,-0.002076726406812668,-0.007960576564073563,0.24938444793224335,0.09343808889389038,0.20880763232707977,0.007257492281496525
2,0,2,0,0.222,0.9445,0.05764502286911011,0.04358504340052605,0.05423089861869812,0.010645855218172073,-0.01405997946858406,0.20880763232707977,0.0746149942278862,0.19551892578601837,0.007134889718145132
2,0,2,1,0.222,0.9445,0.05423089861869812,0.07070116698741913,0.06658151745796204,-0.004119649529457092,0.01647026836872101,0.19551892578601837,0.08356692641973495,0.24465136229991913,0.007224901579320431
3,0,3,0,0.333,0.9167500000000001,0.06658151745796204,0.05700615793466568,0.061383794993162155,0.004377637058496475,-0.009575359523296356,0.24465136229991913,0.11664354801177979,0.22411851584911346,0.007138884626328945
3,0,3,1,0.333,0.9167500000000001,0.061383794993162155,0.05441824346780777,0.06341308355331421,0.00899484008550644,-0.006965551525354385,0.22411851584911346,0.06532374769449234,0.2322704792022705,0.007127276621758938
4,0,4,0,0.444,0.889,0.06341308355331421,0.037705011665821075,0.06110537052154541,0.023400358855724335,-0.025708071887493134,0.2322704792022705,0.05623546242713928,0.22267158329486847,0.007249964401125908
4,0,4,1,0.444,0.889,0.06110537052154541,0.15205678343772888,0.06990739703178406,-0.08214938640594482,0.09095141291618347,0.22267158329486847,0.13587673008441925,0.2581513822078705,0.007159397937357426
5,0,5,0,0.555,0.86125,0.06990739703178406,0.04687029868364334,0.062231145799160004,0.015360847115516663,-0.023037098348140717,0.2581513822078705,0.06937829405069351,0.22725610435009003,0.007222819607704878
5,0,5,1,0.555,0.86125,0.062231145799160004,0.05895920842885971,0.07308082282543182,0.014121614396572113,-0.003271937370300293,0.22725610435009003,0.07446104288101196,0.2706654965877533,0.007219250779598951
6,0,6,0,0.666,0.8335,0.07308082282543182,0.0461261086165905,0.06371622532606125,0.01759011670947075,-0.026954714208841324,0.2706654965877533,0.07729268819093704,0.23326659202575684,0.007199434097856283
6,0,6,1,0.666,0.8335,0.06371622532606125,0.06224767863750458,0.06677599996328354,0.004528321325778961,-0.0014685466885566711,0.23326659202575684,0.08807795494794846,0.24552656710147858,0.007192467804998159
7,0,7,0,0.777,0.80575,0.06677599996328354,0.06526884436607361,0.06791745126247406,0.0026486068964004517,-0.0015071555972099304,0.24552656710147858,0.08540292829275131,0.2502722442150116,0.007132514379918575
7,0,7,1,0.777,0.80575,0.06791745126247406,0.04068255424499512,0.057640768587589264,0.016958214342594147,-0.027234897017478943,0.2502722442150116,0.05796883627772331,0.20896472036838531,0.007199448067694902
8,0,8,0,0.888,0.778,0.057640768587589264,0.05172114074230194,0.0638262927532196,0.012105152010917664,-0.005919627845287323,0.20896472036838531,0.0844932422041893,0.2337418794631958,0.007187752053141594
8,0,8,1,0.888,0.778,0.0638262927532196,0.05726455897092819,0.06432658433914185,0.0070620253682136536,-0.006561733782291412,0.2337418794631958,0.060967911034822464,0.23600603640079498,0.007100095506757498
9,0,9,0,0.999,0.75025,0.06432658433914185,0.04539448022842407,0.07158072292804718,0.026186242699623108,-0.018932104110717773,0.23600603640079498,0.06249414384365082,0.26460960507392883,0.007237755693495274
9,0,9,1,0.999,0.75025,0.07158072292804718,0.05278052017092705,0.06224965304136276,0.009469132870435715,-0.018800202757120132,0.26460960507392883,0.06947160512208939,0.22762887179851532,0.007123238407075405
10,1,0,0,0.0,0.8571428571428572,0.06973069906234741,0.04529660940170288,0.04222570359706879,-0.0030709058046340942,-0.02443408966064453,0.23659741878509521,0.06780797243118286,0.15762461721897125,0.0037593927700072527
10,1,0,1,0.0,0.8571428571428572,0.04222570359706879,0.05598359555006027,0.03752592206001282,-0.018457673490047455,0.013757891952991486,0.15762461721897125,0.08114927262067795,0.1388392597436905,0.003754810430109501
11,1,1,0,0.111,0.8175000000000001,0.03752592206001282,0.04888581484556198,0.04100095480680466,-0.007884860038757324,0.011359892785549164,0.1388392597436905,0.0822610929608345,0.15269221365451813,0.003770538605749607
11,1,1,1,0.111,0.8175000000000001,0.04100095480680466,0.0704893171787262,0.05278324708342552,-0.017706070095300674,0.02948836237192154,0.15269221365451813,0.13487781584262848,0.19976134598255157,0.003790542483329773
12,1,2,0,0.222,0.7778571428571429,0.05278324708342552,0.05064999312162399,0.047125495970249176,-0.003524497151374817,-0.002133253961801529,0.19976134598255157,0.08819518238306046,0.17726249992847443,0.003746488131582737
12,1,2,1,0.222,0.7778571428571429,0.047125495970249176,0.0445953905582428,0.0407690703868866,-0.003826320171356201,-0.002530105412006378,0.17726249992847443,0.07258258014917374,0.15173600614070892,0.0037800867576152086
13,1,3,0,0.333,0.7382142857142858,0.0407690703868866,0.04864129051566124,0.04504501447081566,-0.003596276044845581,0.007872220128774643,0.15173600614070892,0.07740316540002823,0.1688324213027954,0.0037825468461960554
13,1,3,1,0.333,0.7382142857142858,0.04504501447081566,0.05256529897451401,0.03868449851870537,-0.01388080045580864,0.007520284503698349,0.1688324213027954,0.0921906903386116,0.14338944852352142,0.003782847197726369
14,1,4,0,0.444,0.6985714285714286,0.03868449851870537,0.046929411590099335,0.04057290405035019,-0.0063565075397491455,0.008244913071393967,0.14338944852352142,0.08695224672555923,0.1510264128446579,0.0037550702691078186
14,1,4,1,0.444,0.6985714285714286,0.04057290405035019,0.04264494776725769,0.03373805433511734,-0.00890689343214035,0.0020720437169075012,0.1510264128446579,0.09160860627889633,0.12365308403968811,0.0037663744296878576
