stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.24318520724773407,0.009970428422093391,0.05726487562060356,1.9361679553985596,1.0024131536483765,85,9.943647455656901e-06,1,0.20741212368011475,0.007215786259621382,0,0.07299859821796417,17.387454708246047,1.0048320293426514,0.2286664992570877,0.021109292283654213
0,1,0.111,0.9722500000000001,0.24318520724773407,0.010642001405358315,0.05764502286911011,1.9361218214035034,0.984796941280365,78,9.422732546227053e-06,1,0.20880763232707977,0.007257492281496525,1,0.07337874919176102,17.364896867936412,0.9698249697685242,0.23006200790405273,0.021150996908545494
0,2,0.222,0.9445,0.24318520724773407,0.01062399335205555,0.06658151745796204,1.9363409280776978,1.0142161846160889,79,9.965388926502783e-06,1,0.24465136229991913,0.007224901579320431,2,0.08231523633003235,16.865797619283267,1.0286344289779663,0.2659057378768921,0.0211184062063694
0,3,0.333,0.9167500000000001,0.24318520724773407,0.009873627685010433,0.06341308355331421,1.9363620281219482,0.9999520778656006,78,9.793558092496824e-06,1,0.2322704792022705,0.007127276621758938,3,0.07914680242538452,17.03626617512563,0.9999041557312012,0.25352486968040466,0.021020783111453056
0,4,0.444,0.889,0.24318520724773407,0.009073696099221706,0.06990739703178406,1.9363491535186768,0.9947441220283508,78,9.78029584075557e-06,1,0.2581513822078705,0.007159397937357426,4,0.08564111590385437,16.69377673811016,0.9895159006118774,0.27940577268600464,0.021052904427051544
0,5,0.555,0.86125,0.24318520724773407,0.008365506306290627,0.07308082282543182,1.9362518787384033,1.0126255750656128,77,9.485287591814995e-06,1,0.2706654965877533,0.007219250779598951,5,0.08881454169750214,16.535759122391962,1.025410532951355,0.29191985726356506,0.021112754940986633
0,6,0.666,0.8335,0.24318520724773407,0.007804953958839178,0.06677599996328354,1.9362715482711792,0.9999905228614807,79,8.952909411164e-06,1,0.24552656710147858,0.007192467804998159,6,0.08250971883535385,16.855548841359965,0.9999811053276062,0.26678094267845154,0.02108597196638584
0,7,0.777,0.80575,0.24318520724773407,0.0074211894534528255,0.057640768587589264,1.9361772537231445,1.0016690492630005,77,9.122846677200869e-06,1,0.20896472036838531,0.007199448067694902,7,0.07337449491024017,17.365148666252804,1.0033409595489502,0.23021908104419708,0.021092955023050308
0,8,0.888,0.778,0.24318520724773407,0.00719289667904377,0.06432658433914185,1.9363291263580322,0.994405210018158,75,8.966875611804426e-06,1,0.23600603640079498,0.007100095506757498,8,0.08006030321121216,16.986427607586396,0.988841712474823,0.25726044178009033,0.02099359966814518
0,9,0.999,0.75025,0.24318520724773407,0.007022725883871317,0.06224965304136276,1.9362045526504517,0.9973888993263245,73,9.457059604756068e-06,1,0.22762887179851532,0.007123238407075405,9,0.07798337191343307,17.10057981664282,0.9947845935821533,0.24888324737548828,0.021016743034124374
1,0,0.0,0.8571428571428572,0.25738808512687683,0.013227979652583599,0.03752592206001282,1.4897936582565308,1.0041356086730957,170,9.88777173915878e-06,1,0.1388392597436905,0.003754810430109501,10,0.04577859491109848,19.413975326469576,1.0082883834838867,0.15112507343292236,0.01066309679299593
1,1,0.111,0.8175000000000001,0.25738808512687683,0.012689127586781979,0.05278324708342552,1.4894566535949707,0.9955300688743591,163,9.73851274466142e-06,1,0.19976134598255157,0.003790542483329773,11,0.06103592365980148,18.16474470168325,0.9910801649093628,0.21204717457294464,0.010698828846216202
1,2,0.222,0.7778571428571429,0.25738808512687683,0.012317526154220104,0.0407690703868866,1.489992380142212,0.9890120625495911,146,9.887115993478801e-06,1,0.15173600614070892,0.0037800867576152086,12,0.04902174323797226,19.11671240405971,0.9781448245048523,0.164021834731102,0.010688374750316143
1,3,0.333,0.7382142857142858,0.25738808512687683,0.012009454891085625,0.03868449851870537,1.4900225400924683,0.9963897466659546,129,9.824706467043143e-06,1,0.14338944852352142,0.003782847197726369,13,0.04693716764450073,19.305431121471305,0.9927924871444702,0.1556752771139145,0.010691134259104729
1,4,0.444,0.6985714285714286,0.25738808512687683,0.011795909143984318,0.03373805433511734,1.489630937576294,0.9943422675132751,117,9.932922694133595e-06,1,0.12365308403968811,0.0037663744296878576,14,0.041990723460912704,19.78906634137615,0.9887166023254395,0.13593889772891998,0.01067466102540493
1,5,0.555,0.6589285714285714,0.25738808512687683,0.011530348099768162,0.034744564443826675,1.4901373386383057,1.0022141933441162,99,9.692489584267605e-06,1,0.12761226296424866,0.003788661677390337,15,0.04299723356962204,19.686194772390092,1.004433274269104,0.13989810645580292,0.010696947574615479
1,6,0.666,0.6192857142857142,0.25738808512687683,0.011259624734520912,0.02930627018213272,1.4900697469711304,0.9953421354293823,95,9.849120942817535e-06,1,0.10590758174657822,0.0037724997382611036,16,0.037558939307928085,20.27346672356316,0.9907059669494629,0.11819341033697128,0.010680786333978176
1,7,0.777,0.5796428571428571,0.25738808512687683,0.010943361558020115,0.03000270389020443,1.4899797439575195,1.013023853302002,83,9.716747626953293e-06,1,0.10865387320518494,0.003785647451877594,17,0.03825537487864494,20.193675291939968,1.0262173414230347,0.1209396943449974,0.010693933814764023
1,8,0.888,0.54,0.25738808512687683,0.010707459412515163,0.03273395821452141,1.4898052215576172,1.0010820627212524,73,9.919574949890375e-06,1,0.11962562054395676,0.0037700673565268517,18,0.04098663106560707,19.894177687847204,1.0021653175354004,0.13191144168376923,0.010678354650735855
1,9,0.999,0.5003571428571428,0.25738808512687683,0.010580291040241718,0.02916984260082245,1.4895975589752197,0.9915290474891663,67,9.35419575398555e-06,1,0.10520454496145248,0.0038249450735747814,19,0.03742251545190811,20.28927014947335,0.9831298589706421,0.11749037355184555,0.010733231902122498
2,0,0.0,0.6666666666666667,0.2672794461250305,0.011577649042010307,0.03598190099000931,1.2075774669647217,0.996437132358551,154,9.897273230308201e-06,1,0.1342703104019165,0.0032190941274166107,20,0.03930744156241417,20.075852138900938,0.9928869605064392,0.13978712260723114,0.0058142151683568954
2,1,0.111,0.6204166666666668,0.2672794461250305,0.011458246037364006,0.0341741107404232,1.2080086469650269,0.9932593703269958,133,9.924529877025634e-06,1,0.12705166637897491,0.0032149238977581263,21,0.03749965503811836,20.280327186863968,0.9865641593933105,0.13256846368312836,0.005810045171529055
2,2,0.222,0.5741666666666667,0.2672794461250305,0.011648545041680336,0.04009982571005821,1.2054383754730225,0.997343897819519,115,9.58201962930616e-06,1,0.15083907544612885,0.0031867483630776405,22,0.04342537373304367,19.643164265116443,0.9946948885917664,0.1563558727502823,0.005781868938356638
2,3,0.333,0.5279166666666668,0.2672794461250305,0.011883500963449478,0.0369500108063221,1.2072584629058838,0.9982383251190186,99,9.66858715401031e-06,1,0.13814526796340942,0.003218253841623664,23,0.04027555137872696,19.970184966352313,0.9964797496795654,0.14366208016872406,0.005813375115394592
2,4,0.444,0.48166666666666674,0.2672794461250305,0.01197701133787632,0.033747684210538864,1.2064621448516846,0.9963218569755554,84,9.789442628971301e-06,1,0.12540273368358612,0.0031960008200258017,24,0.037073224782943726,20.329996269189774,0.9926571846008301,0.13091953098773956,0.00579112209379673
2,5,0.555,0.4354166666666667,0.2672794461250305,0.012359649874269962,0.03281576558947563,1.206756830215454,0.9935749769210815,73,9.388044418301433e-06,1,0.12143635749816895,0.0032755695283412933,25,0.03614130616188049,20.440561472356844,0.9871912002563477,0.1269531548023224,0.005870690569281578
2,6,0.666,0.38916666666666666,0.2672794461250305,0.012831875123083591,0.031060870736837387,1.204885721206665,0.9965415000915527,63,9.441590009373613e-06,1,0.1143554151058197,0.003296021604910493,26,0.03438641130924225,20.656731376902584,0.9930949211120605,0.11987221240997314,0.005891142413020134
2,7,0.777,0.34291666666666665,0.2672794461250305,0.013585136272013187,0.03258668631315231,1.2038060426712036,1.0033557415008545,54,9.452912308915984e-06,1,0.12035569548606873,0.0033303499221801758,27,0.035912226885557175,20.46817655148605,1.0067226886749268,0.12587249279022217,0.0059254709631204605
2,8,0.888,0.2966666666666667,0.2672794461250305,0.014856654219329357,0.03246099501848221,1.2040737867355347,1.0012370347976685,45,9.371702617499977e-06,1,0.11972323060035706,0.0033735812176018953,28,0.03578653559088707,20.483403339154812,1.0024755001068115,0.1252400428056717,0.005968702491372824
2,9,0.999,0.2504166666666667,0.2672794461250305,0.016559859737753868,0.03147134929895401,1.2013370990753174,0.9992911219596863,37,9.735686944623012e-06,1,0.11565309762954712,0.003410763805732131,29,0.03479688987135887,20.605195626706923,0.9985827207565308,0.12116988748311996,0.006005885079503059
3,0,0.0,0.3999999999999999,0.2755221128463745,0.009436266363731452,0.035472944378852844,0.9586123824119568,1.001589059829712,148,9.209312338498421e-06,1,0.132182776927948,0.0032363347709178925,30,0.035472944378852844,20.52162753394009,1.003180742263794,0.132182776927948,0.0032363347709178925
3,1,0.111,0.3555999999999999,0.2755221128463745,0.01041741163602897,0.03460538014769554,0.9587095975875854,0.9975125193595886,126,9.456141015107278e-06,1,0.1287851780653,0.0032121154945343733,31,0.03460538014769554,20.629163669047877,0.9950312376022339,0.1287851780653,0.0032121154945343733
3,2,0.222,0.3111999999999999,0.2755221128463745,0.011588477263493198,0.033347465097904205,0.9569223523139954,0.9998234510421753,106,9.514477824268397e-06,1,0.12377802282571793,0.0032039405778050423,32,0.033347465097904205,20.789971646446133,0.9996469020843506,0.12377802282571793,0.0032039405778050423
3,3,0.333,0.2668,0.2755221128463745,0.012996630277484655,0.0332091823220253,0.956106960773468,0.9991064667701721,88,9.763702109921724e-06,1,0.12327563762664795,0.0031870286911726,33,0.0332091823220253,20.808018088161223,0.9982137680053711,0.12327563762664795,0.0031870286911726
3,4,0.444,0.22239999999999996,0.2755221128463745,0.014714584685862064,0.03269318491220474,0.9546294212341309,1.0002714395523071,72,9.739542292663828e-06,1,0.1212858334183693,0.003162296023219824,34,0.03269318491220474,20.876027604869716,1.0005429983139038,0.1212858334183693,0.003162296023219824
3,5,0.555,0.17799999999999994,0.2755221128463745,0.01717439160815307,0.03254225477576256,0.9529794454574585,0.9983506202697754,57,8.591649930167478e-06,1,0.12075982242822647,0.003136396873742342,35,0.03254225477576256,20.89612350448501,0.9967039823532104,0.12075982242822647,0.003136396873742342
3,6,0.666,0.13359999999999997,0.2755221128463745,0.020981202567262307,0.03239613026380539,0.9480569362640381,0.998252272605896,42,9.169927579932846e-06,1,0.12043962627649307,0.0030482965521514416,36,0.03239613026380539,20.91566854746238,0.9965076446533203,0.12043962627649307,0.0030482965521514416
3,7,0.777,0.08919999999999997,0.2755221128463745,0.027574546369058744,0.03223356604576111,0.9333522319793701,1.0017865896224976,28,9.750016943144146e-06,1,0.12040457874536514,0.0028432270046323538,37,0.03223356604576111,20.937516365346823,1.0035762786865234,0.12040457874536514,0.0028432270046323538
3,8,0.888,0.044799999999999986,0.2755221128463745,0.044128120211618285,0.03209247812628746,0.9197165966033936,1.0003412961959839,15,6.30782915322925e-06,1,0.12055438756942749,0.002605173271149397,38,0.03209247812628746,20.95656737460303,1.0006827116012573,0.12055438756942749,0.002605173271149397
3,9,0.999,0.0004000000000000003,0.2755221128463745,0.1419714934059552,0.03209240362048149,0.9197080135345459,0.9986261129379272,1,1.1611865602390026e-06,1,0.12055405229330063,0.002605185844004154,39,0.03209240362048149,20.956577457183077,0.9972540736198425,0.12055405229330063,0.002605185844004154
