stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.24318520724773407,0.009970428422093391,0.0573064349591732,1.936166763305664,1.0024131536483765,85,9.907602361636236e-06,1,0.20757846534252167,0.007215764839202166,0,0.07304015755653381,17.384982899745097,1.0048320293426514,0.22883282601833344,0.021109269931912422
0,1,0.111,0.9722500000000001,0.24318520724773407,0.010642001405358315,0.05778942629694939,1.93612802028656,0.984796941280365,78,9.425182724953629e-06,1,0.20938654243946075,0.007257046177983284,1,0.07352314889431,17.35635892322358,0.9698249697685242,0.2306409329175949,0.021150551736354828
0,2,0.222,0.9445,0.24318520724773407,0.01062399335205555,0.0673220306634903,1.9363471269607544,1.0142161846160889,79,9.971402505470905e-06,1,0.24761700630187988,0.007223698776215315,2,0.08305574953556061,16.82690289457607,1.0286344289779663,0.26887133717536926,0.021117202937602997
0,3,0.333,0.9167500000000001,0.24318520724773407,0.009873627685010433,0.06341484189033508,1.9363551139831543,0.9999520778656006,78,9.869108907878399e-06,1,0.23226745426654816,0.007130637764930725,3,0.07914856821298599,17.036169283876255,0.9999041557312012,0.2535218298435211,0.02102414332330227
0,4,0.444,0.889,0.24318520724773407,0.009073696099221706,0.06960554420948029,1.9363359212875366,0.9947441220283508,77,9.919770491251256e-06,1,0.25691619515419006,0.007168659940361977,4,0.0853392705321312,16.70911065075868,0.9895159006118774,0.2781705856323242,0.02106216363608837
0,5,0.555,0.86125,0.24318520724773407,0.008365506306290627,0.07365457713603973,1.9362595081329346,1.0126255750656128,77,9.404247066413518e-06,1,0.2729590833187103,0.00721973180770874,5,0.08938829600811005,16.507793328435394,1.025410532951355,0.2942134737968445,0.021113237366080284
0,6,0.666,0.8335,0.24318520724773407,0.007804953958839178,0.06653870642185211,1.9362486600875854,0.9999905228614807,79,9.493079232925083e-06,1,0.24455611407756805,0.007199562154710293,6,0.08227242529392242,16.868056913446992,0.9999811053276062,0.26581045985221863,0.021093066781759262
0,7,0.777,0.80575,0.24318520724773407,0.0074211894534528255,0.05675683915615082,1.9361741542816162,1.0016690492630005,77,9.274427611671854e-06,1,0.20542246103286743,0.0072016301564872265,7,0.07249055802822113,17.417785483884686,1.0033409595489502,0.2266768217086792,0.02109513431787491
0,8,0.888,0.778,0.24318520724773407,0.00719289667904377,0.06468947231769562,1.9363216161727905,0.994405210018158,75,9.012288501253352e-06,1,0.23744173347949982,0.007105380296707153,8,0.08042319118976593,16.966786894274076,0.988841712474823,0.2586961090564728,0.020998885855078697
0,9,0.999,0.75025,0.24318520724773407,0.007022725883871317,0.06380002200603485,1.9361909627914429,0.9973888993263245,73,9.599179975339212e-06,1,0.23380790650844574,0.007130720652639866,9,0.07953374087810516,17.015085813068637,0.9947845935821533,0.2550622820854187,0.021024225279688835
