frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.03816109150648117,-0.007642216980457306,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.12903377413749695,0.007870192639529705
0,0,0,1,0.0,1.0,0.03816109150648117,0.04574131593108177,0.03815827518701553,-0.007583040744066238,0.007580224424600601,0.12903377413749695,0.07242368906736374,0.12885628640651703,0.007925603538751602
1,0,1,0,0.111,0.9722500000000001,0.03815827518701553,0.05395796522498131,0.037709496915340424,-0.016248468309640884,0.015799690037965775,0.12885628640651703,0.06882204860448837,0.12742213904857635,0.007805282715708017
1,0,1,1,0.111,0.9722500000000001,0.037709496915340424,0.06000038608908653,0.04195156320929527,-0.01804882287979126,0.02229088917374611,0.12742213904857635,0.09397462755441666,0.14396177232265472,0.007948162034153938
2,0,2,0,0.222,0.9445,0.04195156320929527,0.04511673003435135,0.03978871926665306,-0.005328010767698288,0.003165166825056076,0.14396177232265472,0.08152902871370316,0.13570654392242432,0.007816110737621784
2,0,2,1,0.222,0.9445,0.03978871926665306,0.0705137774348259,0.04167035222053528,-0.02884342521429062,0.030725058168172836,0.13570654392242432,0.08668795973062515,0.1429108828306198,0.007923509925603867
3,0,3,0,0.333,0.9167500000000001,0.04167035222053528,0.0583563968539238,0.050085507333278656,-0.008270889520645142,0.01668604463338852,0.1429108828306198,0.12156970053911209,0.17691802978515625,0.007807995658367872
3,0,3,1,0.333,0.9167500000000001,0.050085507333278656,0.05747923254966736,0.03859608992934227,-0.01888314262032509,0.007393725216388702,0.17691802978515625,0.0713123232126236,0.13096721470355988,0.0078057157807052135
4,0,4,0,0.444,0.889,0.03859608992934227,0.03875817358493805,0.03540834039449692,-0.0033498331904411316,0.00016208365559577942,0.13096721470355988,0.05938015505671501,0.1177932396531105,0.00794670358300209
4,0,4,1,0.444,0.889,0.03540834039449692,0.1506756991147995,0.0530644953250885,-0.097611203789711,0.11526735872030258,0.1177932396531105,0.14006556570529938,0.1887311190366745,0.0078422911465168
5,0,5,0,0.555,0.86125,0.0530644953250885,0.05040973052382469,0.03821805119514465,-0.012191679328680038,-0.002654764801263809,0.1887311190366745,0.0789172351360321,0.12908951938152313,0.007927564904093742
5,0,5,1,0.555,0.86125,0.03821805119514465,0.053375281393527985,0.03667789325118065,-0.016697388142347336,0.015157230198383331,0.12908951938152313,0.06845827400684357,0.12297606468200684,0.00791183765977621
6,0,6,0,0.666,0.8335,0.03667789325118065,0.049869805574417114,0.04141882807016373,-0.008450977504253387,0.013191912323236465,0.12297606468200684,0.09146686643362045,0.14197541773319244,0.007899961434304714
6,0,6,1,0.666,0.8335,0.04141882807016373,0.07211964577436447,0.047142088413238525,-0.024977557361125946,0.030700817704200745,0.14197541773319244,0.11615458875894547,0.1649317741394043,0.007878856733441353
7,0,7,0,0.777,0.80575,0.047142088413238525,0.06630757451057434,0.040988340973854065,-0.025319233536720276,0.019165486097335815,0.1649317741394043,0.08936414122581482,0.1404939442873001,0.00781980250030756
7,0,7,1,0.777,0.80575,0.040988340973854065,0.04737621545791626,0.0419803261756897,-0.0053958892822265625,0.006387874484062195,0.1404939442873001,0.0804392397403717,0.14427141845226288,0.007883294485509396
8,0,8,0,0.888,0.778,0.0419803261756897,0.05936349555850029,0.042225804179906845,-0.017137691378593445,0.017383169382810593,0.14427141845226288,0.1062130555510521,0.14527995884418488,0.00787442084401846
