frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.03034231811761856,-0.015460990369319916,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.09812229871749878,0.007748992182314396
0,0,0,1,0.0,1.0,0.03034231811761856,0.04574131593108177,0.030384168028831482,-0.01535714790225029,0.015398997813463211,0.09812229871749878,0.07242368906736374,0.09828939288854599,0.007749095559120178
1,0,1,0,0.111,0.9722500000000001,0.030384168028831482,0.0539848767220974,0.02870435081422329,-0.025280525907874107,0.023600708693265915,0.09828939288854599,0.06884581595659256,0.09156668186187744,0.007750237826257944
1,0,1,1,0.111,0.9722500000000001,0.02870435081422329,0.05998195335268974,0.03502056002616882,-0.02496139332652092,0.031277602538466454,0.09156668186187744,0.09390559047460556,0.11683882027864456,0.007747804280370474
2,0,2,0,0.222,0.9445,0.03502056002616882,0.04513998329639435,0.03235435113310814,-0.012785632163286209,0.010119423270225525,0.11683882027864456,0.0816754475235939,0.10617256164550781,0.007748279254883528
2,0,2,1,0.222,0.9445,0.03235435113310814,0.0704674944281578,0.0323011688888073,-0.03816632553935051,0.03811314329504967,0.10617256164550781,0.08683013916015625,0.10595373064279556,0.007750317454338074
3,0,3,0,0.333,0.9167500000000001,0.0323011688888073,0.0582893006503582,0.04241499304771423,-0.015874307602643967,0.025988131761550903,0.10595373064279556,0.12136107683181763,0.14641886949539185,0.007747030816972256
3,0,3,1,0.333,0.9167500000000001,0.04241499304771423,0.057428520172834396,0.030026443302631378,-0.027402076870203018,0.015013527125120163,0.14641886949539185,0.0712907686829567,0.09685506671667099,0.007750236429274082
4,0,4,0,0.444,0.889,0.030026443302631378,0.038678258657455444,0.02651354670524597,-0.012164711952209473,0.008651815354824066,0.09685506671667099,0.059100549668073654,0.08280374109745026,0.007750151678919792
4,0,4,1,0.444,0.889,0.02651354670524597,0.15062496066093445,0.045980408787727356,-0.10464455187320709,0.12411141395568848,0.08280374109745026,0.1399015635251999,0.16066278517246246,0.007752945646643639
5,0,5,0,0.555,0.86125,0.045980408787727356,0.0505041629076004,0.03176335617899895,-0.018740806728601456,0.004523754119873047,0.16066278517246246,0.07926974445581436,0.1038065180182457,0.0077489688992500305
5,0,5,1,0.555,0.86125,0.03176335617899895,0.053489767014980316,0.028274914249777794,-0.025214852765202522,0.02172641083598137,0.1038065180182457,0.06876317411661148,0.08984776586294174,0.0077506303787231445
6,0,6,0,0.666,0.8335,0.028274914249777794,0.04994683712720871,0.03413126617670059,-0.015815570950508118,0.021671922877430916,0.08984776586294174,0.09161114692687988,0.11327771097421646,0.0077491155825555325
6,0,6,1,0.666,0.8335,0.03413126617670059,0.07239536941051483,0.038757648319005966,-0.033637721091508865,0.03826410323381424,0.11327771097421646,0.11716894060373306,0.13178472220897675,0.007748620584607124
7,0,7,0,0.777,0.80575,0.038757648319005966,0.06605057418346405,0.03371596336364746,-0.03233461081981659,0.027292925864458084,0.13178472220897675,0.08878743648529053,0.11161147803068161,0.007750793360173702
7,0,7,1,0.777,0.80575,0.03371596336364746,0.047662973403930664,0.033066339790821075,-0.014596633613109589,0.013947010040283203,0.11161147803068161,0.08139842003583908,0.10901866108179092,0.007748896721750498
8,0,8,0,0.888,0.778,0.033066339790821075,0.06001979112625122,0.03530436381697655,-0.024715427309274673,0.026953451335430145,0.10901866108179092,0.10715413093566895,0.11797678470611572,0.007746889255940914
8,0,8,1,0.888,0.778,0.03530436381697655,0.05922364816069603,0.028514286503195763,-0.030709361657500267,0.023919284343719482,0.11797678470611572,0.07071039080619812,0.09080823510885239,0.007749640382826328
9,0,9,0,0.999,0.75025,0.028514286503195763,0.04346979409456253,0.028511516749858856,-0.014958277344703674,0.014955507591366768,0.09080823510885239,0.06192076578736305,0.09079498052597046,0.007750362157821655
9,0,9,1,0.999,0.75025,0.028511516749858856,0.04982748255133629,0.029403820633888245,-0.020423661917448044,0.021315965801477432,0.09079498052597046,0.06556288152933121,0.0943647250533104,0.007750189863145351
10,1,0,0,0.0,0.8571428571428572,0.03688487410545349,0.0469672791659832,0.021805964410305023,-0.025161314755678177,0.010082405060529709,0.10333327203989029,0.07104260474443436,0.07372356206178665,0.004500098060816526
10,1,0,1,0.0,0.8571428571428572,0.021805964410305023,0.0576988086104393,0.02480446919798851,-0.03289433941245079,0.03589284420013428,0.07372356206178665,0.08556944876909256,0.08571740239858627,0.004500159993767738
11,1,1,0,0.111,0.8175000000000001,0.02480446919798851,0.05053602159023285,0.024907875806093216,-0.025628145784139633,0.02573155239224434,0.08571740239858627,0.0850515365600586,0.0861269012093544,0.00450153136625886
11,1,1,1,0.111,0.8175000000000001,0.024907875806093216,0.06284058094024658,0.029270336031913757,-0.033570244908332825,0.037932705134153366,0.0861269012093544,0.10206200927495956,0.1035793125629425,0.0045006778091192245
12,1,2,0,0.222,0.7778571428571429,0.029270336031913757,0.049629371613264084,0.024862971156835556,-0.024766400456428528,0.020359035581350327,0.1035793125629425,0.08369863033294678,0.08595138788223267,0.004500163719058037
12,1,2,1,0.222,0.7778571428571429,0.024862971156835556,0.042141616344451904,0.020365353673696518,-0.021776262670755386,0.01727864518761635,0.08595138788223267,0.06571342796087265,0.06795915216207504,0.0045007565058767796
13,1,3,0,0.333,0.7382142857142858,0.020365353673696518,0.0454259030520916,0.02170524373650551,-0.02372065931558609,0.02506054937839508,0.06795915216207504,0.07118450850248337,0.0733189508318901,0.004500677343457937
13,1,3,1,0.333,0.7382142857142858,0.02170524373650551,0.04645005986094475,0.021180620416998863,-0.025269439443945885,0.02474481612443924,0.0733189508318901,0.06949008256196976,0.07122248411178589,0.004499999340623617
14,1,4,0,0.444,0.6985714285714286,0.021180620416998863,0.04440651461482048,0.021990064531564713,-0.022416450083255768,0.023225894197821617,0.07122248411178589,0.0723402127623558,0.07445746660232544,0.0045009274035692215
14,1,4,1,0.444,0.6985714285714286,0.021990064531564713,0.039082836359739304,0.02167634479701519,-0.017406491562724113,0.01709277182817459,0.07445746660232544,0.06972023099660873,0.07318510860204697,0.004506757017225027
15,1,5,0,0.555,0.6589285714285714,0.02167634479701519,0.04292399808764458,0.023317500948905945,-0.019606497138738632,0.021247653290629387,0.07318510860204697,0.07796856015920639,0.07975669950246811,0.004504435695707798
15,1,5,1,0.555,0.6589285714285714,0.023317500948905945,0.03645377606153488,0.021441994234919548,-0.015011781826615334,0.013136275112628937,0.07975669950246811,0.06907976418733597,0.07224904745817184,0.004506312310695648
16,1,6,0,0.666,0.6192857142857142,0.021441994234919548,0.03258158266544342,0.02069641649723053,-0.01188516616821289,0.011139588430523872,0.07224904745817184,0.06683910638093948,0.06925471872091293,0.004510314203798771
16,1,6,1,0.666,0.6192857142857142,0.02069641649723053,0.03638714924454689,0.019733596593141556,-0.016653552651405334,0.01569073274731636,0.06925471872091293,0.06329312175512314,0.06542158871889114,0.004504263401031494
17,1,7,0,0.777,0.5796428571428571,0.019733596593141556,0.031277041882276535,0.01895309053361416,-0.012323951348662376,0.01154344528913498,0.06542158871889114,0.05818549916148186,0.062288548797369,0.004507938399910927
17,1,7,1,0.777,0.5796428571428571,0.01895309053361416,0.0274488627910614,0.01974862441420555,-0.00770023837685585,0.008495772257447243,0.062288548797369,0.06105034425854683,0.06545281410217285,0.004513892810791731
18,1,8,0,0.888,0.54,0.01974862441420555,0.02563546597957611,0.01947668567299843,-0.0061587803065776825,0.00588684156537056,0.06545281410217285,0.059850484132766724,0.0643431544303894,0.004521196708083153
18,1,8,1,0.888,0.54,0.01947668567299843,0.027107208967208862,0.019754862412810326,-0.007352346554398537,0.007630523294210434,0.0643431544303894,0.061135757714509964,0.06545304507017136,0.0045221345499157906
19,1,9,0,0.999,0.5003571428571428,0.019754862412810326,0.024045979604125023,0.019483134150505066,-0.004562845453619957,0.004291117191314697,0.06545304507017136,0.06024017557501793,0.06429224461317062,0.004546764772385359
19,1,9,1,0.999,0.5003571428571428,0.019483134150505066,0.023281604051589966,0.018629595637321472,-0.004652008414268494,0.0037984699010849,0.06429224461317062,0.05748341605067253,0.060938794165849686,0.004526528529822826
20,2,0,0,0.0,0.6666666666666667,0.023556722328066826,0.028828050941228867,0.020711112767457962,-0.008116938173770905,0.005271328613162041,0.06770781427621841,0.06853999197483063,0.06881793588399887,0.004675503354519606
21,2,1,0,0.111,0.6204166666666668,0.020711112767457962,0.02883148193359375,0.02049955539405346,-0.00833192653954029,0.008120369166135788,0.06881793588399887,0.06800324469804764,0.06804420799016953,0.004651335999369621
22,2,2,0,0.222,0.5741666666666667,0.02049955539405346,0.025747856125235558,0.01990106888115406,-0.005846787244081497,0.005248300731182098,0.06804420799016953,0.06477341055870056,0.06562086939811707,0.004661135841161013
23,2,3,0,0.333,0.5279166666666668,0.01990106888115406,0.023975491523742676,0.01953742280602455,-0.004438068717718124,0.004074422642588615,0.06562086939811707,0.06316670030355453,0.06414712220430374,0.004667521920055151
24,2,4,0,0.444,0.48166666666666674,0.01953742280602455,0.022518515586853027,0.019834991544485092,-0.002683524042367935,0.002981092780828476,0.06414712220430374,0.06452839076519012,0.06531322747468948,0.004675580188632011
25,2,5,0,0.555,0.4354166666666667,0.019834991544485092,0.021160414442420006,0.01962616853415966,-0.0015342459082603455,0.0013254228979349136,0.06531322747468948,0.06375184655189514,0.06443142890930176,0.004691081587225199
26,2,6,0,0.666,0.38916666666666666,0.01962616853415966,0.02034330926835537,0.019885271787643433,-0.00045803748071193695,0.0007171407341957092,0.06443142890930176,0.06470759958028793,0.0654519572854042,0.004696378484368324
27,2,7,0,0.777,0.34291666666666665,0.019885271787643433,0.02017170935869217,0.020285360515117645,0.00011365115642547607,0.00028643757104873657,0.0654519572854042,0.0656282901763916,0.06669443845748901,0.0048156678676605225
28,2,8,0,0.888,0.2966666666666667,0.020285360515117645,0.019612856209278107,0.020193759351968765,0.0005809031426906586,-0.0006725043058395386,0.06669443845748901,0.06532533466815948,0.06634902954101562,0.004808666184544563
29,2,9,0,0.999,0.2504166666666667,0.020193759351968765,0.019007336348295212,0.019694775342941284,0.0006874389946460724,-0.0011864230036735535,0.06634902954101562,0.06314752250909805,0.06429558992385864,0.004827836528420448
30,3,0,0,0.0,0.3999999999999999,0.023020317777991295,0.022483546286821365,0.019385648891329765,-0.0030978973954916,-0.0005367714911699295,0.06981239467859268,0.07064037770032883,0.07064037770032883,0.0023007397539913654
31,3,1,0,0.111,0.3555999999999999,0.019385648891329765,0.02031080424785614,0.01905917562544346,-0.0012516286224126816,0.0009251553565263748,0.07064037770032883,0.0693678930401802,0.06936786323785782,0.002289609285071492
32,3,2,0,0.222,0.3111999999999999,0.01905917562544346,0.01998557709157467,0.01921437494456768,-0.0007712021470069885,0.0009264014661312103,0.06936786323785782,0.07000836730003357,0.07000821828842163,0.0022830951493233442
33,3,3,0,0.333,0.2668,0.01921437494456768,0.019911346957087517,0.019510619342327118,-0.00040072761476039886,0.0006969720125198364,0.07000821828842163,0.07123041898012161,0.07123041898012161,0.0022706843446940184
34,3,4,0,0.444,0.22239999999999996,0.019510619342327118,0.01940024271607399,0.019355325028300285,-4.491768777370453e-05,-0.00011037662625312805,0.07123041898012161,0.07069066911935806,0.07069066911935806,0.0022435432765632868
35,3,5,0,0.555,0.17799999999999994,0.019355325028300285,0.019069364294409752,0.019303690642118454,0.0002343263477087021,-0.00028596073389053345,0.07069066911935806,0.07064652442932129,0.07064652442932129,0.002189410850405693
36,3,6,0,0.666,0.13359999999999997,0.019303690642118454,0.018757428973913193,0.01920175366103649,0.00044432468712329865,-0.0005462616682052612,0.07064652442932129,0.07059086114168167,0.07059086114168167,0.0020720527973026037
37,3,7,0,0.777,0.08919999999999997,0.01920175366103649,0.018718890845775604,0.019076161086559296,0.0003572702407836914,-0.00048286281526088715,0.07059086114168167,0.07081145793199539,0.0708114504814148,0.0018310637678951025
38,3,8,0,0.888,0.044799999999999986,0.019076161086559296,0.018835915252566338,0.018894826993346214,5.891174077987671e-05,-0.00024024583399295807,0.0708114504814148,0.07083512097597122,0.07083512097597122,0.0015813964419066906
39,3,9,0,0.999,0.0004000000000000003,0.018894826993346214,0.018894866108894348,0.01889488846063614,2.2351741790771484e-08,3.91155481338501e-08,0.07083512097597122,0.07083529233932495,0.07083529233932495,0.0015814200742170215
