stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.03969954352354733,0.009970428422093391,0.030384168028831482,1.9319607019424438,1.0024131536483765,19,9.909100299410056e-06,1,0.09828939288854599,0.007749095559120178,0,0.04611789435148239,19.381905212484092,1.0048320293426514,0.11954375356435776,0.021642601117491722
0,1,0.111,0.9722500000000001,0.03969954352354733,0.010642001405358315,0.03502056002616882,1.9319669008255005,0.984796941280365,6,9.58812961471267e-06,1,0.11683882027864456,0.007747804280370474,1,0.050754278898239136,18.965873295001792,0.9698249697685242,0.13809318840503693,0.021641306579113007
0,2,0.222,0.9445,0.03969954352354733,0.01062399335205555,0.0323011688888073,1.9319627285003662,1.0142161846160889,7,8.60681484482484e-06,1,0.10595373064279556,0.007750317454338074,2,0.04803489148616791,19.205031773876417,1.0286344289779663,0.12720809876918793,0.021643823012709618
0,3,0.333,0.9167500000000001,0.03969954352354733,0.009873627685010433,0.030026443302631378,1.931961178779602,0.9999520778656006,8,8.86610632733209e-06,1,0.09685506671667099,0.007750236429274082,3,0.04576016589999199,19.415724010386135,0.9999041557312012,0.11810943484306335,0.02164374105632305
0,4,0.444,0.889,0.03969954352354733,0.009073696099221706,0.045980408787727356,1.931963562965393,0.9947441220283508,8,8.833078936731908e-06,1,0.16066278517246246,0.007752945646643639,4,0.06171412765979767,18.11675396786472,0.9895159006118774,0.1819171905517578,0.021646449342370033
0,5,0.555,0.86125,0.03969954352354733,0.008365506306290627,0.028274914249777794,1.9319607019424438,1.0126255750656128,8,6.90080469212262e-06,1,0.08984776586294174,0.0077506303787231445,5,0.044008634984493256,19.585220930648564,1.025410532951355,0.1111021414399147,0.02164413593709469
0,6,0.666,0.8335,0.03969954352354733,0.007804953958839178,0.038757648319005966,1.9319709539413452,0.9999905228614807,8,9.777251761988737e-06,1,0.13178472220897675,0.007748620584607124,6,0.05449137091636658,18.657322571268512,0.9999811053276062,0.1530390977859497,0.021642126142978668
0,7,0.777,0.80575,0.03969954352354733,0.0074211894534528255,0.033066339790821075,1.9319616556167603,1.0016690492630005,8,7.020416887826286e-06,1,0.10901866108179092,0.007748896721750498,7,0.048800062388181686,19.13639614103413,1.0033409595489502,0.13027304410934448,0.021642401814460754
0,8,0.888,0.778,0.03969954352354733,0.00719289667904377,0.028514286503195763,1.9319642782211304,0.994405210018158,8,7.678001566091552e-06,1,0.09080823510885239,0.007749640382826328,8,0.044248007237911224,19.56166274826701,0.988841712474823,0.11206259578466415,0.02164314314723015
0,9,0.999,0.75025,0.03969954352354733,0.007022725883871317,0.029403820633888245,1.9319584369659424,0.9973888993263245,8,6.516207122331252e-06,1,0.0943647250533104,0.007750189863145351,9,0.045137546956539154,19.47522038096785,0.9947845935821533,0.11561910063028336,0.02164369449019432
