frame,stage,step,tau,sigma_tau,gamma2,s2,h_range,h_ker,h_over_sigma,h2_over_sigma2,inv_s2_prior,prec_prior_range,prec_prior_ker,prec_data_max,data_over_prior
0,0,0,0.0,1.0,0.009970428422093391,0.03969954352354733,0.0,0.0,0.0,0.0,25.189206505784167,25.189206505784167,25.189206505784167,24870.170593261715,987.3344199052403
1,0,1,0.111,0.9722500000000001,0.010642001405358315,0.03969954352354733,0.02775,0.02775,0.028542041655952685,0.0008146481418901383,25.189206505784167,25.190021153926057,25.190021153926057,24870.170593261715,987.3024893980888
2,0,2,0.222,0.9445,0.01062399335205555,0.03969954352354733,0.0555,0.0555,0.05876124933827422,0.0034528844237948324,25.189206505784167,25.19265939020796,25.19265939020796,24870.170593261715,987.1990966911737
3,0,3,0.333,0.9167500000000001,0.009873627685010433,0.03969954352354733,0.08325,0.08325,0.09080992637032997,0.008246442727384751,25.189206505784167,25.19745294851155,25.19745294851155,24870.170593261715,987.0112921366059
4,0,4,0.444,0.889,0.009073696099221706,0.03969954352354733,0.111,0.111,0.12485939257592801,0.015589867914429706,25.189206505784167,25.204796373698596,25.204796373698596,24870.170593261715,986.7237260926232
5,0,5,0.555,0.86125,0.008365506306290627,0.03969954352354733,0.13875,0.13875,0.16110304789550076,0.025954192041220004,25.189206505784167,25.215160697825386,25.215160697825386,24870.170593261715,986.3181476930495
6,0,6,0.666,0.8335,0.007804953958839178,0.03969954352354733,0.1665,0.1665,0.19976004799040192,0.039904076773127684,25.189206505784167,25.229110582557293,25.229110582557293,24870.170593261715,985.7727846520385
7,0,7,0.777,0.80575,0.0074211894534528255,0.03969954352354733,0.19425,0.19425,0.24107973937325475,0.058119440736276444,25.189206505784167,25.247325946520444,25.247325946520444,24870.170593261715,985.0615723004635
8,0,8,0.888,0.778,0.00719289667904377,0.03969954352354733,0.222,0.222,0.2853470437017995,0.08142293534935667,25.189206505784167,25.270629441133522,25.270629441133522,24870.170593261715,984.1531906118661
9,0,9,0.999,0.75025,0.007022725883871317,0.03969954352354733,0.24975,0.24975,0.3328890369876708,0.11081511094657885,25.189206505784167,25.300021616730746,25.300021616730746,24870.170593261715,983.0098554862589
10,1,0,0.0,0.8571428571428572,0.013227979652583599,0.04718059426719991,0.14285714285714285,0.0,0.16666666666666666,0.027777777777777773,21.19515482015035,21.22293259792813,21.19515482015035,6259.245300292968,294.9283880260743
11,1,1,0.111,0.8175000000000001,0.012689127586781979,0.04718059426719991,0.1825,0.0555,0.22324159021406725,0.049836807601305516,21.19515482015035,21.244991627751656,21.199763859793478,6259.245300292968,294.62215895235823
12,1,2,0.222,0.7778571428571429,0.012317526154220104,0.04718059426719991,0.22214285714285714,0.111,0.2855831037649219,0.08155770915600617,21.19515482015035,21.276712529306355,21.215518031527836,6259.245300292968,294.1829143798197
13,1,3,0.333,0.7382142857142858,0.012009454891085625,0.04718059426719991,0.2617857142857143,0.1665,0.3546202225447508,0.12575550223768858,21.19515482015035,21.320910322388038,21.246025036551142,6259.245300292968,293.57307946276774
