frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.06512915343046188,0.019325844943523407,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.23896193504333496,0.007184898015111685
0,0,0,1,0.0,1.0,0.06512915343046188,0.04574131593108177,0.05730646103620529,0.01156514510512352,-0.01938783749938011,0.23896193504333496,0.07242368161678314,0.20757853984832764,0.007215764839202166
0,0,0,2,0.0,1.0,0.05730646103620529,0.04561784863471985,0.06808185577392578,0.022464007139205933,-0.011688612401485443,0.20757853984832764,0.071952223777771,0.25098249316215515,0.007114988286048174
0,0,0,3,0.0,1.0,0.06808185577392578,0.04582003504037857,0.05691146478056908,0.011091429740190506,-0.02226182073354721,0.25098249316215515,0.07269427925348282,0.20587487518787384,0.007256983779370785
0,0,0,4,0.0,1.0,0.05691146478056908,0.045896515250205994,0.05371667072176933,0.00782015547156334,-0.011014949530363083,0.20587487518787384,0.07303475588560104,0.19346290826797485,0.0071345907635986805
0,0,0,5,0.0,1.0,0.05371667072176933,0.04608321189880371,0.06363748759031296,0.017554275691509247,-0.007633458822965622,0.19346290826797485,0.07335200905799866,0.23287701606750488,0.007224313914775848
0,0,0,6,0.0,1.0,0.06363748759031296,0.04607702046632767,0.059670936316251755,0.013593915849924088,-0.01756046712398529,0.23287701606750488,0.07302132993936539,0.2172679752111435,0.00713859498500824
0,0,0,7,0.0,1.0,0.059670936316251755,0.045713942497968674,0.06382108479738235,0.01810714229941368,-0.013956993818283081,0.2172679752111435,0.0721859484910965,0.23390400409698486,0.007126771844923496
0,0,0,8,0.0,1.0,0.06382108479738235,0.04595940560102463,0.06195194646716118,0.01599254086613655,-0.017861679196357727,0.23390400409698486,0.07290201634168625,0.22605861723423004,0.007249715272337198
0,0,0,9,0.0,1.0,0.06195194646716118,0.04573412984609604,0.06635884940624237,0.020624719560146332,-0.01621781662106514,0.22605861723423004,0.0726608857512474,0.24394768476486206,0.007162569090723991
1,0,1,0,0.111,0.9722500000000001,0.06635884940624237,0.04673440381884575,0.05898655205965042,0.012252148240804672,-0.01962444558739662,0.24394768476486206,0.07348325103521347,0.2142736166715622,0.007224197033792734
1,0,1,1,0.111,0.9722500000000001,0.05898655205965042,0.0499214231967926,0.07033263146877289,0.020411208271980286,-0.009065128862857819,0.2142736166715622,0.0679318979382515,0.2596765458583832,0.007217997685074806
1,0,1,2,0.111,0.9722500000000001,0.07033263146877289,0.04783140867948532,0.06451021134853363,0.01667880266904831,-0.022501222789287567,0.2596765458583832,0.07899858057498932,0.23643739521503448,0.007201147731393576
1,0,1,3,0.111,0.9722500000000001,0.06451021134853363,0.05470193549990654,0.06832566857337952,0.013623733073472977,-0.00980827584862709,0.23643739521503448,0.08866686373949051,0.2517223358154297,0.007193442899733782
1,0,1,4,0.111,0.9722500000000001,0.06832566857337952,0.05732876807451248,0.06447601318359375,0.007147245109081268,-0.010996900498867035,0.2517223358154297,0.08201352506875992,0.2365075796842575,0.007132163271307945
1,0,1,5,0.111,0.9722500000000001,0.06447601318359375,0.048285674303770065,0.059355273842811584,0.01106959953904152,-0.016190338879823685,0.2365075796842575,0.07901965081691742,0.21582496166229248,0.007198707200586796
1,0,1,6,0.111,0.9722500000000001,0.059355273842811584,0.04937649890780449,0.05658644065260887,0.007209941744804382,-0.009978774935007095,0.21582496166229248,0.06923007220029831,0.20478640496730804,0.007186454255133867
1,0,1,7,0.111,0.9722500000000001,0.05658644065260887,0.07982971519231796,0.06172040104866028,-0.018109314143657684,0.02324327453970909,0.20478640496730804,0.0731327086687088,0.22558026015758514,0.007100451271981001
1,0,1,8,0.111,0.9722500000000001,0.06172040104866028,0.04938144609332085,0.07247506082057953,0.023093614727258682,-0.012338954955339432,0.22558026015758514,0.07406311482191086,0.2681870758533478,0.007237724028527737
1,0,1,9,0.111,0.9722500000000001,0.07247506082057953,0.06219136714935303,0.05623812600970268,-0.005953241139650345,-0.010283693671226501,0.2681870758533478,0.08310145884752274,0.2035827487707138,0.007123250979930162
2,0,2,0,0.222,0.9445,0.05623812600970268,0.08225753903388977,0.05517755076289177,-0.027079988270998,0.026019413024187088,0.2035827487707138,0.07615230977535248,0.19919580221176147,0.007171464618295431
2,0,2,1,0.222,0.9445,0.05517755076289177,0.056038402020931244,0.051197778433561325,-0.004840623587369919,0.0008608512580394745,0.19919580221176147,0.0781298279762268,0.1832643300294876,0.007175590377300978
2,0,2,2,0.222,0.9445,0.051197778433561325,0.04438842087984085,0.05506843328475952,0.01068001240491867,-0.006809357553720474,0.1832643300294876,0.07010296732187271,0.19891297817230225,0.0071202535182237625
2,0,2,3,0.222,0.9445,0.05506843328475952,0.07365654408931732,0.05557858198881149,-0.01807796210050583,0.0185881108045578,0.19891297817230225,0.10569886118173599,0.20082400739192963,0.007163443602621555
2,0,2,4,0.222,0.9445,0.05557858198881149,0.06276021897792816,0.05410505458712578,-0.008655164390802383,0.007181636989116669,0.20082400739192963,0.0665702298283577,0.1947716921567917,0.007216176018118858
2,0,2,5,0.222,0.9445,0.05410505458712578,0.04906865954399109,0.06279700249433517,0.013728342950344086,-0.005036395043134689,0.1947716921567917,0.06758348643779755,0.22963865101337433,0.007183115463703871
2,0,2,6,0.222,0.9445,0.06279700249433517,0.06666909903287888,0.07411661744117737,0.007447518408298492,0.003872096538543701,0.22963865101337433,0.09653682261705399,0.2751592695713043,0.007102403324097395
2,0,2,7,0.222,0.9445,0.07411661744117737,0.06466896086931229,0.059257857501506805,-0.005411103367805481,-0.009447656571865082,0.2751592695713043,0.07103313505649567,0.21540534496307373,0.0072086951695382595
2,0,2,8,0.222,0.9445,0.059257857501506805,0.05217216908931732,0.06446569412946701,0.012293525040149689,-0.007085688412189484,0.21540534496307373,0.06870000809431076,0.23622246086597443,0.007213430944830179
2,0,2,9,0.222,0.9445,0.06446569412946701,0.049897968769073486,0.066159687936306,0.016261719167232513,-0.014567725360393524,0.23622246086597443,0.07203487306833267,0.2429828643798828,0.007218623999506235
3,0,3,0,0.333,0.9167500000000001,0.066159687936306,0.06433026492595673,0.074574314057827,0.01024404913187027,-0.0018294230103492737,0.2429828643798828,0.07140880823135376,0.2766418755054474,0.0072184461168944836
3,0,3,1,0.333,0.9167500000000001,0.074574314057827,0.06927155703306198,0.05815877020359039,-0.011112786829471588,-0.005302757024765015,0.2766418755054474,0.06539455056190491,0.21127136051654816,0.0071212416514754295
3,0,3,2,0.333,0.9167500000000001,0.05815877020359039,0.06078440696001053,0.05365527793765068,-0.007129129022359848,0.0026256367564201355,0.21127136051654816,0.09859728813171387,0.19302575290203094,0.007198456209152937
3,0,3,3,0.333,0.9167500000000001,0.05365527793765068,0.059520214796066284,0.05804235860705376,-0.0014778561890125275,0.005864936858415604,0.19302575290203094,0.07621248811483383,0.2106305956840515,0.007179615553468466
3,0,3,4,0.333,0.9167500000000001,0.05804235860705376,0.050687890499830246,0.05767633765935898,0.006988447159528732,-0.007354468107223511,0.2106305956840515,0.06818744540214539,0.20916740596294403,0.0071793124079704285
3,0,3,5,0.333,0.9167500000000001,0.05767633765935898,0.06020069122314453,0.0734114870429039,0.013210795819759369,0.002524353563785553,0.20916740596294403,0.057093918323516846,0.2722298204898834,0.0071386974304914474
3,0,3,6,0.333,0.9167500000000001,0.0734114870429039,0.06535311043262482,0.056529223918914795,-0.008823886513710022,-0.008058376610279083,0.2722298204898834,0.07969852536916733,0.20447392761707306,0.007214332465082407
3,0,3,7,0.333,0.9167500000000001,0.056529223918914795,0.06627605855464935,0.04964488744735718,-0.016631171107292175,0.009746834635734558,0.20447392761707306,0.06753483414649963,0.17693756520748138,0.007213990669697523
3,0,3,8,0.333,0.9167500000000001,0.04964488744735718,0.054746367037296295,0.053560566157102585,-0.0011858008801937103,0.005101479589939117,0.17693756520748138,0.06455852836370468,0.19295279681682587,0.007096495945006609
3,0,3,9,0.333,0.9167500000000001,0.053560566157102585,0.03982400894165039,0.06335508823394775,0.023531079292297363,-0.013736557215452194,0.19295279681682587,0.06752381473779678,0.2320644110441208,0.007118644192814827
4,0,4,0,0.444,0.889,0.06335508823394775,0.07193559408187866,0.060467593371868134,-0.011468000710010529,0.008580505847930908,0.2320644110441208,0.11281516402959824,0.22039325535297394,0.007159026339650154
4,0,4,1,0.444,0.889,0.060467593371868134,0.05915185064077377,0.04972520470619202,-0.009426645934581757,-0.0013157427310943604,0.22039325535297394,0.07634025067090988,0.17724208533763885,0.0072195809334516525
4,0,4,2,0.444,0.889,0.04972520470619202,0.04759660363197327,0.06833747774362564,0.020740874111652374,-0.00212860107421875,0.17724208533763885,0.05596940591931343,0.25164324045181274,0.007235551252961159
4,0,4,3,0.444,0.889,0.06833747774362564,0.05528004467487335,0.06565046310424805,0.010370418429374695,-0.013057433068752289,0.25164324045181274,0.07237888127565384,0.24091088771820068,0.007230309769511223
4,0,4,4,0.444,0.889,0.06565046310424805,0.053933680057525635,0.06132456660270691,0.007390886545181274,-0.011716783046722412,0.24091088771820068,0.1017642542719841,0.22371594607830048,0.007194113451987505
4,0,4,5,0.444,0.889,0.06132456660270691,0.06655046343803406,0.07291293889284134,0.0063624754548072815,0.0052258968353271484,0.22371594607830048,0.12848018109798431,0.2702118456363678,0.007146635092794895
4,0,4,6,0.444,0.889,0.07291293889284134,0.07029347866773605,0.07403113692998886,0.0037376582622528076,-0.0026194602251052856,0.2702118456363678,0.0819353237748146,0.2747012674808502,0.0071410927921533585
