frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.06512924283742905,0.01932593435049057,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.23896224796772003,0.007184898480772972
0,0,0,1,0.0,1.0,0.06512924283742905,0.04574131593108177,0.057306259870529175,0.011564943939447403,-0.019387926906347275,0.23896224796772003,0.07242368161678314,0.20757775008678436,0.007215764839202166
1,0,1,0,0.111,0.9722500000000001,0.057306259870529175,0.05402182787656784,0.06774180382490158,0.01371997594833374,-0.0032844319939613342,0.20757775008678436,0.0686507299542427,0.2496216744184494,0.0071151768788695335
1,0,1,1,0.111,0.9722500000000001,0.06774180382490158,0.059957634657621384,0.05757763981819153,-0.0023799948394298553,-0.007784169167280197,0.2496216744184494,0.09401321411132812,0.20853950083255768,0.0072570196352899075
2,0,2,0,0.222,0.9445,0.05757763981819153,0.0438053123652935,0.05441872775554657,0.010613415390253067,-0.013772327452898026,0.20853950083255768,0.07537201046943665,0.19626732170581818,0.0071358648128807545
2,0,2,1,0.222,0.9445,0.05441872775554657,0.07221066951751709,0.06687411665916443,-0.005336552858352661,0.01779194176197052,0.19626732170581818,0.08548302203416824,0.24582533538341522,0.00722371693700552
3,0,3,0,0.333,0.9167500000000001,0.06687411665916443,0.05763065069913864,0.06152227148413658,0.00389162078499794,-0.009243465960025787,0.24582533538341522,0.11877941340208054,0.22467024624347687,0.007139610126614571
3,0,3,1,0.333,0.9167500000000001,0.06152227148413658,0.05509334057569504,0.060866765677928925,0.005773425102233887,-0.006428930908441544,0.22467024624347687,0.06591910868883133,0.22207526862621307,0.007130602840334177
4,0,4,0,0.444,0.889,0.060866765677928925,0.03816334158182144,0.06147003173828125,0.02330669015645981,-0.022703424096107483,0.22207526862621307,0.056880056858062744,0.22412221133708954,0.007252631708979607
4,0,4,1,0.444,0.889,0.06147003173828125,0.15541602671146393,0.06831620633602142,-0.0870998203754425,0.09394599497318268,0.22412221133708954,0.14070773124694824,0.25175905227661133,0.007168585900217295
5,0,5,0,0.555,0.86125,0.06831620633602142,0.04741344973444939,0.06194806843996048,0.014534618705511093,-0.020902756601572037,0.25175905227661133,0.07114075869321823,0.22611026465892792,0.0072273388504981995
5,0,5,1,0.555,0.86125,0.06194806843996048,0.060328513383865356,0.07391869276762009,0.01359017938375473,-0.0016195550560951233,0.22611026465892792,0.07561902701854706,0.27401605248451233,0.0072195762768387794
6,0,6,0,0.666,0.8335,0.07391869276762009,0.047214433550834656,0.0642121285200119,0.016997694969177246,-0.02670425921678543,0.27401605248451233,0.08040546625852585,0.23522599041461945,0.007207510527223349
6,0,6,1,0.666,0.8335,0.0642121285200119,0.06394403427839279,0.06683168560266495,0.0028876513242721558,-0.0002680942416191101,0.23522599041461945,0.0924677848815918,0.24572794139385223,0.0071995994076132774
7,0,7,0,0.777,0.80575,0.06683168560266495,0.06620074808597565,0.06602272391319275,-0.00017802417278289795,-0.0006309375166893005,0.24572794139385223,0.0856742262840271,0.24268598854541779,0.00713495584204793
7,0,7,1,0.777,0.80575,0.06602272391319275,0.040913164615631104,0.057858940213918686,0.016945775598287582,-0.025109559297561646,0.24268598854541779,0.05841900780797005,0.20983123779296875,0.007201501168310642
8,0,8,0,0.888,0.778,0.057858940213918686,0.05483464524149895,0.06313692778348923,0.00830228254199028,-0.0030242949724197388,0.20983123779296875,0.08895242214202881,0.2309654802083969,0.007194073870778084
8,0,8,1,0.888,0.778,0.06313692778348923,0.05746705085039139,0.06078583002090454,0.003318779170513153,-0.005669876933097839,0.2309654802083969,0.0620611347258091,0.22182734310626984,0.007105330005288124
