stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.24318520724773407,0.009970428422093391,0.057306259870529175,1.936166763305664,1.0024131536483765,85,9.918457180901896e-06,1,0.20757775008678436,0.007215764839202166,0,0.07303998619318008,17.384993088968223,1.0048320293426514,0.22883212566375732,0.021109269931912422
0,1,0.111,0.9722500000000001,0.24318520724773407,0.010642001405358315,0.05757763981819153,1.9361279010772705,0.984796941280365,78,9.444913303013891e-06,1,0.20853950083255768,0.0072570196352899075,1,0.07331136614084244,17.368886787663413,0.9698249697685242,0.22979389131069183,0.02115052193403244
0,2,0.222,0.9445,0.24318520724773407,0.01062399335205555,0.06687411665916443,1.9363467693328857,1.0142161846160889,80,9.684431461209897e-06,1,0.24582533538341522,0.00722371693700552,2,0.08260783553123474,16.85038748286207,1.0286344289779663,0.2670796811580658,0.02111721970140934
0,3,0.333,0.9167500000000001,0.24318520724773407,0.009873627685010433,0.060866765677928925,1.936355710029602,0.9999520778656006,78,9.904111720970832e-06,1,0.22207526862621307,0.007130602840334177,3,0.07660049200057983,17.178284322377774,0.9999041557312012,0.24332962930202484,0.021024107933044434
0,4,0.444,0.889,0.24318520724773407,0.009073696099221706,0.06831620633602142,1.936335563659668,0.9947441220283508,77,9.9544195109047e-06,1,0.25175905227661133,0.007168585900217295,4,0.08404992520809174,16.77522660009671,0.9895159006118774,0.2730134129524231,0.021062089130282402
0,5,0.555,0.86125,0.24318520724773407,0.008365506306290627,0.07391869276762009,1.9362602233886719,1.0126255750656128,77,9.592119567969348e-06,1,0.27401605248451233,0.0072195762768387794,5,0.0896524116396904,16.494980148003933,1.025410532951355,0.2952704131603241,0.02111308090388775
0,6,0.666,0.8335,0.24318520724773407,0.007804953958839178,0.06683168560266495,1.936249017715454,0.9999905228614807,79,9.213553312292788e-06,1,0.24572794139385223,0.0071995994076132774,6,0.08256541192531586,16.852618393574534,0.9999811053276062,0.2669822871685028,0.021093104034662247
0,7,0.777,0.80575,0.24318520724773407,0.0074211894534528255,0.057858940213918686,1.9361765384674072,1.0016690492630005,77,8.640807209303603e-06,1,0.20983123779296875,0.007201501168310642,7,0.0735926628112793,17.35225473993396,1.0033409595489502,0.2310856133699417,0.02109500579535961
0,8,0.888,0.778,0.24318520724773407,0.00719289667904377,0.06078583002090454,1.9363209009170532,0.994405210018158,75,9.186656825477257e-06,1,0.22182734310626984,0.007105330005288124,8,0.07651955634355545,17.182875479824308,0.988841712474823,0.243081733584404,0.020998835563659668
0,9,0.999,0.75025,0.24318520724773407,0.007022725883871317,0.06095501780509949,1.9361913204193115,0.9973888993263245,73,9.867617336567491e-06,1,0.2224278301000595,0.007130745332688093,9,0.0766887366771698,17.173284077981673,0.9947845935821533,0.24368222057819366,0.021024249494075775
