frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.03816109150648117,-0.007642216980457306,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.12903378903865814,0.00787019357085228
0,0,0,1,0.0,1.0,0.03816109150648117,0.04574131593108177,0.03815827891230583,-0.00758303701877594,0.007580224424600601,0.12903378903865814,0.07242368161678314,0.12885630130767822,0.007925603538751602
1,0,1,0,0.111,0.9722500000000001,0.03815827891230583,0.0539579764008522,0.03770950064063072,-0.01624847576022148,0.01579969748854637,0.12885630130767822,0.06882205605506897,0.12742213904857635,0.007805282715708017
1,0,1,1,0.111,0.9722500000000001,0.03770950064063072,0.06000038608908653,0.041951559484004974,-0.018048826605081558,0.02229088544845581,0.12742213904857635,0.09397462755441666,0.14396177232265472,0.007948160171508789
2,0,2,0,0.222,0.9445,0.041951559484004974,0.04511672258377075,0.03978872299194336,-0.005327999591827393,0.0031651630997657776,0.14396177232265472,0.08152902871370316,0.1357065588235855,0.007816112600266933
2,0,2,1,0.222,0.9445,0.03978872299194336,0.0705137774348259,0.04167035222053528,-0.02884342521429062,0.030725054442882538,0.1357065588235855,0.08668795973062515,0.1429108828306198,0.007923510856926441
3,0,3,0,0.333,0.9167500000000001,0.04167035222053528,0.0583563856780529,0.05008549615740776,-0.008270889520645142,0.016686033457517624,0.1429108828306198,0.1215696707367897,0.17691802978515625,0.007807994727045298
3,0,3,1,0.333,0.9167500000000001,0.05008549615740776,0.05747924745082855,0.03859608992934227,-0.018883157521486282,0.007393751293420792,0.17691802978515625,0.0713123306632042,0.13096719980239868,0.00780571810901165
4,0,4,0,0.444,0.889,0.03859608992934227,0.03875816613435745,0.035408344119787216,-0.003349822014570236,0.0001620762050151825,0.13096719980239868,0.059380143880844116,0.1177932620048523,0.00794670358300209
4,0,4,1,0.444,0.889,0.035408344119787216,0.1506756991147995,0.0530644953250885,-0.097611203789711,0.11526735499501228,0.1177932620048523,0.14006558060646057,0.1887311190366745,0.0078422911465168
5,0,5,0,0.555,0.86125,0.0530644953250885,0.05040973424911499,0.03821805864572525,-0.01219167560338974,-0.0026547610759735107,0.1887311190366745,0.0789172425866127,0.12908951938152313,0.007927564904093742
5,0,5,1,0.555,0.86125,0.03821805864572525,0.05337527394294739,0.03667788952589035,-0.016697384417057037,0.015157215297222137,0.12908951938152313,0.06845826655626297,0.12297604233026505,0.007911835797131062
6,0,6,0,0.666,0.8335,0.03667788952589035,0.049869805574417114,0.04141882061958313,-0.008450984954833984,0.013191916048526764,0.12297604233026505,0.09146686643362045,0.14197540283203125,0.007899959571659565
6,0,6,1,0.666,0.8335,0.04141882061958313,0.07211965322494507,0.047142088413238525,-0.024977564811706543,0.03070083260536194,0.14197540283203125,0.11615458875894547,0.1649317890405655,0.007878855802118778
7,0,7,0,0.777,0.80575,0.047142088413238525,0.06630757451057434,0.040988340973854065,-0.025319233536720276,0.019165486097335815,0.1649317890405655,0.08936413377523422,0.1404939442873001,0.007819803431630135
7,0,7,1,0.777,0.80575,0.040988340973854065,0.04737620800733566,0.0419803187251091,-0.0053958892822265625,0.006387867033481598,0.1404939442873001,0.08043923228979111,0.1442713886499405,0.007883291691541672
8,0,8,0,0.888,0.778,0.0419803187251091,0.059363484382629395,0.042225807905197144,-0.01713767647743225,0.017383165657520294,0.1442713886499405,0.1062130555510521,0.14527998864650726,0.00787442084401846
8,0,8,1,0.888,0.778,0.042225807905197144,0.05948421359062195,0.03662993758916855,-0.0228542760014534,0.017258405685424805,0.14527998864650726,0.0710502341389656,0.12318693846464157,0.00777760474011302
9,0,9,0,0.999,0.75025,0.03662993758916855,0.042961038649082184,0.037547774612903595,-0.005413264036178589,0.006331101059913635,0.12318693846464157,0.06033680960536003,0.12637947499752045,0.007937200367450714
9,0,9,1,0.999,0.75025,0.037547774612903595,0.05038609355688095,0.036663614213466644,-0.013722479343414307,0.012838318943977356,0.12637947499752045,0.06645947694778442,0.12328002601861954,0.00779147632420063
10,1,0,0,0.0,0.8571428571428572,0.04414466768503189,0.04667151719331741,0.03219589218497276,-0.01447562500834465,0.0025268495082855225,0.13224856555461884,0.0699278712272644,0.1138368472456932,0.004982239566743374
10,1,0,1,0.0,0.8571428571428572,0.03219589218497276,0.05762624740600586,0.03480859845876694,-0.022817648947238922,0.025430355221033096,0.1138368472456932,0.08530709892511368,0.12437543272972107,0.004952987655997276
11,1,1,0,0.111,0.8175000000000001,0.03480859845876694,0.050577640533447266,0.034691084176301956,-0.01588655635714531,0.01576904207468033,0.12437543272972107,0.08525107055902481,0.12385428696870804,0.004970014560967684
11,1,1,1,0.111,0.8175000000000001,0.034691084176301956,0.06292623281478882,0.03974645957350731,-0.02317977324128151,0.028235148638486862,0.12385428696870804,0.10300933569669724,0.14397281408309937,0.00500433798879385
12,1,2,0,0.222,0.7778571428571429,0.03974645957350731,0.0493561252951622,0.03582313656806946,-0.013532988727092743,0.009609665721654892,0.14397281408309937,0.08266490697860718,0.12843549251556396,0.004952346906065941
12,1,2,1,0.222,0.7778571428571429,0.03582313656806946,0.041982024908065796,0.031129449605941772,-0.010852575302124023,0.006158888339996338,0.12843549251556396,0.06490021198987961,0.10951966047286987,0.0049993800930678844
13,1,3,0,0.333,0.7382142857142858,0.031129449605941772,0.045426249504089355,0.03370102867484093,-0.011725220829248428,0.014296799898147583,0.10951966047286987,0.07110442966222763,0.11977503448724747,0.005009690299630165
13,1,3,1,0.333,0.7382142857142858,0.03370102867484093,0.0467880479991436,0.031858570873737335,-0.014929477125406265,0.013087019324302673,0.11977503448724747,0.070192351937294,0.1125006452202797,0.004977877717465162
14,1,4,0,0.444,0.6985714285714286,0.031858570873737335,0.04380165785551071,0.03258504346013069,-0.01121661439538002,0.011943086981773376,0.1125006452202797,0.0709124431014061,0.11539728194475174,0.004980961326509714
14,1,4,1,0.444,0.6985714285714286,0.03258504346013069,0.0385921373963356,0.03218052536249161,-0.006411612033843994,0.00600709393620491,0.11539728194475174,0.067866750061512,0.11370474100112915,0.005005785264074802
15,1,5,0,0.555,0.6589285714285714,0.03218052536249161,0.04257985204458237,0.034446947276592255,-0.008132904767990112,0.01039932668209076,0.11370474100112915,0.07623223960399628,0.12285865098237991,0.004976373631507158
15,1,5,1,0.555,0.6589285714285714,0.034446947276592255,0.03653252124786377,0.031344421207904816,-0.005188100039958954,0.002085573971271515,0.12285865098237991,0.06926523894071579,0.11038760095834732,0.004996687639504671
16,1,6,0,0.666,0.6192857142857142,0.031344421207904816,0.03253129869699478,0.031063947826623917,-0.0014673508703708649,0.0011868774890899658,0.11038760095834732,0.06662914156913757,0.10942137241363525,0.004944801330566406
16,1,6,1,0.666,0.6192857142857142,0.031063947826623917,0.03610353171825409,0.029810700565576553,-0.006292831152677536,0.005039583891630173,0.10942137241363525,0.062497276812791824,0.10433483123779297,0.004969319794327021
17,1,7,0,0.777,0.5796428571428571,0.029810700565576553,0.030808746814727783,0.03016703948378563,-0.0006417073309421539,0.0009980462491512299,0.10433483123779297,0.05674507096409798,0.10551365464925766,0.005051500629633665
17,1,7,1,0.777,0.5796428571428571,0.03016703948378563,0.027791401371359825,0.03083324059844017,0.003041839227080345,-0.002375638112425804,0.10551365464925766,0.06268968433141708,0.10839507728815079,0.004979295190423727
18,1,8,0,0.888,0.54,0.03083324059844017,0.025604650378227234,0.0292062908411026,0.003601640462875366,-0.005228590220212936,0.10839507728815079,0.05957139655947685,0.10171613097190857,0.0050363424234092236
18,1,8,1,0.888,0.54,0.0292062908411026,0.027012202888727188,0.02973172627389431,0.002719523385167122,-0.002194087952375412,0.10171613097190857,0.05993015691637993,0.10389870405197144,0.005009402055293322
19,1,9,0,0.999,0.5003571428571428,0.02973172627389431,0.0237015038728714,0.03007715940475464,0.00637565553188324,-0.006030222401022911,0.10389870405197144,0.059210557490587234,0.10513060539960861,0.005059343297034502
19,1,9,1,0.999,0.5003571428571428,0.03007715940475464,0.02319227159023285,0.028647448867559433,0.005455177277326584,-0.0068848878145217896,0.10513060539960861,0.057087916880846024,0.09945505857467651,0.005044910125434399
20,2,0,0,0.0,0.6666666666666667,0.033574577420949936,0.0287467148154974,0.0353265255689621,0.006579810753464699,-0.0048278626054525375,0.10622408241033554,0.06892868876457214,0.12043557316064835,0.006956839933991432
