frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.03816109150648117,-0.007642216980457306,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.12903378903865814,0.00787019357085228
0,0,0,1,0.0,1.0,0.03816109150648117,0.04574131593108177,0.03815827891230583,-0.00758303701877594,0.007580224424600601,0.12903378903865814,0.07242368161678314,0.12885630130767822,0.007925604470074177
1,0,1,0,0.111,0.9722500000000001,0.03815827891230583,0.053957968950271606,0.037709496915340424,-0.016248472034931183,0.015799690037965775,0.12885630130767822,0.06882204860448837,0.12742212414741516,0.007805283647030592
1,0,1,1,0.111,0.9722500000000001,0.037709496915340424,0.060000400990247726,0.041951559484004974,-0.018048841506242752,0.022290904074907303,0.12742212414741516,0.09397464245557785,0.14396174252033234,0.007948162034153938
2,0,2,0,0.222,0.9445,0.041951559484004974,0.04511672258377075,0.03978872299194336,-0.005327999591827393,0.0031651630997657776,0.14396174252033234,0.08152902871370316,0.13570654392242432,0.007816112600266933
2,0,2,1,0.222,0.9445,0.03978872299194336,0.0705137774348259,0.04167035222053528,-0.02884342521429062,0.030725054442882538,0.13570654392242432,0.08668795973062515,0.1429108828306198,0.007923510856926441
3,0,3,0,0.333,0.9167500000000001,0.04167035222053528,0.0583563894033432,0.05008549615740776,-0.00827089324593544,0.016686037182807922,0.1429108828306198,0.1215696856379509,0.17691801488399506,0.007807994727045298
3,0,3,1,0.333,0.9167500000000001,0.05008549615740776,0.05747924745082855,0.03859608992934227,-0.018883157521486282,0.007393751293420792,0.17691801488399506,0.0713123232126236,0.13096719980239868,0.007805716712027788
4,0,4,0,0.444,0.889,0.03859608992934227,0.03875817358493805,0.03540834039449692,-0.0033498331904411316,0.00016208365559577942,0.13096719980239868,0.05938015505671501,0.1177932545542717,0.00794670358300209
4,0,4,1,0.444,0.889,0.03540834039449692,0.1506756842136383,0.0530644915997982,-0.0976111926138401,0.11526734381914139,0.1177932545542717,0.14006556570529938,0.1887310892343521,0.007842292077839375
5,0,5,0,0.555,0.86125,0.0530644915997982,0.05040973424911499,0.03821805119514465,-0.012191683053970337,-0.0026547573506832123,0.1887310892343521,0.0789172425866127,0.12908951938152313,0.007927564904093742
5,0,5,1,0.555,0.86125,0.03821805119514465,0.053375281393527985,0.03667788952589035,-0.016697391867637634,0.015157230198383331,0.12908951938152313,0.06845826655626297,0.12297603487968445,0.007911834865808487
6,0,6,0,0.666,0.8335,0.03667788952589035,0.04986979812383652,0.04141882061958313,-0.008450977504253387,0.013191908597946167,0.12297603487968445,0.09146685153245926,0.14197540283203125,0.007899959571659565
6,0,6,1,0.666,0.8335,0.04141882061958313,0.07211962342262268,0.047142088413238525,-0.024977535009384155,0.03070080280303955,0.14197540283203125,0.11615457385778427,0.1649317890405655,0.007878856733441353
7,0,7,0,0.777,0.80575,0.047142088413238525,0.06630757451057434,0.040988340973854065,-0.025319233536720276,0.019165486097335815,0.1649317890405655,0.08936413377523422,0.1404939591884613,0.007819803431630135
7,0,7,1,0.777,0.80575,0.040988340973854065,0.04737621545791626,0.0419803261756897,-0.0053958892822265625,0.006387874484062195,0.1404939591884613,0.0804392471909523,0.14427141845226288,0.007883293554186821
8,0,8,0,0.888,0.778,0.0419803261756897,0.059363506734371185,0.04222581908106804,-0.017137687653303146,0.017383180558681488,0.14427141845226288,0.10621306300163269,0.14527998864650726,0.007874422706663609
8,0,8,1,0.888,0.778,0.04222581908106804,0.05948421359062195,0.03662993758916855,-0.0228542760014534,0.01725839450955391,0.14527998864650726,0.0710502341389656,0.12318692356348038,0.00777760474011302
9,0,9,0,0.999,0.75025,0.03662993758916855,0.04296103119850159,0.037547774612903595,-0.005413256585597992,0.006331093609333038,0.12318692356348038,0.06033680960536003,0.12637947499752045,0.007937201298773289
9,0,9,1,0.999,0.75025,0.037547774612903595,0.05038609355688095,0.036663614213466644,-0.013722479343414307,0.012838318943977356,0.12637947499752045,0.06645948439836502,0.12328002601861954,0.00779147632420063
10,1,0,0,0.0,0.8571428571428572,0.044144660234451294,0.046671509742736816,0.03219589218497276,-0.014475617557764053,0.0025268495082855225,0.13224856555461884,0.0699278712272644,0.1138368472456932,0.004982239566743374
10,1,0,1,0.0,0.8571428571428572,0.03219589218497276,0.05762624740600586,0.03480859845876694,-0.022817648947238922,0.025430355221033096,0.1138368472456932,0.08530709892511368,0.12437543272972107,0.004952987655997276
11,1,1,0,0.111,0.8175000000000001,0.03480859845876694,0.05057763680815697,0.034691084176301956,-0.01588655263185501,0.01576903834939003,0.12437543272972107,0.08525107055902481,0.12385428696870804,0.0049700140953063965
11,1,1,1,0.111,0.8175000000000001,0.034691084176301956,0.06292623281478882,0.03974645584821701,-0.023179776966571808,0.028235148638486862,0.12385428696870804,0.10300932079553604,0.14397281408309937,0.00500433798879385
12,1,2,0,0.222,0.7778571428571429,0.03974645584821701,0.0493561252951622,0.03582313284277916,-0.013532992452383041,0.00960966944694519,0.14397281408309937,0.08266489952802658,0.12843549251556396,0.004952346906065941
12,1,2,1,0.222,0.7778571428571429,0.03582313284277916,0.041982024908065796,0.031129449605941772,-0.010852575302124023,0.006158892065286636,0.12843549251556396,0.06490021198987961,0.10951966047286987,0.0049993800930678844
13,1,3,0,0.333,0.7382142857142858,0.031129449605941772,0.04542624577879906,0.03370102867484093,-0.01172521710395813,0.014296796172857285,0.10951966047286987,0.07110442966222763,0.11977503448724747,0.005009690299630165
13,1,3,1,0.333,0.7382142857142858,0.03370102867484093,0.0467880479991436,0.031858570873737335,-0.014929477125406265,0.013087019324302673,0.11977503448724747,0.0701923593878746,0.1125006452202797,0.004977877251803875
14,1,4,0,0.444,0.6985714285714286,0.031858570873737335,0.043801650404930115,0.03258504718542099,-0.011216603219509125,0.01194307953119278,0.1125006452202797,0.0709124431014061,0.11539728194475174,0.0049809617921710014
14,1,4,1,0.444,0.6985714285714286,0.03258504718542099,0.0385921373963356,0.03218052536249161,-0.006411612033843994,0.006007090210914612,0.11539728194475174,0.067866750061512,0.11370474100112915,0.005005785264074802
15,1,5,0,0.555,0.6589285714285714,0.03218052536249161,0.04257985204458237,0.034446947276592255,-0.008132904767990112,0.01039932668209076,0.11370474100112915,0.07623223960399628,0.12285865098237991,0.004976373631507158
15,1,5,1,0.555,0.6589285714285714,0.034446947276592255,0.03653252124786377,0.03134441375732422,-0.005188107490539551,0.002085573971271515,0.12285865098237991,0.06926523894071579,0.11038760095834732,0.004996687173843384
16,1,6,0,0.666,0.6192857142857142,0.03134441375732422,0.03253129869699478,0.031063944101333618,-0.0014673545956611633,0.0011868849396705627,0.11038760095834732,0.06662914156913757,0.10942137241363525,0.0049448017962276936
16,1,6,1,0.666,0.6192857142857142,0.031063944101333618,0.03610352799296379,0.029810700565576553,-0.0062928274273872375,0.005039583891630173,0.10942137241363525,0.062497276812791824,0.10433483123779297,0.004969320259988308
17,1,7,0,0.777,0.5796428571428571,0.029810700565576553,0.030808746814727783,0.03016703948378563,-0.0006417073309421539,0.0009980462491512299,0.10433483123779297,0.05674507096409798,0.10551363974809647,0.005051501095294952
17,1,7,1,0.777,0.5796428571428571,0.03016703948378563,0.027791401371359825,0.030833236873149872,0.0030418355017900467,-0.002375638112425804,0.10551363974809647,0.06268968433141708,0.10839506983757019,0.004979295190423727
18,1,8,0,0.888,0.54,0.030833236873149872,0.025604650378227234,0.02920628897845745,0.003601638600230217,-0.005228586494922638,0.10839506983757019,0.05957139655947685,0.10171612352132797,0.0050363424234092236
18,1,8,1,0.888,0.54,0.02920628897845745,0.027012206614017487,0.029731731861829758,0.002719525247812271,-0.0021940823644399643,0.10171612352132797,0.059930164366960526,0.10389871150255203,0.005009402520954609
19,1,9,0,0.999,0.5003571428571428,0.029731731861829758,0.0237015038728714,0.03007715940475464,0.00637565553188324,-0.006030227988958359,0.10389871150255203,0.059210557490587234,0.10513061285018921,0.005059343297034502
19,1,9,1,0.999,0.5003571428571428,0.03007715940475464,0.02319227159023285,0.028647448867559433,0.005455177277326584,-0.0068848878145217896,0.10513061285018921,0.05708792433142662,0.09945505857467651,0.005044910125434399
20,2,0,0,0.0,0.6666666666666667,0.033574581146240234,0.028746716678142548,0.0353265255689621,0.0065798088908195496,-0.004827864468097687,0.10622408241033554,0.06892869621515274,0.12043557316064835,0.0069568403996527195
20,2,0,1,0.0,0.6666666666666667,0.0353265255689621,0.03353121876716614,0.034624554216861725,0.0010933354496955872,-0.0017953068017959595,0.12043557316064835,0.06815139204263687,0.11772841215133667,0.0069232662208378315
21,2,1,0,0.111,0.6204166666666668,0.034624554216861725,0.028329286724328995,0.03472213074564934,0.006392844021320343,-0.00629526749253273,0.11772841215133667,0.06748614460229874,0.11813100427389145,0.0069191716611385345
21,2,1,1,0.111,0.6204166666666668,0.03472213074564934,0.026585355401039124,0.03412698954343796,0.007541634142398834,-0.008136775344610214,0.11813100427389145,0.06288950890302658,0.115683414041996,0.00694150710478425
22,2,2,0,0.222,0.5741666666666667,0.03412698954343796,0.027621513232588768,0.03587384149432182,0.008252328261733055,-0.00650547631084919,0.115683414041996,0.0730401799082756,0.12266859412193298,0.0069422549568116665
22,2,2,1,0.222,0.5741666666666667,0.03587384149432182,0.02638038620352745,0.03640422970056534,0.010023843497037888,-0.009493455290794373,0.12266859412193298,0.07269711047410965,0.12464123219251633,0.006991895381361246
23,2,3,0,0.333,0.5279166666666668,0.03640422970056534,0.02583738975226879,0.03577641397714615,0.009939024224877357,-0.010566839948296547,0.12464123219251633,0.07401788234710693,0.12200326472520828,0.007034126203507185
23,2,3,1,0.333,0.5279166666666668,0.03577641397714615,0.02641441486775875,0.036541976034641266,0.010127561166882515,-0.009361999109387398,0.12200326472520828,0.07530004531145096,0.12525473535060883,0.006971048191189766
24,2,4,0,0.444,0.48166666666666674,0.036541976034641266,0.02519257366657257,0.03472713381052017,0.009534560143947601,-0.011349402368068695,0.12525473535060883,0.07232736796140671,0.11801560968160629,0.006964309141039848
