frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.06512974947690964,0.01932644098997116,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.2389642745256424,0.007184898015111685
0,0,0,1,0.0,1.0,0.06512974947690964,0.04574131593108177,0.057306431233882904,0.011565115302801132,-0.019388433545827866,0.2389642745256424,0.07242368161678314,0.20757842063903809,0.007215763907879591
1,0,1,0,0.111,0.9722500000000001,0.057306431233882904,0.05402182787656784,0.06774036586284637,0.013718537986278534,-0.0032846033573150635,0.20757842063903809,0.0686507374048233,0.24961595237255096,0.007115174550563097
1,0,1,1,0.111,0.9722500000000001,0.06774036586284637,0.0599576011300087,0.05757763236761093,-0.002379968762397766,-0.007782764732837677,0.24961595237255096,0.09401315450668335,0.2085394710302353,0.007257017772644758
2,0,2,0,0.222,0.9445,0.05757763236761093,0.0438053123652935,0.05441863462328911,0.010613322257995605,-0.013772320002317429,0.2085394710302353,0.07537200301885605,0.19626693427562714,0.007135866209864616
2,0,2,1,0.222,0.9445,0.05441863462328911,0.0722106471657753,0.06686794757843018,-0.005342699587345123,0.01779201254248619,0.19626693427562714,0.08548299223184586,0.2458006590604782,0.007223709486424923
3,0,3,0,0.333,0.9167500000000001,0.06686794757843018,0.057628463953733444,0.061521969735622406,0.003893505781888962,-0.009239483624696732,0.2458006590604782,0.11877147108316422,0.22466902434825897,0.007139610126614571
3,0,3,1,0.333,0.9167500000000001,0.061521969735622406,0.05509331449866295,0.06086527556180954,0.005771961063146591,-0.006428655236959457,0.22466902434825897,0.06591901928186417,0.22206926345825195,0.0071306005120277405
4,0,4,0,0.444,0.889,0.06086527556180954,0.03816331550478935,0.06147001311182976,0.023306697607040405,-0.022701960057020187,0.22206926345825195,0.05688000097870827,0.22412216663360596,0.007252631243318319
4,0,4,1,0.444,0.889,0.06147001311182976,0.15541605651378632,0.06831610202789307,-0.08709995448589325,0.09394604340195656,0.22412216663360596,0.14070779085159302,0.2517586648464203,0.007168584503233433
5,0,5,0,0.555,0.86125,0.06831610202789307,0.04741343855857849,0.061948012560606,0.014534574002027512,-0.020902663469314575,0.2517586648464203,0.07114074379205704,0.22611002624034882,0.007227337919175625
5,0,5,1,0.555,0.86125,0.061948012560606,0.06032850965857506,0.07391871511936188,0.01359020546078682,-0.0016195029020309448,0.22611002624034882,0.07561901956796646,0.2740161120891571,0.007219577673822641
6,0,6,0,0.666,0.8335,0.07391871511936188,0.047214433550834656,0.06421153247356415,0.016997098922729492,-0.02670428156852722,0.2740161120891571,0.08040545135736465,0.23522359132766724,0.007207510992884636
6,0,6,1,0.666,0.8335,0.06421153247356415,0.06394433975219727,0.06683170050382614,0.0028873607516288757,-0.0002671927213668823,0.23522359132766724,0.09246832132339478,0.24572797119617462,0.007199600338935852
7,0,7,0,0.777,0.80575,0.06683170050382614,0.06620075553655624,0.06602271646261215,-0.0001780390739440918,-0.0006309449672698975,0.24572797119617462,0.08567430824041367,0.2426859736442566,0.00713495584204793
