frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.04858997464179993,0.00278666615486145,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.173171266913414,0.007062885444611311
0,0,0,1,0.0,1.0,0.04858997464179993,0.04574131593108177,0.048556022346019745,0.002814706414937973,-0.002848658710718155,0.173171266913414,0.07242368161678314,0.17303423583507538,0.007063289638608694
1,0,1,0,0.111,0.9722500000000001,0.048556022346019745,0.05415165424346924,0.048684488981962204,-0.005467165261507034,0.005595631897449493,0.17303423583507538,0.0686609297990799,0.17354778945446014,0.00706340279430151
1,0,1,1,0.111,0.9722500000000001,0.048684488981962204,0.059652458876371384,0.04871773719787598,-0.010934721678495407,0.01096796989440918,0.17354778945446014,0.09322881698608398,0.1736830621957779,0.007062618155032396
2,0,2,0,0.222,0.9445,0.04871773719787598,0.044095151126384735,0.050116561353206635,0.006021410226821899,-0.0046225860714912415,0.1736830621957779,0.07687968760728836,0.17927412688732147,0.007064031902700663
2,0,2,1,0.222,0.9445,0.050116561353206635,0.07203593105077744,0.05043114721775055,-0.021604783833026886,0.0219193696975708,0.17927412688732147,0.08557692915201187,0.18053877353668213,0.007061934098601341
3,0,3,0,0.333,0.9167500000000001,0.05043114721775055,0.056194644421339035,0.05073285102844238,-0.005461793392896652,0.005763497203588486,0.18053877353668213,0.11408279091119766,0.1817399263381958,0.007063820958137512
3,0,3,1,0.333,0.9167500000000001,0.05073285102844238,0.05506034195423126,0.04717656224966049,-0.00788377970457077,0.004327490925788879,0.1817399263381958,0.06576137244701385,0.16750435531139374,0.007067298516631126
4,0,4,0,0.444,0.889,0.04717656224966049,0.03798256814479828,0.04920420050621033,0.011221632361412048,-0.009193994104862213,0.16750435531139374,0.05587593838572502,0.17561845481395721,0.007066115736961365
4,0,4,1,0.444,0.889,0.04920420050621033,0.1544877141714096,0.054728537797927856,-0.09975917637348175,0.10528351366519928,0.17561845481395721,0.1349509209394455,0.1976981908082962,0.007071993313729763
5,0,5,0,0.555,0.86125,0.054728537797927856,0.04802118241786957,0.05249589681625366,0.004474714398384094,-0.006707355380058289,0.1976981908082962,0.07247688621282578,0.18877898156642914,0.007068192586302757
5,0,5,1,0.555,0.86125,0.05249589681625366,0.06086847931146622,0.05245288461446762,-0.008415594696998596,0.008372582495212555,0.18877898156642914,0.0758887454867363,0.18861891329288483,0.007064195349812508
6,0,6,0,0.666,0.8335,0.05245288461446762,0.04745832830667496,0.04824000597000122,0.0007816776633262634,-0.004994556307792664,0.18861891329288483,0.0818365290760994,0.17174629867076874,0.007071245927363634
6,0,6,1,0.666,0.8335,0.04824000597000122,0.06637202948331833,0.04704543948173523,-0.0193265900015831,0.018132023513317108,0.17174629867076874,0.09875756502151489,0.16697008907794952,0.007070546504110098
7,0,7,0,0.777,0.80575,0.04704543948173523,0.0635148212313652,0.04873879998922348,-0.014776021242141724,0.016469381749629974,0.16697008907794952,0.0795646533370018,0.17375880479812622,0.007065461948513985
7,0,7,1,0.777,0.80575,0.04873879998922348,0.04128658398985863,0.04682637006044388,0.005539786070585251,-0.007452215999364853,0.17375880479812622,0.06030470132827759,0.16611097753047943,0.007064831908792257
8,0,8,0,0.888,0.778,0.04682637006044388,0.056056708097457886,0.05949903652071953,0.0034423284232616425,0.009230338037014008,0.16611097753047943,0.08972183614969254,0.2167876958847046,0.007069481536746025
8,0,8,1,0.888,0.778,0.05949903652071953,0.05816563963890076,0.04752175509929657,-0.010643884539604187,-0.0013333968818187714,0.2167876958847046,0.06388792395591736,0.16887915134429932,0.007069284562021494
9,0,9,0,0.999,0.75025,0.04752175509929657,0.04654664546251297,0.05207815393805504,0.0055315084755420685,-0.0009751096367835999,0.16887915134429932,0.06457553803920746,0.18711698055267334,0.007065215148031712
9,0,9,1,0.999,0.75025,0.05207815393805504,0.050148993730545044,0.05170092731714249,0.0015519335865974426,-0.0019291602075099945,0.18711698055267334,0.06377235800027847,0.1855940818786621,0.007069872692227364
10,1,0,0,0.0,0.8571428571428572,0.05918198078870773,0.045391201972961426,0.0224025696516037,-0.022988632321357727,-0.013790778815746307,0.194562628865242,0.0670192763209343,0.07957872003316879,0.0033438520040363073
10,1,0,1,0.0,0.8571428571428572,0.0224025696516037,0.055614423006772995,0.020808368921279907,-0.03480605408549309,0.033211853355169296,0.07957872003316879,0.07903793454170227,0.07320586591959,0.00334253441542387
11,1,1,0,0.111,0.8175000000000001,0.020808368921279907,0.04691310226917267,0.020959854125976562,-0.025953248143196106,0.02610473334789276,0.07320586591959,0.07458338886499405,0.07380062341690063,0.003346261801198125
11,1,1,1,0.111,0.8175000000000001,0.020959854125976562,0.06069236248731613,0.0239089485257864,-0.03678341396152973,0.03973250836133957,0.07380062341690063,0.09125896543264389,0.08560290932655334,0.0033442957792431116
12,1,2,0,0.222,0.7778571428571429,0.0239089485257864,0.04618360847234726,0.021122997626662254,-0.025060610845685005,0.02227465994656086,0.08560290932655334,0.07161521166563034,0.07445540279150009,0.0033455307129770517
12,1,2,1,0.222,0.7778571428571429,0.021122997626662254,0.04155352711677551,0.019953882321715355,-0.021599644795060158,0.02043052949011326,0.07445540279150009,0.06151317432522774,0.06977914273738861,0.00334545923396945
13,1,3,0,0.333,0.7382142857142858,0.019953882321715355,0.04492081329226494,0.02013177052140236,-0.02478904277086258,0.024966930970549583,0.06977914273738861,0.06722358614206314,0.07048489898443222,0.0033473942894488573
13,1,3,1,0.333,0.7382142857142858,0.02013177052140236,0.045893263071775436,0.021003365516662598,-0.02488989755511284,0.025761492550373077,0.07048489898443222,0.0682397112250328,0.07397236675024033,0.003347031306475401
14,1,4,0,0.444,0.6985714285714286,0.021003365516662598,0.042787741869688034,0.02172677591443062,-0.021060965955257416,0.021784376353025436,0.07397236675024033,0.0683712363243103,0.07686413079500198,0.0033476531971246004
14,1,4,1,0.444,0.6985714285714286,0.02172677591443062,0.037530794739723206,0.0219500120729208,-0.015580782666802406,0.015804018825292587,0.07686413079500198,0.06627605110406876,0.07772987335920334,0.003356726374477148
15,1,5,0,0.555,0.6589285714285714,0.0219500120729208,0.042941611260175705,0.024157855659723282,-0.018783755600452423,0.020991599187254906,0.07772987335920334,0.07718165963888168,0.08656301349401474,0.0033561347518116236
15,1,5,1,0.555,0.6589285714285714,0.024157855659723282,0.03542651981115341,0.020844291895627975,-0.014582227915525436,0.01126866415143013,0.08656301349401474,0.06755279004573822,0.07328230142593384,0.0033649529796093702
16,1,6,0,0.666,0.6192857142857142,0.020844291895627975,0.035155363380908966,0.02202671766281128,-0.013128645718097687,0.01431107148528099,0.07328230142593384,0.07583954930305481,0.07798587530851364,0.0033736671321094036
16,1,6,1,0.666,0.6192857142857142,0.02202671766281128,0.0349215567111969,0.020133640617132187,-0.014787916094064713,0.01289483904838562,0.07798587530851364,0.07066766172647476,0.07044664025306702,0.0033626402728259563
17,1,7,0,0.777,0.5796428571428571,0.020133640617132187,0.03722633048892021,0.0251369159668684,-0.012089414522051811,0.017092689871788025,0.07044664025306702,0.08260610699653625,0.09035506099462509,0.0033975359983742237
17,1,7,1,0.777,0.5796428571428571,0.0251369159668684,0.033072613179683685,0.02565920352935791,-0.007413409650325775,0.007935697212815285,0.09035506099462509,0.08554115146398544,0.09244904667139053,0.003395920852199197
18,1,8,0,0.888,0.54,0.02565920352935791,0.03298889100551605,0.026197366416454315,-0.006791524589061737,0.007329687476158142,0.09244904667139053,0.09357617050409317,0.09444066882133484,0.00344959762878716
18,1,8,1,0.888,0.54,0.026197366416454315,0.0349637046456337,0.02845580503344536,-0.006507899612188339,0.008766338229179382,0.09444066882133484,0.09537199139595032,0.10357937961816788,0.003414613427594304
19,1,9,0,0.999,0.5003571428571428,0.02845580503344536,0.03221207484602928,0.028257302939891815,-0.003954771906137466,0.0037562698125839233,0.10357937961816788,0.09627819061279297,0.10242611169815063,0.003534366376698017
19,1,9,1,0.999,0.5003571428571428,0.028257302939891815,0.02910861000418663,0.024057580158114433,-0.005051029846072197,0.0008513070642948151,0.10242611169815063,0.08088231086730957,0.0858910083770752,0.0034464369527995586
20,2,0,0,0.0,0.6666666666666667,0.028984706848859787,0.03524107486009598,0.025104163214564323,-0.010136911645531654,0.006256368011236191,0.09266003221273422,0.0981595516204834,0.09488926082849503,0.001842461759224534
20,2,0,1,0.0,0.6666666666666667,0.025104163214564323,0.040918219834566116,0.02458004653453827,-0.016338173300027847,0.015814056620001793,0.09488926082849503,0.10025271773338318,0.0929725170135498,0.0017825545510277152
20,2,0,2,0.0,0.6666666666666667,0.02458004653453827,0.03846420347690582,0.02562745474278927,-0.012836748734116554,0.013884156942367554,0.0929725170135498,0.09712088853120804,0.09715639799833298,0.0017844712128862739
