frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.048590000718832016,0.0027866922318935394,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.17317132651805878,0.007062885444611311
0,0,0,1,0.0,1.0,0.048590000718832016,0.04574131593108177,0.048556044697761536,0.002814728766679764,-0.002848684787750244,0.17317132651805878,0.07242368906736374,0.17303432524204254,0.007063287775963545
0,0,0,2,0.0,1.0,0.048556044697761536,0.04561784863471985,0.04853503406047821,0.002917185425758362,-0.002938196063041687,0.17303432524204254,0.071952223777771,0.17295020818710327,0.007063313387334347
0,0,0,3,0.0,1.0,0.04853503406047821,0.04582003504037857,0.04853074997663498,0.0027107149362564087,-0.00271499902009964,0.17295020818710327,0.07269427925348282,0.17293472588062286,0.007062749937176704
0,0,0,4,0.0,1.0,0.04853074997663498,0.045896515250205994,0.04852299019694328,0.0026264749467372894,-0.0026342347264289856,0.17293472588062286,0.07303475588560104,0.17290323972702026,0.007062904536724091
1,0,1,0,0.111,0.9722500000000001,0.04852299019694328,0.05744703859090805,0.049586545675992966,-0.007860492914915085,0.008924048393964767,0.17290323972702026,0.07801765203475952,0.17715972661972046,0.007062145508825779
1,0,1,1,0.111,0.9722500000000001,0.049586545675992966,0.048661522567272186,0.04933778569102287,0.0006762631237506866,-0.0009250231087207794,0.17715972661972046,0.08911094069480896,0.17616188526153564,0.007063082419335842
1,0,1,2,0.111,0.9722500000000001,0.04933778569102287,0.049364469945430756,0.047468747943639755,-0.0018957220017910004,2.668425440788269e-05,0.17616188526153564,0.0693977102637291,0.16868163645267487,0.007064448669552803
1,0,1,3,0.111,0.9722500000000001,0.047468747943639755,0.04135134443640709,0.04807807132601738,0.0067267268896102905,-0.006117403507232666,0.16868163645267487,0.06578906625509262,0.17112071812152863,0.0070638456381857395
1,0,1,4,0.111,0.9722500000000001,0.04807807132601738,0.07586997747421265,0.05033896118402481,-0.025531016290187836,0.027791906148195267,0.17112071812152863,0.07941310107707977,0.18015463650226593,0.007067056372761726
2,0,2,0,0.222,0.9445,0.05033896118402481,0.048359647393226624,0.05008804798126221,0.0017284005880355835,-0.0019793137907981873,0.18015463650226593,0.07337715476751328,0.1791553497314453,0.007065618876367807
2,0,2,1,0.222,0.9445,0.05008804798126221,0.05761968716979027,0.04989638552069664,-0.007723301649093628,0.007531639188528061,0.1791553497314453,0.06938310712575912,0.17839813232421875,0.007062468212097883
