sit,hole_seed42,hole_seed43,hole_seed44,hole_seed45,hole_mean4,hole_std4,obs,spread,cg_bad_max,secs
2,0.1014,0.0701,0.0891,0.0691,0.0824,0.0136,0.0011,0.1112,0,213
1,0.1083,0.1022,0.0701,0.1490,0.1074,0.0281,0.0012,0.1470,0,115
2-2-5-5,0.0788,0.0655,0.0896,0.1078,0.0854,0.0155,0.0010,0.1155,0,465
5,0.1555,0.1008,0.0936,0.0836,0.1084,0.0279,0.0010,0.1588,0,526
2-2-10-10,0.0968,0.0731,0.0732,0.1047,0.0870,0.0141,0.0010,0.1215,0,880
10,0.1170,0.1159,0.0892,0.1308,0.1132,0.0151,0.0010,0.1112,0,1022
5-5-2-2,0.1338,0.0837,0.0719,0.0829,0.0931,0.0240,0.0011,0.1362,0,120
5-5-2-1,0.1348,0.0851,0.0727,0.0825,0.0938,0.0241,0.0012,0.1371,0,90
5-5-1-1,0.1346,0.0812,0.0830,0.0887,0.0969,0.0219,0.0012,0.1221,0,82
10-5-2-1,0.1871,0.0984,0.0984,0.1203,0.1260,0.0364,0.0012,0.1585,0,102
5-2-1-1,0.0843,0.0956,0.1340,0.0834,0.0993,0.0206,0.0012,0.1355,0,69
2-2-1-1,0.0852,0.0674,0.0919,0.0805,0.0813,0.0088,0.0013,,0,root-run
3,0.1749,0.0893,0.1163,0.1078,0.1221,0.0320,0.0010,0.1260,0,144
4,0.1170,0.0966,0.1355,0.1745,0.1309,0.0287,0.0010,0.1640,0,189
