frame,stage,step,inner,tau,sigma_tau,mse_x1_in,mse_x1_hat,mse_x1_out,block1_delta,endpoint_delta,hole_x1_in,hole_x1_hat,hole_x1_out,obs_x1_out
0,0,0,0,0.0,1.0,0.040345095098018646,0.04580330848693848,0.06512953341007233,0.01932622492313385,0.00545821338891983,0.05792127177119255,0.07246092706918716,0.23896341025829315,0.007184898015111685
0,0,0,1,0.0,1.0,0.06512953341007233,0.0456247553229332,0.05727096647024155,0.01164621114730835,-0.01950477808713913,0.23896341025829315,0.07253795117139816,0.20743899047374725,0.0072149550542235374
1,0,1,0,0.111,0.9722500000000001,0.05727096647024155,0.05201096087694168,0.07021626830101013,0.01820530742406845,-0.005260005593299866,0.20743899047374725,0.08694789558649063,0.25951918959617615,0.007115297019481659
1,0,1,1,0.111,0.9722500000000001,0.07021626830101013,0.04634271189570427,0.05722452327609062,0.010881811380386353,-0.023873556405305862,0.25951918959617615,0.07372834533452988,0.20712454617023468,0.007257839199155569
2,0,2,0,0.222,0.9445,0.05722452327609062,0.047844141721725464,0.05447107553482056,0.006626933813095093,-0.009380381554365158,0.20712454617023468,0.06575582176446915,0.1964779645204544,0.0071354457177221775
2,0,2,1,0.222,0.9445,0.05447107553482056,0.07402306795120239,0.06231343746185303,-0.011709630489349365,0.019551992416381836,0.1964779645204544,0.09026937931776047,0.22756755352020264,0.007228730246424675
3,0,3,0,0.333,0.9167500000000001,0.06231343746185303,0.0575655996799469,0.059353165328502655,0.0017875656485557556,-0.004747837781906128,0.22756755352020264,0.08080749958753586,0.21599292755126953,0.007139902096241713
3,0,3,1,0.333,0.9167500000000001,0.059353165328502655,0.06598903983831406,0.06576909869909286,-0.0002199411392211914,0.006635874509811401,0.21599292755126953,0.09730855375528336,0.24169392883777618,0.007127485238015652
4,0,4,0,0.444,0.889,0.06576909869909286,0.08128044009208679,0.06733103841543198,-0.013949401676654816,0.015511341392993927,0.24169392883777618,0.0727391317486763,0.24756687879562378,0.007252424024045467
4,0,4,1,0.444,0.889,0.06733103841543198,0.04253828153014183,0.06977172195911407,0.027233440428972244,-0.024792756885290146,0.24756687879562378,0.06849630922079086,0.2576092481613159,0.00715921726077795
