stage,step,tau,sigma_tau,s2,gamma2,mse_x1,meas_resid,x0_rms,blk1_cg_iters,blk1_cg_resid,blk1_cg_converged,mse_hole,mse_obs,frame,mse_full,psnr_full,x0_sq_over_n,hole_full,obs_full
0,0,0.0,1.0,0.24318520724773407,0.009970428422093391,0.05727096647024155,1.9361698627471924,1.0081982612609863,85,9.925096492224839e-06,1,0.20743899047374725,0.0072149550542235374,0,0.07300469279289246,17.38709213556099,1.0164637565612793,0.22869336605072021,0.021108461543917656
0,1,0.111,0.9722500000000001,0.24318520724773407,0.010642001405358315,0.05722452327609062,1.9361237287521362,1.005107045173645,78,9.482404493610375e-06,1,0.20712454617023468,0.007257839199155569,1,0.07295824587345123,17.389856075733732,1.010240077972412,0.22837896645069122,0.02115134336054325
0,2,0.222,0.9445,0.24318520724773407,0.01062399335205555,0.06231343746185303,1.9363402128219604,0.9922354817390442,79,9.916007911670022e-06,1,0.22756755352020264,0.007228730246424675,2,0.07804716378450394,17.09702865801659,0.9845312833786011,0.2488219290971756,0.02112223580479622
0,3,0.333,0.9167500000000001,0.24318520724773407,0.009873627685010433,0.06576909869909286,1.9363651275634766,0.9956084489822388,77,9.75943748926511e-06,1,0.24169392883777618,0.007127485238015652,3,0.08150282502174377,16.908873289672336,0.9912362098693848,0.26294830441474915,0.02102098986506462
0,4,0.444,0.889,0.24318520724773407,0.009073696099221706,0.06977172195911407,1.9363503456115723,0.9785376787185669,79,9.707242497825064e-06,1,0.2576092481613159,0.00715921726077795,4,0.08550544828176498,16.70066203110659,0.957535982131958,0.2788636088371277,0.02105272188782692
0,5,0.555,0.86125,0.24318520724773407,0.008365506306290627,0.07257791608572006,1.9362605810165405,1.0209046602249146,77,9.915895134327002e-06,1,0.2686305344104767,0.007227028254419565,5,0.08831163495779037,16.560420661752232,1.0422463417053223,0.28988492488861084,0.021120533347129822
0,6,0.666,0.8335,0.24318520724773407,0.007804953958839178,0.06726104021072388,1.9362584352493286,1.0091794729232788,77,9.793231583898887e-06,1,0.24745090305805206,0.007197744213044643,6,0.08299475908279419,16.83009322726421,1.0184431076049805,0.268705278635025,0.021091248840093613
0,7,0.777,0.80575,0.24318520724773407,0.0074211894534528255,0.05810495838522911,1.9361602067947388,1.0010687112808228,75,9.333118214271963e-06,1,0.2108033299446106,0.0072055053897202015,7,0.07383868098258972,17.33776061261072,1.002138614654541,0.23205769062042236,0.021099010482430458
0,8,0.888,0.778,0.24318520724773407,0.00719289667904377,0.06825737655162811,1.9363133907318115,1.0227783918380737,75,9.193162441079039e-06,1,0.2516932785511017,0.0071120657958090305,8,0.08399109542369843,16.778267459010955,1.046075701713562,0.2729476988315582,0.021005570888519287
0,9,0.999,0.75025,0.24318520724773407,0.007022725883871317,0.061191242188215256,1.9362133741378784,1.0158244371414185,74,9.826206223806366e-06,1,0.22338609397411346,0.007126288954168558,9,0.07692496478557587,17.159926852181325,1.0318992137908936,0.24464045464992523,0.021019794046878815
1,0,0.0,0.8571428571428572,0.25738808512687683,0.013227979652583599,0.037613581866025925,1.4898184537887573,0.9953248500823975,170,9.972983207262587e-06,1,0.1391891986131668,0.003755036275833845,10,0.04586625099182129,19.405667480371505,0.9906715750694275,0.15147502720355988,0.010663322173058987
1,1,0.111,0.8175000000000001,0.25738808512687683,0.012689127586781979,0.05357130616903305,1.4894589185714722,1.0025640726089478,160,9.834393495111726e-06,1,0.20290933549404144,0.0037919688038527966,11,0.06182397902011871,18.109030383057853,1.0051348209381104,0.21519513428211212,0.010700255632400513
1,2,0.222,0.7778571428571429,0.25738808512687683,0.012317526154220104,0.0499483123421669,1.4900057315826416,0.9926850199699402,145,9.78636944637401e-06,1,0.18843968212604523,0.0037845191545784473,12,0.058200985193252563,18.37129655125293,0.9854235053062439,0.2007255107164383,0.010692805983126163
1,3,0.333,0.7382142857142858,0.25738808512687683,0.012009454891085625,0.0593375526368618,1.4900349378585815,1.0015655755996704,123,9.944928933691699e-06,1,0.22598545253276825,0.003788256086409092,13,0.06759022921323776,17.721760720944772,1.0031335353851318,0.23827128112316132,0.01069654244929552
1,4,0.444,0.6985714285714286,0.25738808512687683,0.011795909143984318,0.03472869470715523,1.489703893661499,1.0072476863861084,117,9.866904292721301e-06,1,0.1276148408651352,0.0037666456773877144,14,0.04298136755824089,19.687797618023883,1.0145478248596191,0.13990066945552826,0.010674932040274143
1,5,0.555,0.6589285714285714,0.25738808512687683,0.011530348099768162,0.0390591099858284,1.4901269674301147,1.0021144151687622,96,9.903546015266329e-06,1,0.14483670890331268,0.003799908794462681,15,0.047311779111623764,19.27090711767387,1.0042333602905273,0.15712253749370575,0.010708194226026535
1,6,0.666,0.6192857142857142,0.25738808512687683,0.011259624734520912,0.04256571829319,1.4899636507034302,0.9894556403160095,85,9.559569662087597e-06,1,0.1588849276304245,0.0037926500663161278,16,0.050818391144275665,18.96039079693176,0.9790225028991699,0.17117075622081757,0.010700936429202557
1,7,0.777,0.5796428571428571,0.25738808512687683,0.010943361558020115,0.04064355045557022,1.4897946119308472,1.0066651105880737,82,9.673438398749568e-06,1,0.15092425048351288,0.00388331594876945,17,0.048896223306655884,19.127846753622382,1.0133745670318604,0.16321007907390594,0.010791603475809097
