task,image,trw,pre_mse,post_mse,meas_resid,post_hole,post_obs,stage0_hole,stage1_hole,stage2_hole,stage3_hole
box_inpainting,breastplate_armor,0.0,0.06107808277010918,0.06107808277010918,0.995452880859375,0.22962655127048492,0.004895257297903299,0.18096911907196045,0.19436223804950714,0.22987157106399536,0.22962655127048492
box_inpainting,crane_structure,0.0,0.07988087832927704,0.07988087832927704,0.9935899376869202,0.30481892824172974,0.004901526030153036,0.3178456127643585,0.30087172985076904,0.3196304440498352,0.30481892824172974
box_inpainting,ibex_horns,0.0,0.08197034895420074,0.08197034895420074,0.9950739145278931,0.31320396065711975,0.0048924717120826244,0.3350783586502075,0.3166966438293457,0.32547807693481445,0.31320396065711975
box_inpainting,junco,0.0,0.0757203921675682,0.0757203921675682,0.9938223958015442,0.2882431447505951,0.004879476502537727,0.22649209201335907,0.2180141806602478,0.3137247860431671,0.2882431447505951
box_inpainting,lakeside_beach,0.0,0.04949932545423508,0.04949932545423508,0.9933059215545654,0.18332594633102417,0.0048904456198215485,0.15469391644001007,0.1823129802942276,0.20735466480255127,0.18332594633102417
box_inpainting,sea_anemone,0.0,0.09781865775585175,0.09781865775585175,0.9938695430755615,0.3766334056854248,0.0048804134130477905,0.2553705871105194,0.3380674123764038,0.4063638150691986,0.3766334056854248
box_inpainting,shetland_sheepdog,0.0,0.07144662737846375,0.07144662737846375,0.9948702454566956,0.2711533308029175,0.00487772049382329,0.3191859722137451,0.25333845615386963,0.2759401798248291,0.2711533308029175
random_inpainting,breastplate_armor,0.0,0.12034784257411957,0.12034784257411957,1.0011510848999023,0.1692376285791397,0.004927776288241148,0.005617823917418718,0.014585782773792744,0.11630599945783615,0.1692376285791397
random_inpainting,crane_structure,0.0,0.1258772313594818,0.1258772313594818,1.0011996030807495,0.17791853845119476,0.004924369510263205,0.022431697696447372,0.061185095459222794,0.2118527889251709,0.17791853845119476
random_inpainting,ibex_horns,0.0,0.1318325400352478,0.1318325400352478,0.9984369874000549,0.18684281408786774,0.004893078003078699,0.028828894719481468,0.03655967488884926,0.15587157011032104,0.18684281408786774
random_inpainting,junco,0.0,0.11671679466962814,0.11671679466962814,0.9977388978004456,0.1646927446126938,0.004904580302536488,0.009569603018462658,0.01227192860096693,0.07293233275413513,0.1646927446126938
random_inpainting,lakeside_beach,0.0,0.11436723917722702,0.11436723917722702,0.9981133937835693,0.16100291907787323,0.004925090819597244,0.002595494268462062,0.008133091032505035,0.07120451331138611,0.16100291907787323
random_inpainting,sea_anemone,0.0,0.12003891170024872,0.12003891170024872,0.9989938735961914,0.16871671378612518,0.0048841009847819805,0.006778421811759472,0.013135246932506561,0.09468477964401245,0.16871671378612518
random_inpainting,shetland_sheepdog,0.0,0.11702882498502731,0.11702882498502731,0.9989434480667114,0.165848508477211,0.004894355311989784,0.0076491814106702805,0.009945794939994812,0.06623897701501846,0.165848508477211
gaussian_blur,breastplate_armor,0.0,0.16576290130615234,0.16576290130615234,0.9928395748138428,,,,,,
gaussian_blur,crane_structure,0.0,0.18135516345500946,0.18135516345500946,0.9937421083450317,,,,,,
gaussian_blur,ibex_horns,0.0,0.17677715420722961,0.17677715420722961,0.9942000508308411,,,,,,
gaussian_blur,junco,0.0,0.15878154337406158,0.15878154337406158,0.9926389455795288,,,,,,
gaussian_blur,lakeside_beach,0.0,0.1590326726436615,0.1590326726436615,0.9922923445701599,,,,,,
gaussian_blur,sea_anemone,0.0,0.1606685221195221,0.1606685221195221,0.992733895778656,,,,,,
gaussian_blur,shetland_sheepdog,0.0,0.157304048538208,0.157304048538208,0.9932092428207397,,,,,,
motion_blur,breastplate_armor,0.0,0.16028869152069092,0.16028869152069092,0.9777851104736328,,,,,,
motion_blur,crane_structure,0.0,0.16997581720352173,0.16997581720352173,0.9794222116470337,,,,,,
motion_blur,ibex_horns,0.0,0.17433921992778778,0.17433921992778778,0.9798337817192078,,,,,,
motion_blur,junco,0.0,0.1552179753780365,0.1552179753780365,0.976177453994751,,,,,,
motion_blur,lakeside_beach,0.0,0.1558610200881958,0.1558610200881958,0.9744783639907837,,,,,,
motion_blur,sea_anemone,0.0,0.157250314950943,0.157250314950943,0.9771254062652588,,,,,,
motion_blur,shetland_sheepdog,0.0,0.15570485591888428,0.15570485591888428,0.9765509963035583,,,,,,
superresolution,breastplate_armor,0.0,0.16431400179862976,0.16431400179862976,0.9192648530006409,,,,,,
superresolution,crane_structure,0.0,0.1755506694316864,0.1755506694316864,0.9222785234451294,,,,,,
superresolution,ibex_horns,0.0,0.17550808191299438,0.17550808191299438,0.9448822736740112,,,,,,
superresolution,junco,0.0,0.15743151307106018,0.15743151307106018,0.9117631912231445,,,,,,
superresolution,lakeside_beach,0.0,0.15820899605751038,0.15820899605751038,0.9017779231071472,,,,,,
superresolution,sea_anemone,0.0,0.15930238366127014,0.15930238366127014,0.921057939529419,,,,,,
superresolution,shetland_sheepdog,0.0,0.15617531538009644,0.15617531538009644,0.9263536930084229,,,,,,
