stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,x0_steps,gamma2_scale,mse_hole,mse_obs
0,0,0.0,1.0,0.042738597840070724,"K=1,g2x1",0.1,0.0,1,1.0,0.1475297510623932,0.007808216847479343
0,1,0.111,0.9722500000000001,0.04848068207502365,"K=1,g2x1",0.1,0.0,1,1.0,0.1705123335123062,0.007803464774042368
0,2,0.222,0.9445,0.05375883728265762,"K=1,g2x1",0.1,0.0,1,1.0,0.19165463745594025,0.007793564815074205
0,3,0.333,0.9167500000000001,0.0865442305803299,"K=1,g2x1",0.1,0.0,1,1.0,0.3229890763759613,0.007729267235845327
0,4,0.444,0.889,0.16617169976234436,"K=1,g2x1",0.1,0.0,1,1.0,0.6414432525634766,0.007747840601950884
0,5,0.555,0.86125,0.36412137746810913,"K=1,g2x1",0.1,0.0,1,1.0,1.432918667793274,0.007855603471398354
0,6,0.666,0.8335,0.6791939735412598,"K=1,g2x1",0.1,0.0,1,1.0,2.6932475566864014,0.007842802442610264
0,7,0.777,0.80575,1.1261141300201416,"K=1,g2x1",0.1,0.0,1,1.0,4.481098651885986,0.007785762194544077
0,8,0.888,0.778,1.3809137344360352,"K=1,g2x1",0.1,0.0,1,1.0,5.5001068115234375,0.007849115878343582
0,9,0.999,0.75025,1.4538121223449707,"K=1,g2x1",0.1,0.0,1,1.0,5.791736602783203,0.007837544195353985
1,0,0.0,0.8571428571428572,3.039172649383545,"K=1,g2x1",0.1,0.0,1,1.0,12.140978813171387,0.005236528813838959
1,1,0.111,0.8175000000000001,2.7471683025360107,"K=1,g2x1",0.1,0.0,1,1.0,10.973251342773438,0.005140034016221762
1,2,0.222,0.7778571428571429,2.2464327812194824,"K=1,g2x1",0.1,0.0,1,1.0,8.970279693603516,0.005150663200765848
1,3,0.333,0.7382142857142858,1.7468082904815674,"K=1,g2x1",0.1,0.0,1,1.0,6.97144079208374,0.005264137871563435
1,4,0.444,0.6985714285714286,1.4422836303710938,"K=1,g2x1",0.1,0.0,1,1.0,5.753437519073486,0.005232376046478748
1,5,0.555,0.6589285714285714,1.3060702085494995,"K=1,g2x1",0.1,0.0,1,1.0,5.208401203155518,0.005293184891343117
1,6,0.666,0.6192857142857142,1.1150562763214111,"K=1,g2x1",0.1,0.0,1,1.0,4.444679260253906,0.005181976594030857
1,7,0.777,0.5796428571428571,0.9170452356338501,"K=1,g2x1",0.1,0.0,1,1.0,3.652236223220825,0.005314783658832312
1,8,0.888,0.54,0.7473537921905518,"K=1,g2x1",0.1,0.0,1,1.0,2.97369647026062,0.005239647813141346
1,9,0.999,0.5003571428571428,0.6248539686203003,"K=1,g2x1",0.1,0.0,1,1.0,2.4837660789489746,0.005216636229306459
2,0,0.0,0.6666666666666667,0.9240700602531433,"K=1,g2x1",0.1,0.0,1,1.0,3.677635908126831,0.006214713212102652
2,1,0.111,0.6204166666666668,1.8896887302398682,"K=1,g2x1",0.1,0.0,1,1.0,7.540041446685791,0.0062376284040510654
2,2,0.222,0.5741666666666667,2.791015625,"K=1,g2x1",0.1,0.0,1,1.0,11.14498519897461,0.006359368097037077
2,3,0.333,0.5279166666666668,2.11279034614563,"K=1,g2x1",0.1,0.0,1,1.0,8.432507514953613,0.006218112539499998
2,4,0.444,0.48166666666666674,1.446610689163208,"K=1,g2x1",0.1,0.0,1,1.0,5.767854690551758,0.006195841822773218
2,5,0.555,0.4354166666666667,0.92909836769104,"K=1,g2x1",0.1,0.0,1,1.0,3.697816848754883,0.006192208267748356
2,6,0.666,0.38916666666666666,0.6270842552185059,"K=1,g2x1",0.1,0.0,1,1.0,2.489858865737915,0.006159396842122078
2,7,0.777,0.34291666666666665,0.4425743520259857,"K=1,g2x1",0.1,0.0,1,1.0,1.751944661140442,0.006117560900747776
2,8,0.888,0.2966666666666667,0.33512747287750244,"K=1,g2x1",0.1,0.0,1,1.0,1.3221205472946167,0.006129794288426638
2,9,0.999,0.2504166666666667,0.2671631872653961,"K=1,g2x1",0.1,0.0,1,1.0,1.0503320693969727,0.006106847897171974
3,0,0.0,0.3999999999999999,0.45059913396835327,"K=1,g2x1",0.1,0.0,1,1.0,1.7949304580688477,0.002488671103492379
3,1,0.111,0.3555999999999999,0.38733452558517456,"K=1,g2x1",0.1,0.0,1,1.0,1.541868805885315,0.002489696955308318
3,2,0.222,0.3111999999999999,0.3370911777019501,"K=1,g2x1",0.1,0.0,1,1.0,1.3408435583114624,0.0025071033742278814
3,3,0.333,0.2668,0.29852211475372314,"K=1,g2x1",0.1,0.0,1,1.0,1.1866329908370972,0.002485158620402217
3,4,0.444,0.22239999999999996,0.27426040172576904,"K=1,g2x1",0.1,0.0,1,1.0,1.0896509885787964,0.002463553799316287
3,5,0.555,0.17799999999999994,0.25737759470939636,"K=1,g2x1",0.1,0.0,1,1.0,1.0221940279006958,0.0024387873709201813
3,6,0.666,0.13359999999999997,0.2491297572851181,"K=1,g2x1",0.1,0.0,1,1.0,0.9893843531608582,0.002378198318183422
3,7,0.777,0.08919999999999997,0.24482905864715576,"K=1,g2x1",0.1,0.0,1,1.0,0.9725127816200256,0.0022677890956401825
3,8,0.888,0.044799999999999986,0.24365322291851044,"K=1,g2x1",0.1,0.0,1,1.0,0.9691236615180969,0.0018296907655894756
3,9,0.999,0.0004000000000000003,0.24365322291851044,"K=1,g2x1",0.1,0.0,1,1.0,0.9691236615180969,0.0018296907655894756
