stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,mse_hole,mse_obs
0,0,0.0,1.0,0.07496579736471176,anchor=0.0,0.1,0.0,0.2873780429363251,0.004161708988249302
0,1,0.111,0.9722500000000001,0.07521063089370728,anchor=0.0,0.1,0.0,0.28826186060905457,0.004193550907075405
0,2,0.222,0.9445,0.07541253417730331,anchor=0.0,0.1,0.0,0.2891574800014496,0.0041642021387815475
0,3,0.333,0.9167500000000001,0.07540573924779892,anchor=0.0,0.1,0.0,0.28909215331077576,0.004176934715360403
0,4,0.444,0.889,0.07559888064861298,anchor=0.0,0.1,0.0,0.28998932242393494,0.00413539120927453
0,5,0.555,0.86125,0.07572974264621735,anchor=0.0,0.1,0.0,0.29027774930000305,0.0042137387208640575
0,6,0.666,0.8335,0.07870958745479584,anchor=0.0,0.1,0.0,0.3022690415382385,0.004189768806099892
0,7,0.777,0.80575,0.08053261041641235,anchor=0.0,0.1,0.0,0.3095884621143341,0.004180665593594313
0,8,0.888,0.778,0.08352464437484741,anchor=0.0,0.1,0.0,0.32139846682548523,0.0042333598248660564
0,9,0.999,0.75025,0.08754260838031769,anchor=0.0,0.1,0.0,0.3376415967941284,0.004176275804638863
1,0,0.0,0.8571428571428572,3.0541563034057617,anchor=0.0,0.1,0.0,12.203747749328613,0.004292468074709177
1,1,0.111,0.8175000000000001,2.4413504600524902,anchor=0.0,0.1,0.0,9.752655982971191,0.004248530603945255
1,2,0.222,0.7778571428571429,1.9535835981369019,anchor=0.0,0.1,0.0,7.801502227783203,0.004277615807950497
1,3,0.333,0.7382142857142858,2.12276029586792,anchor=0.0,0.1,0.0,8.477982521057129,0.004352796357125044
1,4,0.444,0.6985714285714286,2.1152029037475586,anchor=0.0,0.1,0.0,8.4478178024292,0.004331300035119057
1,5,0.555,0.6589285714285714,1.8867769241333008,anchor=0.0,0.1,0.0,7.534128189086914,0.004326408728957176
1,6,0.666,0.6192857142857142,1.5423903465270996,anchor=0.0,0.1,0.0,6.156595706939697,0.004322009161114693
1,7,0.777,0.5796428571428571,1.26450514793396,anchor=0.0,0.1,0.0,5.044982433319092,0.004346021451056004
1,8,0.888,0.54,1.0641878843307495,anchor=0.0,0.1,0.0,4.243854999542236,0.004298728425055742
1,9,0.999,0.5003571428571428,0.8535172343254089,anchor=0.0,0.1,0.0,3.401029586791992,0.0043464843183755875
2,0,0.0,0.6666666666666667,1.018768072128296,anchor=0.0,0.1,0.0,4.04558801651001,0.009827754460275173
2,1,0.111,0.6204166666666668,1.9566142559051514,anchor=0.0,0.1,0.0,7.797078609466553,0.009792678989470005
2,2,0.222,0.5741666666666667,2.8033571243286133,anchor=0.0,0.1,0.0,11.183979034423828,0.00981686171144247
2,3,0.333,0.5279166666666668,2.1509714126586914,anchor=0.0,0.1,0.0,8.574585914611816,0.009766355156898499
2,4,0.444,0.48166666666666674,1.490715742111206,anchor=0.0,0.1,0.0,5.9334187507629395,0.009814470075070858
2,5,0.555,0.4354166666666667,0.9791910648345947,anchor=0.0,0.1,0.0,3.887427568435669,0.009778928011655807
2,6,0.666,0.38916666666666666,0.6837398409843445,anchor=0.0,0.1,0.0,2.7060325145721436,0.009642379358410835
2,7,0.777,0.34291666666666665,0.5019665956497192,anchor=0.0,0.1,0.0,1.979182243347168,0.00956136453896761
2,8,0.888,0.2966666666666667,0.39658328890800476,anchor=0.0,0.1,0.0,1.5574032068252563,0.009643368422985077
2,9,0.999,0.2504166666666667,0.3291766345500946,anchor=0.0,0.1,0.0,1.287964940071106,0.009580522775650024
3,0,0.0,0.3999999999999999,0.5046008825302124,anchor=0.0,0.1,0.0,2.010946273803711,0.002485699951648712
3,1,0.111,0.3555999999999999,0.4346388280391693,anchor=0.0,0.1,0.0,1.7310940027236938,0.0024871265050023794
3,2,0.222,0.3111999999999999,0.3798338770866394,anchor=0.0,0.1,0.0,1.5118417739868164,0.0024979000445455313
3,3,0.333,0.2668,0.3381776511669159,anchor=0.0,0.1,0.0,1.3452634811401367,0.0024823849089443684
3,4,0.444,0.22239999999999996,0.3135928809642792,anchor=0.0,0.1,0.0,1.2469738721847534,0.002465927042067051
3,5,0.555,0.17799999999999994,0.299071729183197,anchor=0.0,0.1,0.0,1.1889705657958984,0.002438727766275406
3,6,0.666,0.13359999999999997,0.29140961170196533,anchor=0.0,0.1,0.0,1.1584738492965698,0.0023881886154413223
3,7,0.777,0.08919999999999997,0.28832316398620605,anchor=0.0,0.1,0.0,1.146425485610962,0.002289051888510585
3,8,0.888,0.044799999999999986,0.2874309718608856,anchor=0.0,0.1,0.0,1.1440025568008423,0.001907128025777638
3,9,0.999,0.0004000000000000003,0.2874309718608856,anchor=0.0,0.1,0.0,1.1440025568008423,0.001907128025777638
0,0,0.0,1.0,0.05399104952812195,anchor=25.0,0.1,25.0,0.20361419022083282,0.004116668365895748
0,1,0.111,0.9722500000000001,0.05089591071009636,anchor=25.0,0.1,25.0,0.1911749690771103,0.004136223811656237
0,2,0.222,0.9445,0.0489257387816906,anchor=25.0,0.1,25.0,0.18345411121845245,0.004082938190549612
0,3,0.333,0.9167500000000001,0.07472127676010132,anchor=25.0,0.1,25.0,0.28661325573921204,0.004090605303645134
0,4,0.444,0.889,0.05171249806880951,anchor=25.0,0.1,25.0,0.1943739503622055,0.00415868079289794
0,5,0.555,0.86125,0.03789231926202774,anchor=25.0,0.1,25.0,0.1391792893409729,0.004129991866648197
0,6,0.666,0.8335,0.02993662655353546,anchor=25.0,0.1,25.0,0.10731378942728043,0.004144235514104366
0,7,0.777,0.80575,0.0423913411796093,anchor=25.0,0.1,25.0,0.15727420151233673,0.004097050055861473
0,8,0.888,0.778,0.03263917565345764,anchor=25.0,0.1,25.0,0.11834690719842911,0.004069929476827383
0,9,0.999,0.75025,0.03990978002548218,anchor=25.0,0.1,25.0,0.14737097918987274,0.0040893848054111
1,0,0.0,0.8571428571428572,0.044499680399894714,anchor=25.0,0.1,25.0,0.16585183143615723,0.004048962611705065
1,1,0.111,0.8175000000000001,0.04667893052101135,anchor=25.0,0.1,25.0,0.17445413768291473,0.004087190609425306
1,2,0.222,0.7778571428571429,0.035297941416502,anchor=25.0,0.1,25.0,0.1290164589881897,0.00405843323096633
1,3,0.333,0.7382142857142858,0.03115728497505188,anchor=25.0,0.1,25.0,0.11254622787237167,0.004027636721730232
1,4,0.444,0.6985714285714286,0.029453057795763016,anchor=25.0,0.1,25.0,0.10575362294912338,0.004019535146653652
