stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,mse_hole,mse_obs
0,0,0.0,1.0,0.3160162568092346,anchor=0.0,0.1,0.0,1.208248257637024,0.018605506047606468
0,1,0.111,0.9722500000000001,0.31634217500686646,anchor=0.0,0.1,0.0,1.2096959352493286,0.018557552248239517
0,2,0.222,0.9445,0.31226128339767456,anchor=0.0,0.1,0.0,1.193479299545288,0.01852194219827652
0,3,0.333,0.9167500000000001,0.3119502365589142,anchor=0.0,0.1,0.0,1.1921721696853638,0.018542898818850517
0,4,0.444,0.889,0.31886059045791626,anchor=0.0,0.1,0.0,1.21951162815094,0.018643561750650406
0,5,0.555,0.86125,0.33932387828826904,anchor=0.0,0.1,0.0,1.3016124963760376,0.018561040982604027
0,6,0.666,0.8335,0.3483761250972748,anchor=0.0,0.1,0.0,1.3377923965454102,0.01857067458331585
0,7,0.777,0.80575,0.38515615463256836,anchor=0.0,0.1,0.0,1.4846307039260864,0.018664689734578133
0,8,0.888,0.778,0.4240903854370117,anchor=0.0,0.1,0.0,1.640738844871521,0.01854092814028263
0,9,0.999,0.75025,0.4532797336578369,anchor=0.0,0.1,0.0,1.7574667930603027,0.018550731241703033
1,0,0.0,0.8571428571428572,2.9567465782165527,anchor=0.0,0.1,0.0,11.779627799987793,0.01578615792095661
1,1,0.111,0.8175000000000001,2.544053554534912,anchor=0.0,0.1,0.0,10.12893009185791,0.01576121523976326
1,2,0.222,0.7778571428571429,2.037693977355957,anchor=0.0,0.1,0.0,8.103315353393555,0.015820041298866272
1,3,0.333,0.7382142857142858,1.7409160137176514,anchor=0.0,0.1,0.0,6.91601037979126,0.01588454097509384
1,4,0.444,0.6985714285714286,1.56452214717865,anchor=0.0,0.1,0.0,6.21075439453125,0.015778005123138428
1,5,0.555,0.6589285714285714,1.4451326131820679,anchor=0.0,0.1,0.0,5.732868671417236,0.015886956825852394
1,6,0.666,0.6192857142857142,1.1597239971160889,anchor=0.0,0.1,0.0,4.591325283050537,0.01585686206817627
1,7,0.777,0.5796428571428571,1.0064966678619385,anchor=0.0,0.1,0.0,3.9785430431365967,0.01581450365483761
1,8,0.888,0.54,0.8439106941223145,anchor=0.0,0.1,0.0,3.3284482955932617,0.015731463208794594
1,9,0.999,0.5003571428571428,0.7678685188293457,anchor=0.0,0.1,0.0,3.0240743160247803,0.01579994708299637
2,0,0.0,0.6666666666666667,0.997393786907196,anchor=0.0,0.1,0.0,3.943121910095215,0.015484381467103958
2,1,0.111,0.6204166666666668,9.246170997619629,anchor=0.0,0.1,0.0,36.93830108642578,0.015459300950169563
2,2,0.222,0.5741666666666667,6.699460983276367,anchor=0.0,0.1,0.0,26.751577377319336,0.015422854572534561
