stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,mse_hole,mse_obs
0,0,0.0,1.0,0.01989542506635189,anchor=0.0,0.1,0.0,0.0754985436797142,0.0013610534369945526
0,1,0.111,0.9722500000000001,0.018524255603551865,anchor=0.0,0.1,0.0,0.07001439481973648,0.00136087229475379
0,2,0.222,0.9445,0.02008911967277527,anchor=0.0,0.1,0.0,0.0763087198138237,0.0013492549769580364
0,3,0.333,0.9167500000000001,0.023408964276313782,anchor=0.0,0.1,0.0,0.08953720331192017,0.0013662147102877498
0,4,0.444,0.889,0.03029702976346016,anchor=0.0,0.1,0.0,0.11702380329370499,0.0013881000922992826
0,5,0.555,0.86125,0.045236736536026,anchor=0.0,0.1,0.0,0.1768742799758911,0.0013575596967712045
0,6,0.666,0.8335,0.064897321164608,anchor=0.0,0.1,0.0,0.255553275346756,0.0013453260762616992
0,7,0.777,0.80575,0.09036635607481003,anchor=0.0,0.1,0.0,0.35741040110588074,0.0013516736216843128
0,8,0.888,0.778,0.12604667246341705,anchor=0.0,0.1,0.0,0.5000739097595215,0.0013709110207855701
0,9,0.999,0.75025,0.17536461353302002,anchor=0.0,0.1,0.0,0.6973920464515686,0.0013554742326959968
1,0,0.0,0.8571428571428572,2.901607036590576,anchor=0.0,0.1,0.0,11.600764274597168,0.0018871346255764365
1,1,0.111,0.8175000000000001,2.633549690246582,anchor=0.0,0.1,0.0,10.528697967529297,0.001833315473049879
1,2,0.222,0.7778571428571429,2.2035961151123047,anchor=0.0,0.1,0.0,8.808731079101562,0.0018844649894163013
1,3,0.333,0.7382142857142858,1.7329225540161133,anchor=0.0,0.1,0.0,6.926017761230469,0.0018908604979515076
1,4,0.444,0.6985714285714286,1.3949925899505615,anchor=0.0,0.1,0.0,5.574338436126709,0.0018774920608848333
1,5,0.555,0.6589285714285714,1.2343997955322266,anchor=0.0,0.1,0.0,4.932043552398682,0.0018517635762691498
1,6,0.666,0.6192857142857142,1.0267150402069092,anchor=0.0,0.1,0.0,4.101200103759766,0.0018866867758333683
1,7,0.777,0.5796428571428571,0.8629711866378784,anchor=0.0,0.1,0.0,3.4461705684661865,0.001904777716845274
1,8,0.888,0.54,0.718174397945404,anchor=0.0,0.1,0.0,2.8670895099639893,0.0018692479934543371
1,9,0.999,0.5003571428571428,0.6221975088119507,anchor=0.0,0.1,0.0,2.4831666946411133,0.001874360372312367
2,0,0.0,0.6666666666666667,0.9323829412460327,anchor=0.0,0.1,0.0,3.7179648876190186,0.0038555902428925037
2,1,0.111,0.6204166666666668,1.9309184551239014,anchor=0.0,0.1,0.0,7.711988925933838,0.0038950841408222914
2,2,0.222,0.5741666666666667,2.705127716064453,anchor=0.0,0.1,0.0,10.808857917785645,0.0038843166548758745
2,3,0.333,0.5279166666666668,2.085521936416626,anchor=0.0,0.1,0.0,8.330459594726562,0.0038760097231715918
2,4,0.444,0.48166666666666674,1.4181694984436035,anchor=0.0,0.1,0.0,5.661214828491211,0.003820981364697218
2,5,0.555,0.4354166666666667,0.9139012694358826,anchor=0.0,0.1,0.0,3.6440646648406982,0.0038468369748443365
2,6,0.666,0.38916666666666666,0.6221833825111389,anchor=0.0,0.1,0.0,2.477297782897949,0.003811909817159176
2,7,0.777,0.34291666666666665,0.4427196979522705,anchor=0.0,0.1,0.0,1.759497046470642,0.00379393738694489
2,8,0.888,0.2966666666666667,0.3331965506076813,anchor=0.0,0.1,0.0,1.3213297128677368,0.0038188297767192125
2,9,0.999,0.2504166666666667,0.26505085825920105,anchor=0.0,0.1,0.0,1.0487836599349976,0.0038065644912421703
3,0,0.0,0.3999999999999999,0.45199161767959595,anchor=0.0,0.1,0.0,1.8005088567733765,0.002485922770574689
3,1,0.111,0.3555999999999999,0.386841744184494,anchor=0.0,0.1,0.0,1.5398844480514526,0.0024941815063357353
3,2,0.222,0.3111999999999999,0.33540523052215576,anchor=0.0,0.1,0.0,1.3341450691223145,0.0024920066352933645
3,3,0.333,0.2668,0.29732492566108704,anchor=0.0,0.1,0.0,1.1818480491638184,0.0024838706012815237
3,4,0.444,0.22239999999999996,0.270353764295578,anchor=0.0,0.1,0.0,1.07400643825531,0.0024695757310837507
3,5,0.555,0.17799999999999994,0.2549048066139221,anchor=0.0,0.1,0.0,1.0123200416564941,0.0024330085143446922
3,6,0.666,0.13359999999999997,0.2478412687778473,anchor=0.0,0.1,0.0,0.9841949939727783,0.002390012377873063
