stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,mse_hole,mse_obs
0,0,0.0,1.0,0.04010320454835892,anchor=0.0,0.1,0.0,0.14701680839061737,0.0044653285294771194
0,1,0.111,0.9722500000000001,0.03979797661304474,anchor=0.0,0.1,0.0,0.14583000540733337,0.004453964531421661
0,2,0.222,0.9445,0.039833925664424896,anchor=0.0,0.1,0.0,0.14588351547718048,0.004484066739678383
0,3,0.333,0.9167500000000001,0.03938116133213043,anchor=0.0,0.1,0.0,0.14404155313968658,0.004494362510740757
0,4,0.444,0.889,0.03940681740641594,anchor=0.0,0.1,0.0,0.14422692358493805,0.004466783720999956
0,5,0.555,0.86125,0.04236672446131706,anchor=0.0,0.1,0.0,0.15606270730495453,0.004468066152185202
0,6,0.666,0.8335,0.04920899495482445,anchor=0.0,0.1,0.0,0.18341922760009766,0.004472250118851662
0,7,0.777,0.80575,0.064278244972229,anchor=0.0,0.1,0.0,0.2438563108444214,0.0044188895262777805
0,8,0.888,0.778,0.095121368765831,anchor=0.0,0.1,0.0,0.3671187162399292,0.004455579444766045
0,9,0.999,0.75025,0.16043208539485931,anchor=0.0,0.1,0.0,0.6282737851142883,0.004484821576625109
1,0,0.0,0.8571428571428572,3.0997047424316406,anchor=0.0,0.1,0.0,12.387791633605957,0.003675871528685093
1,1,0.111,0.8175000000000001,2.7045140266418457,anchor=0.0,0.1,0.0,10.807022094726562,0.003677899716421962
1,2,0.222,0.7778571428571429,2.1991803646087646,anchor=0.0,0.1,0.0,8.785964012145996,0.0035853832960128784
1,3,0.333,0.7382142857142858,1.8227624893188477,anchor=0.0,0.1,0.0,7.280179977416992,0.003623134456574917
1,4,0.444,0.6985714285714286,1.5762989521026611,anchor=0.0,0.1,0.0,6.2941365242004395,0.0036862012930214405
1,5,0.555,0.6589285714285714,1.4519717693328857,anchor=0.0,0.1,0.0,5.79690408706665,0.0036608465015888214
1,6,0.666,0.6192857142857142,1.1456091403961182,anchor=0.0,0.1,0.0,4.571597576141357,0.003612903645262122
1,7,0.777,0.5796428571428571,0.9876360297203064,anchor=0.0,0.1,0.0,3.939512252807617,0.003677256405353546
1,8,0.888,0.54,0.8332557678222656,anchor=0.0,0.1,0.0,3.3218834400177,0.0037133742589503527
1,9,0.999,0.5003571428571428,0.7006305456161499,anchor=0.0,0.1,0.0,2.7917745113372803,0.003582481760531664
2,0,0.0,0.6666666666666667,0.961230456829071,anchor=0.0,0.1,0.0,3.829136848449707,0.005261590238660574
2,1,0.111,0.6204166666666668,9.355087280273438,anchor=0.0,0.1,0.0,37.40463638305664,0.005238775629550219
2,2,0.222,0.5741666666666667,6.772590160369873,anchor=0.0,0.1,0.0,27.07464027404785,0.005240364000201225
2,3,0.333,0.5279166666666668,3.6039624214172363,anchor=0.0,0.1,0.0,14.40019702911377,0.005217025522142649
2,4,0.444,0.48166666666666674,1.9552745819091797,anchor=0.0,0.1,0.0,7.805366516113281,0.0052438038401305676
2,5,0.555,0.4354166666666667,1.1297610998153687,anchor=0.0,0.1,0.0,4.503528594970703,0.005171926226466894
2,6,0.666,0.38916666666666666,0.7278467416763306,anchor=0.0,0.1,0.0,2.8958828449249268,0.005167951807379723
2,7,0.777,0.34291666666666665,0.5017622709274292,anchor=0.0,0.1,0.0,1.9914394617080688,0.005203087814152241
2,8,0.888,0.2966666666666667,0.3685351312160492,anchor=0.0,0.1,0.0,1.4586321115493774,0.005169461015611887
2,9,0.999,0.2504166666666667,0.29670941829681396,anchor=0.0,0.1,0.0,1.1715866327285767,0.005083652213215828
3,0,0.0,0.3999999999999999,0.47941845655441284,anchor=0.0,0.1,0.0,1.9102150201797485,0.0024861737620085478
3,1,0.111,0.3555999999999999,0.40970417857170105,anchor=0.0,0.1,0.0,1.6313347816467285,0.0024939673021435738
3,2,0.222,0.3111999999999999,0.3575249910354614,anchor=0.0,0.1,0.0,1.42263662815094,0.002487708581611514
3,3,0.333,0.2668,0.3197857141494751,anchor=0.0,0.1,0.0,1.2716835737228394,0.002486445475369692
3,4,0.444,0.22239999999999996,0.2943098545074463,anchor=0.0,0.1,0.0,1.169838786125183,0.0024668648838996887
3,5,0.555,0.17799999999999994,0.2769891917705536,anchor=0.0,0.1,0.0,1.100651502609253,0.002435105387121439
3,6,0.666,0.13359999999999997,0.26992297172546387,anchor=0.0,0.1,0.0,1.07252037525177,0.0023904643021523952
3,7,0.777,0.08919999999999997,0.26531118154525757,anchor=0.0,0.1,0.0,1.0544160604476929,0.0022762289736419916
3,8,0.888,0.044799999999999986,0.26417216658592224,anchor=0.0,0.1,0.0,1.0510544776916504,0.0018779755337163806
3,9,0.999,0.0004000000000000003,0.26417216658592224,anchor=0.0,0.1,0.0,1.0510544776916504,0.0018779755337163806
0,0,0.0,1.0,0.04523057863116264,anchor=25.0,0.1,25.0,0.1677079051733017,0.004404798150062561
0,1,0.111,0.9722500000000001,0.047974757850170135,anchor=25.0,0.1,25.0,0.17884759604930878,0.004350478295236826
