stage,step,tau,sigma_tau,mse_x1,h0,mse_hole,mse_obs
0,0,0.0,1.0,0.04273860901594162,0.1,0.14752979576587677,0.00780821405351162
0,1,0.111,0.9722500000000001,0.048480670899152756,0.1,0.17051227390766144,0.007803464308381081
0,2,0.222,0.9445,0.053758829832077026,0.1,0.19165462255477905,0.007793567143380642
0,3,0.333,0.9167500000000001,0.08654415607452393,0.1,0.3229888379573822,0.007729267235845327
0,4,0.444,0.889,0.1661716252565384,0.1,0.6414429545402527,0.007747841998934746
0,5,0.555,0.86125,0.36412152647972107,0.1,1.4329191446304321,0.007855602540075779
0,6,0.666,0.8335,0.679193913936615,0.1,2.693247079849243,0.007842804305255413
0,7,0.777,0.80575,1.126114010810852,0.1,4.481098651885986,0.007785762194544077
0,8,0.888,0.778,1.380913496017456,0.1,5.5001068115234375,0.007849115878343582
0,9,0.999,0.75025,1.453811526298523,0.1,5.791733264923096,0.007837544195353985
1,0,0.0,0.8571428571428572,3.039170742034912,0.1,12.140973091125488,0.005236528348177671
1,1,0.111,0.8175000000000001,2.747166633605957,0.1,10.973246574401855,0.005140034481883049
1,2,0.222,0.7778571428571429,2.246431827545166,0.1,8.970274925231934,0.005150663200765848
1,3,0.333,0.7382142857142858,1.7468078136444092,0.1,6.971437931060791,0.005264137405902147
1,4,0.444,0.6985714285714286,1.4422833919525146,0.1,5.7534356117248535,0.005232376977801323
1,5,0.555,0.6589285714285714,1.3060699701309204,0.1,5.208400249481201,0.005293184891343117
1,6,0.666,0.6192857142857142,1.115056037902832,0.1,4.44467830657959,0.005181977059692144
1,7,0.777,0.5796428571428571,0.9170451164245605,0.1,3.652236223220825,0.005314784124493599
1,8,0.888,0.54,0.7473539113998413,0.1,2.97369647026062,0.005239647347480059
1,9,0.999,0.5003571428571428,0.6248539686203003,0.1,2.4837658405303955,0.005216636229306459
2,0,0.0,0.6666666666666667,0.9240710139274597,0.1,3.677639961242676,0.006214713212102652
2,1,0.111,0.6204166666666668,1.8896887302398682,0.1,7.540042400360107,0.0062376284040510654
2,2,0.222,0.5741666666666667,2.791016101837158,0.1,11.14498519897461,0.006359368097037077
2,3,0.333,0.5279166666666668,2.112790584564209,0.1,8.432507514953613,0.006218112539499998
2,4,0.444,0.48166666666666674,1.446610689163208,0.1,5.767854690551758,0.0061958422884345055
2,5,0.555,0.4354166666666667,0.9290985465049744,0.1,3.69781756401062,0.0061922091990709305
2,6,0.666,0.38916666666666666,0.6270842552185059,0.1,2.489858865737915,0.006159396842122078
2,7,0.777,0.34291666666666665,0.4425743818283081,0.1,1.751944899559021,0.006117560900747776
2,8,0.888,0.2966666666666667,0.33512744307518005,0.1,1.3221205472946167,0.006129794754087925
2,9,0.999,0.2504166666666667,0.2671631872653961,0.1,1.0503320693969727,0.006106847897171974
3,0,0.0,0.3999999999999999,0.4505990743637085,0.1,1.7949304580688477,0.002488597296178341
3,1,0.111,0.3555999999999999,0.38733455538749695,0.1,1.541868805885315,0.0024897484108805656
3,2,0.222,0.3111999999999999,0.3370911777019501,0.1,1.3408435583114624,0.002507102210074663
3,3,0.333,0.2668,0.29852211475372314,0.1,1.1866329908370972,0.002485158620402217
3,4,0.444,0.22239999999999996,0.27426043152809143,0.1,1.089651107788086,0.0024635372683405876
3,5,0.555,0.17799999999999994,0.25737759470939636,0.1,1.0221940279006958,0.002438787603750825
3,6,0.666,0.13359999999999997,0.24912971258163452,0.1,0.9893843531608582,0.0023781938944011927
3,7,0.777,0.08919999999999997,0.24482905864715576,0.1,0.9725127816200256,0.0022677890956401825
