stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,mse_hole,mse_obs
0,0,0.0,1.0,0.042738623917102814,anchor=0.0,0.1,0.0,0.14752982556819916,0.007808216847479343
0,1,0.111,0.9722500000000001,0.048480696976184845,anchor=0.0,0.1,0.0,0.170512393116951,0.0078034657053649426
0,2,0.222,0.9445,0.053758807480335236,anchor=0.0,0.1,0.0,0.1916545182466507,0.007793567143380642
0,3,0.333,0.9167500000000001,0.08654423803091049,anchor=0.0,0.1,0.0,0.3229891061782837,0.007729267701506615
0,4,0.444,0.889,0.16617169976234436,anchor=0.0,0.1,0.0,0.6414433121681213,0.007747840601950884
0,5,0.555,0.86125,0.36412176489830017,anchor=0.0,0.1,0.0,1.4329200983047485,0.007855605334043503
0,6,0.666,0.8335,0.6791937351226807,anchor=0.0,0.1,0.0,2.693246603012085,0.007842804305255413
0,7,0.777,0.80575,1.1261147260665894,anchor=0.0,0.1,0.0,4.4811015129089355,0.007785764988511801
0,8,0.888,0.778,1.380913496017456,anchor=0.0,0.1,0.0,5.5001068115234375,0.007849117740988731
0,9,0.999,0.75025,1.4538133144378662,anchor=0.0,0.1,0.0,5.791740894317627,0.00783754512667656
1,0,0.0,0.8571428571428572,3.039170026779175,anchor=0.0,0.1,0.0,12.140971183776855,0.005236529745161533
1,1,0.111,0.8175000000000001,2.747166395187378,anchor=0.0,0.1,0.0,10.973243713378906,0.005140034016221762
1,2,0.222,0.7778571428571429,2.246431827545166,anchor=0.0,0.1,0.0,8.970273971557617,0.005150664132088423
1,3,0.333,0.7382142857142858,1.74680757522583,anchor=0.0,0.1,0.0,6.971437931060791,0.005264137405902147
1,4,0.444,0.6985714285714286,1.4422831535339355,anchor=0.0,0.1,0.0,5.7534356117248535,0.005232376977801323
1,5,0.555,0.6589285714285714,1.3060699701309204,anchor=0.0,0.1,0.0,5.208400249481201,0.005293184891343117
1,6,0.666,0.6192857142857142,1.115056037902832,anchor=0.0,0.1,0.0,4.444678783416748,0.005181976594030857
1,7,0.777,0.5796428571428571,0.917044997215271,anchor=0.0,0.1,0.0,3.652235746383667,0.005314784124493599
1,8,0.888,0.54,0.7473537921905518,anchor=0.0,0.1,0.0,2.97369647026062,0.005239647347480059
1,9,0.999,0.5003571428571428,0.6248539686203003,anchor=0.0,0.1,0.0,2.4837660789489746,0.005216635763645172
2,0,0.0,0.6666666666666667,0.9240707755088806,anchor=0.0,0.1,0.0,3.6776390075683594,0.006214713212102652
2,1,0.111,0.6204166666666668,1.8896883726119995,anchor=0.0,0.1,0.0,7.540040493011475,0.0062376284040510654
2,2,0.222,0.5741666666666667,2.791016101837158,anchor=0.0,0.1,0.0,11.14498519897461,0.00635936763137579
2,3,0.333,0.5279166666666668,2.11279034614563,anchor=0.0,0.1,0.0,8.432506561279297,0.006218112539499998
2,4,0.444,0.48166666666666674,1.4466108083724976,anchor=0.0,0.1,0.0,5.767854690551758,0.006195841357111931
2,5,0.555,0.4354166666666667,0.9290984869003296,anchor=0.0,0.1,0.0,3.697816848754883,0.0061922091990709305
2,6,0.666,0.38916666666666666,0.6270843148231506,anchor=0.0,0.1,0.0,2.489858865737915,0.006159396842122078
2,7,0.777,0.34291666666666665,0.4425743520259857,anchor=0.0,0.1,0.0,1.751944661140442,0.006117560900747776
2,8,0.888,0.2966666666666667,0.33512744307518005,anchor=0.0,0.1,0.0,1.3221205472946167,0.006129794288426638
2,9,0.999,0.2504166666666667,0.26716315746307373,anchor=0.0,0.1,0.0,1.0503320693969727,0.006106847431510687
3,0,0.0,0.3999999999999999,0.4505990147590637,anchor=0.0,0.1,0.0,1.7949304580688477,0.0024885369930416346
3,1,0.111,0.3555999999999999,0.38733455538749695,anchor=0.0,0.1,0.0,1.541869044303894,0.0024897479452192783
3,2,0.222,0.3111999999999999,0.3370911777019501,anchor=0.0,0.1,0.0,1.3408435583114624,0.002507065422832966
3,3,0.333,0.2668,0.29852211475372314,anchor=0.0,0.1,0.0,1.1866329908370972,0.002485134406015277
3,4,0.444,0.22239999999999996,0.27426040172576904,anchor=0.0,0.1,0.0,1.089651107788086,0.0024635386653244495
3,5,0.555,0.17799999999999994,0.25737762451171875,anchor=0.0,0.1,0.0,1.0221940279006958,0.0024387873709201813
3,6,0.666,0.13359999999999997,0.2491297423839569,anchor=0.0,0.1,0.0,0.9893843531608582,0.0023781980853527784
3,7,0.777,0.08919999999999997,0.24482905864715576,anchor=0.0,0.1,0.0,0.9725127816200256,0.0022677890956401825
3,8,0.888,0.044799999999999986,0.24365322291851044,anchor=0.0,0.1,0.0,0.9691236615180969,0.0018296906491741538
3,9,0.999,0.0004000000000000003,0.24365322291851044,anchor=0.0,0.1,0.0,0.9691236615180969,0.0018296906491741538
