stage,step,tau,sigma_tau,mse_x1,variant,h0,anchor,x0_steps,gamma2_scale,trw,mse_hole,mse_obs
0,0,0.0,1.0,0.04273860901594162,trw=0,0.1,0.0,1,1.0,0.0,0.14752978086471558,0.00780821405351162
0,1,0.111,0.9722500000000001,0.04848065972328186,trw=0,0.1,0.0,1,1.0,0.0,0.17051225900650024,0.007803464774042368
0,2,0.222,0.9445,0.05375880002975464,trw=0,0.1,0.0,1,1.0,0.0,0.1916545033454895,0.00779356574639678
0,3,0.333,0.9167500000000001,0.0865442156791687,trw=0,0.1,0.0,1,1.0,0.0,0.3229890465736389,0.007729267235845327
0,4,0.444,0.889,0.1661716103553772,trw=0,0.1,0.0,1,1.0,0.0,0.6414429545402527,0.007747840601950884
0,5,0.555,0.86125,0.3641214370727539,trw=0,0.1,0.0,1,1.0,0.0,1.432918906211853,0.007855605334043503
0,6,0.666,0.8335,0.6791939735412598,trw=0,0.1,0.0,1,1.0,0.0,2.6932475566864014,0.007842800579965115
0,7,0.777,0.80575,1.1261146068572998,trw=0,0.1,0.0,1,1.0,0.0,4.481100559234619,0.00778576172888279
0,8,0.888,0.778,1.3809130191802979,trw=0,0.1,0.0,1,1.0,0.0,5.5001044273376465,0.007849118672311306
0,9,0.999,0.75025,1.4538120031356812,trw=0,0.1,0.0,1,1.0,0.0,5.7917351722717285,0.00783754512667656
1,0,0.0,0.8571428571428572,3.0391719341278076,trw=0,0.1,0.0,1,1.0,0.0,12.140976905822754,0.005236528813838959
1,1,0.111,0.8175000000000001,2.7471675872802734,trw=0,0.1,0.0,1,1.0,0.0,10.973250389099121,0.005140034481883049
1,2,0.222,0.7778571428571429,2.246432304382324,trw=0,0.1,0.0,1,1.0,0.0,8.9702787399292,0.005150663200765848
1,3,0.333,0.7382142857142858,1.7468080520629883,trw=0,0.1,0.0,1,1.0,0.0,6.97144079208374,0.005264137405902147
1,4,0.444,0.6985714285714286,1.4422836303710938,trw=0,0.1,0.0,1,1.0,0.0,5.753437042236328,0.005232376977801323
1,5,0.555,0.6589285714285714,1.3060702085494995,trw=0,0.1,0.0,1,1.0,0.0,5.208401203155518,0.005293183960020542
1,6,0.666,0.6192857142857142,1.1150562763214111,trw=0,0.1,0.0,1,1.0,0.0,4.444678783416748,0.005181976594030857
1,7,0.777,0.5796428571428571,0.9170451164245605,trw=0,0.1,0.0,1,1.0,0.0,3.652236223220825,0.005314784124493599
1,8,0.888,0.54,0.7473539113998413,trw=0,0.1,0.0,1,1.0,0.0,2.97369647026062,0.005239647347480059
1,9,0.999,0.5003571428571428,0.6248539686203003,trw=0,0.1,0.0,1,1.0,0.0,2.4837658405303955,0.005216635763645172
2,0,0.0,0.6666666666666667,0.9240703582763672,trw=0,0.1,0.0,1,1.0,0.0,3.6776371002197266,0.006214713212102652
2,1,0.111,0.6204166666666668,1.889688491821289,trw=0,0.1,0.0,1,1.0,0.0,7.540041446685791,0.0062376284040510654
2,2,0.222,0.5741666666666667,2.791015386581421,trw=0,0.1,0.0,1,1.0,0.0,11.144984245300293,0.00635936763137579
2,3,0.333,0.5279166666666668,2.112790107727051,trw=0,0.1,0.0,1,1.0,0.0,8.43250560760498,0.006218112073838711
2,4,0.444,0.48166666666666674,1.4466103315353394,trw=0,0.1,0.0,1,1.0,0.0,5.7678542137146,0.006195841357111931
2,5,0.555,0.4354166666666667,0.9290984869003296,trw=0,0.1,0.0,1,1.0,0.0,3.697816848754883,0.006192208733409643
2,6,0.666,0.38916666666666666,0.6270842552185059,trw=0,0.1,0.0,1,1.0,0.0,2.489858865737915,0.006159396842122078
2,7,0.777,0.34291666666666665,0.4425743520259857,trw=0,0.1,0.0,1,1.0,0.0,1.751944899559021,0.006117560900747776
2,8,0.888,0.2966666666666667,0.33512744307518005,trw=0,0.1,0.0,1,1.0,0.0,1.3221205472946167,0.006129794754087925
2,9,0.999,0.2504166666666667,0.26716315746307373,trw=0,0.1,0.0,1,1.0,0.0,1.0503320693969727,0.006106847897171974
3,0,0.0,0.3999999999999999,0.4505990743637085,trw=0,0.1,0.0,1,1.0,0.0,1.7949304580688477,0.002488616155460477
3,1,0.111,0.3555999999999999,0.38733455538749695,trw=0,0.1,0.0,1,1.0,0.0,1.5418691635131836,0.002489715348929167
3,2,0.222,0.3111999999999999,0.3370911478996277,trw=0,0.1,0.0,1,1.0,0.0,1.3408433198928833,0.002507065190002322
3,3,0.333,0.2668,0.29852211475372314,trw=0,0.1,0.0,1,1.0,0.0,1.1866329908370972,0.002485161181539297
3,4,0.444,0.22239999999999996,0.27426043152809143,trw=0,0.1,0.0,1,1.0,0.0,1.089651107788086,0.002463539130985737
3,5,0.555,0.17799999999999994,0.25737759470939636,trw=0,0.1,0.0,1,1.0,0.0,1.0221940279006958,0.002438789466395974
3,6,0.666,0.13359999999999997,0.2491297423839569,trw=0,0.1,0.0,1,1.0,0.0,0.9893843531608582,0.0023781934287399054
3,7,0.777,0.08919999999999997,0.24482904374599457,trw=0,0.1,0.0,1,1.0,0.0,0.9725129008293152,0.0022677890956401825
3,8,0.888,0.044799999999999986,0.24365320801734924,trw=0,0.1,0.0,1,1.0,0.0,0.9691237807273865,0.0018296901835128665
3,9,0.999,0.0004000000000000003,0.24365320801734924,trw=0,0.1,0.0,1,1.0,0.0,0.9691237807273865,0.0018296901835128665
0,0,0.0,1.0,0.04273860901594162,trw=1,0.1,0.0,1,1.0,1.0,0.14752978086471558,0.007808212656527758
0,1,0.111,0.9722500000000001,0.048480696976184845,trw=1,0.1,0.0,1,1.0,1.0,0.170512393116951,0.007803463377058506
0,2,0.222,0.9445,0.05375882610678673,trw=1,0.1,0.0,1,1.0,1.0,0.19165460765361786,0.00779356574639678
0,3,0.333,0.9167500000000001,0.08654426038265228,trw=1,0.1,0.0,1,1.0,1.0,0.32298919558525085,0.007729268632829189
0,4,0.444,0.889,0.16617171466350555,trw=1,0.1,0.0,1,1.0,1.0,0.6414433121681213,0.007747838739305735
0,5,0.555,0.86125,0.3641211986541748,trw=1,0.1,0.0,1,1.0,1.0,1.4329179525375366,0.007855605334043503
0,6,0.666,0.8335,0.6791925430297852,trw=1,0.1,0.0,1,1.0,1.0,2.693241834640503,0.007842804305255413
0,7,0.777,0.80575,1.126113772392273,trw=1,0.1,0.0,1,1.0,1.0,4.48109769821167,0.007785760797560215
0,8,0.888,0.778,1.3809131383895874,trw=1,0.1,0.0,1,1.0,1.0,5.500104904174805,0.007849116809666157
0,9,0.999,0.75025,1.453812599182129,trw=1,0.1,0.0,1,1.0,1.0,5.791738033294678,0.00783754512667656
1,0,0.0,0.8571428571428572,3.039173126220703,trw=1,0.1,0.0,1,1.0,1.0,12.140983581542969,0.005236528813838959
1,1,0.111,0.8175000000000001,2.747169017791748,trw=1,0.1,0.0,1,1.0,1.0,10.973254203796387,0.005140034481883049
1,2,0.222,0.7778571428571429,2.2464332580566406,trw=1,0.1,0.0,1,1.0,1.0,8.970281600952148,0.005150664132088423
1,3,0.333,0.7382142857142858,1.7468087673187256,trw=1,0.1,0.0,1,1.0,1.0,6.971442699432373,0.005264137405902147
1,4,0.444,0.6985714285714286,1.4422839879989624,trw=1,0.1,0.0,1,1.0,1.0,5.753438472747803,0.005232376977801323
1,5,0.555,0.6589285714285714,1.306070327758789,trw=1,0.1,0.0,1,1.0,1.0,5.208402156829834,0.005293183960020542
1,6,0.666,0.6192857142857142,1.1150563955307007,trw=1,0.1,0.0,1,1.0,1.0,4.444679260253906,0.005181977525353432
1,7,0.777,0.5796428571428571,0.9170452952384949,trw=1,0.1,0.0,1,1.0,1.0,3.652236223220825,0.005314783658832312
1,8,0.888,0.54,0.7473539113998413,trw=1,0.1,0.0,1,1.0,1.0,2.97369647026062,0.005239647347480059
1,9,0.999,0.5003571428571428,0.6248540282249451,trw=1,0.1,0.0,1,1.0,1.0,2.4837663173675537,0.005216635763645172
2,0,0.0,0.6666666666666667,0.9240705370903015,trw=1,0.1,0.0,1,1.0,1.0,3.677637815475464,0.006214713212102652
2,1,0.111,0.6204166666666668,1.88968825340271,trw=1,0.1,0.0,1,1.0,1.0,7.540040493011475,0.006237627938389778
2,2,0.222,0.5741666666666667,2.791015386581421,trw=1,0.1,0.0,1,1.0,1.0,11.144984245300293,0.006359367165714502
2,3,0.333,0.5279166666666668,2.112790107727051,trw=1,0.1,0.0,1,1.0,1.0,8.432506561279297,0.0062181116081774235
2,4,0.444,0.48166666666666674,1.446610450744629,trw=1,0.1,0.0,1,1.0,1.0,5.7678542137146,0.006195841822773218
2,5,0.555,0.4354166666666667,0.9290984869003296,trw=1,0.1,0.0,1,1.0,1.0,3.697816848754883,0.006192208733409643
2,6,0.666,0.38916666666666666,0.6270843148231506,trw=1,0.1,0.0,1,1.0,1.0,2.489858865737915,0.006159396842122078
2,7,0.777,0.34291666666666665,0.4425743520259857,trw=1,0.1,0.0,1,1.0,1.0,1.751944899559021,0.006117561366409063
2,8,0.888,0.2966666666666667,0.33512744307518005,trw=1,0.1,0.0,1,1.0,1.0,1.3221205472946167,0.006129794754087925
2,9,0.999,0.2504166666666667,0.26716315746307373,trw=1,0.1,0.0,1,1.0,1.0,1.0503320693969727,0.006106847897171974
3,0,0.0,0.3999999999999999,0.4505990743637085,trw=1,0.1,0.0,1,1.0,1.0,1.7949304580688477,0.002488622907549143
3,1,0.111,0.3555999999999999,0.38733455538749695,trw=1,0.1,0.0,1,1.0,1.0,1.5418691635131836,0.002489754231646657
3,2,0.222,0.3111999999999999,0.3370911777019501,trw=1,0.1,0.0,1,1.0,1.0,1.3408433198928833,0.0025070735719054937
3,3,0.333,0.2668,0.29852214455604553,trw=1,0.1,0.0,1,1.0,1.0,1.1866329908370972,0.0024851663038134575
3,4,0.444,0.22239999999999996,0.27426043152809143,trw=1,0.1,0.0,1,1.0,1.0,1.089651107788086,0.0024635340087115765
3,5,0.555,0.17799999999999994,0.25737759470939636,trw=1,0.1,0.0,1,1.0,1.0,1.0221940279006958,0.0024387952871620655
3,6,0.666,0.13359999999999997,0.2491297423839569,trw=1,0.1,0.0,1,1.0,1.0,0.9893843531608582,0.002378197154030204
3,7,0.777,0.08919999999999997,0.24482904374599457,trw=1,0.1,0.0,1,1.0,1.0,0.9725127220153809,0.002267790725454688
3,8,0.888,0.044799999999999986,0.24365320801734924,trw=1,0.1,0.0,1,1.0,1.0,0.9691237807273865,0.0018296901835128665
3,9,0.999,0.0004000000000000003,0.24365320801734924,trw=1,0.1,0.0,1,1.0,1.0,0.9691237807273865,0.0018296901835128665
