stage,step,tau,sigma_tau,mse_x1,task,image,method
0,0,0.0,nan,1.6930122375488281,box_inpainting,breastplate_armor,wls
0,1,0.111,nan,2.2606072425842285,box_inpainting,breastplate_armor,wls
0,2,0.222,nan,3.6736066341400146,box_inpainting,breastplate_armor,wls
0,3,0.333,nan,7.178060054779053,box_inpainting,breastplate_armor,wls
0,4,0.444,nan,20.652145385742188,box_inpainting,breastplate_armor,wls
0,5,0.555,nan,94.3387451171875,box_inpainting,breastplate_armor,wls
0,6,0.666,nan,519.5133056640625,box_inpainting,breastplate_armor,wls
0,7,0.777,nan,3833.133544921875,box_inpainting,breastplate_armor,wls
0,8,0.888,nan,39964.2890625,box_inpainting,breastplate_armor,wls
0,9,0.999,nan,604048.625,box_inpainting,breastplate_armor,wls
1,0,0.0,nan,125244.4375,box_inpainting,breastplate_armor,wls
1,1,0.111,nan,232857.046875,box_inpainting,breastplate_armor,wls
1,2,0.222,nan,505202.59375,box_inpainting,breastplate_armor,wls
1,3,0.333,nan,1288548.0,box_inpainting,breastplate_armor,wls
1,4,0.444,nan,3876917.0,box_inpainting,breastplate_armor,wls
1,5,0.555,nan,13742990.0,box_inpainting,breastplate_armor,wls
1,6,0.666,nan,57054000.0,box_inpainting,breastplate_armor,wls
1,7,0.777,nan,274531776.0,box_inpainting,breastplate_armor,wls
1,8,0.888,nan,1509722880.0,box_inpainting,breastplate_armor,wls
1,9,0.999,nan,9330562048.0,box_inpainting,breastplate_armor,wls
2,0,0.0,nan,3762783744.0,box_inpainting,breastplate_armor,wls
2,1,0.111,nan,5398971392.0,box_inpainting,breastplate_armor,wls
2,2,0.222,nan,8036894208.0,box_inpainting,breastplate_armor,wls
2,3,0.333,nan,12344823808.0,box_inpainting,breastplate_armor,wls
2,4,0.444,nan,19440259072.0,box_inpainting,breastplate_armor,wls
2,5,0.555,nan,31161151488.0,box_inpainting,breastplate_armor,wls
2,6,0.666,nan,50454634496.0,box_inpainting,breastplate_armor,wls
2,7,0.777,nan,81886314496.0,box_inpainting,breastplate_armor,wls
2,8,0.888,nan,132237451264.0,box_inpainting,breastplate_armor,wls
2,9,0.999,nan,211159908352.0,box_inpainting,breastplate_armor,wls
3,0,0.0,nan,118554492928.0,box_inpainting,breastplate_armor,wls
3,1,0.111,nan,118065422336.0,box_inpainting,breastplate_armor,wls
3,2,0.222,nan,117495496704.0,box_inpainting,breastplate_armor,wls
3,3,0.333,nan,116809547776.0,box_inpainting,breastplate_armor,wls
3,4,0.444,nan,115975421952.0,box_inpainting,breastplate_armor,wls
3,5,0.555,nan,114966093824.0,box_inpainting,breastplate_armor,wls
3,6,0.666,nan,113763704832.0,box_inpainting,breastplate_armor,wls
3,7,0.777,nan,112375152640.0,box_inpainting,breastplate_armor,wls
3,8,0.888,nan,110961975296.0,box_inpainting,breastplate_armor,wls
3,9,0.999,nan,110961786880.0,box_inpainting,breastplate_armor,wls
0,0,0.0,nan,0.047321468591690063,box_inpainting,breastplate_armor,model
0,1,0.111,nan,0.03967740386724472,box_inpainting,breastplate_armor,model
0,2,0.222,nan,0.02933703176677227,box_inpainting,breastplate_armor,model
0,3,0.333,nan,0.024236885830760002,box_inpainting,breastplate_armor,model
0,4,0.444,nan,0.021461164578795433,box_inpainting,breastplate_armor,model
0,5,0.555,nan,0.017135797068476677,box_inpainting,breastplate_armor,model
