stage,step,tau,sigma_tau,mse_x1,task,image,method
0,0,0.0,nan,1.7830346822738647,box_inpainting,junco,wls
0,1,0.111,nan,2.1557531356811523,box_inpainting,junco,wls
0,2,0.222,nan,2.977743148803711,box_inpainting,junco,wls
0,3,0.333,nan,4.599244117736816,box_inpainting,junco,wls
0,4,0.444,nan,7.554574012756348,box_inpainting,junco,wls
0,5,0.555,nan,17.52184295654297,box_inpainting,junco,wls
0,6,0.666,nan,46.838539123535156,box_inpainting,junco,wls
0,7,0.777,nan,122.59519958496094,box_inpainting,junco,wls
0,8,0.888,nan,330.29107666015625,box_inpainting,junco,wls
0,9,0.999,nan,931.8974609375,box_inpainting,junco,wls
1,0,0.0,nan,224.8148193359375,box_inpainting,junco,wls
1,1,0.111,nan,296.99591064453125,box_inpainting,junco,wls
1,2,0.222,nan,411.790283203125,box_inpainting,junco,wls
1,3,0.333,nan,593.4495849609375,box_inpainting,junco,wls
1,4,0.444,nan,885.1865234375,box_inpainting,junco,wls
1,5,0.555,nan,1357.415771484375,box_inpainting,junco,wls
1,6,0.666,nan,2127.64892578125,box_inpainting,junco,wls
1,7,0.777,nan,3391.73583984375,box_inpainting,junco,wls
1,8,0.888,nan,5470.65625,box_inpainting,junco,wls
1,9,0.999,nan,8895.185546875,box_inpainting,junco,wls
2,0,0.0,nan,3734.93408203125,box_inpainting,junco,wls
2,1,0.111,nan,4137.88818359375,box_inpainting,junco,wls
2,2,0.222,nan,4606.74462890625,box_inpainting,junco,wls
2,3,0.333,nan,5145.66455078125,box_inpainting,junco,wls
2,4,0.444,nan,5757.7431640625,box_inpainting,junco,wls
2,5,0.555,nan,6443.62109375,box_inpainting,junco,wls
2,6,0.666,nan,7201.50146484375,box_inpainting,junco,wls
2,7,0.777,nan,8027.048828125,box_inpainting,junco,wls
2,8,0.888,nan,8914.0830078125,box_inpainting,junco,wls
2,9,0.999,nan,9855.8662109375,box_inpainting,junco,wls
3,0,0.0,nan,6100.70068359375,box_inpainting,junco,wls
3,1,0.111,nan,6100.64208984375,box_inpainting,junco,wls
3,2,0.222,nan,6087.18115234375,box_inpainting,junco,wls
3,3,0.333,nan,6072.7919921875,box_inpainting,junco,wls
3,4,0.444,nan,6057.0126953125,box_inpainting,junco,wls
3,5,0.555,nan,6041.09912109375,box_inpainting,junco,wls
3,6,0.666,nan,6024.00927734375,box_inpainting,junco,wls
3,7,0.777,nan,6006.0380859375,box_inpainting,junco,wls
3,8,0.888,nan,5988.85546875,box_inpainting,junco,wls
3,9,0.999,nan,5988.8818359375,box_inpainting,junco,wls
0,0,0.0,nan,0.0264600720256567,box_inpainting,junco,model
0,1,0.111,nan,0.033237703144550323,box_inpainting,junco,model
0,2,0.222,nan,0.042732834815979004,box_inpainting,junco,model
0,3,0.333,nan,0.049112580716609955,box_inpainting,junco,model
0,4,0.444,nan,0.05125090107321739,box_inpainting,junco,model
0,5,0.555,nan,0.05064499005675316,box_inpainting,junco,model
0,6,0.666,nan,0.04793437570333481,box_inpainting,junco,model
0,7,0.777,nan,0.04400414228439331,box_inpainting,junco,model
0,8,0.888,nan,0.043056271970272064,box_inpainting,junco,model
0,9,0.999,nan,0.0390283577144146,box_inpainting,junco,model
1,0,0.0,nan,0.043157704174518585,box_inpainting,junco,model
1,1,0.111,nan,0.04349546879529953,box_inpainting,junco,model
1,2,0.222,nan,0.0442875400185585,box_inpainting,junco,model
1,3,0.333,nan,0.047169726341962814,box_inpainting,junco,model
1,4,0.444,nan,0.04640477895736694,box_inpainting,junco,model
1,5,0.555,nan,0.04683322831988335,box_inpainting,junco,model
1,6,0.666,nan,0.047623246908187866,box_inpainting,junco,model
1,7,0.777,nan,0.04704128950834274,box_inpainting,junco,model
1,8,0.888,nan,0.04673071950674057,box_inpainting,junco,model
1,9,0.999,nan,0.04795164614915848,box_inpainting,junco,model
2,0,0.0,nan,0.04864632710814476,box_inpainting,junco,model
2,1,0.111,nan,0.049777641892433167,box_inpainting,junco,model
2,2,0.222,nan,0.051369957625865936,box_inpainting,junco,model
2,3,0.333,nan,0.052362874150276184,box_inpainting,junco,model
2,4,0.444,nan,0.05299527570605278,box_inpainting,junco,model
2,5,0.555,nan,0.05365441367030144,box_inpainting,junco,model
2,6,0.666,nan,0.05422838777303696,box_inpainting,junco,model
2,7,0.777,nan,0.05524797365069389,box_inpainting,junco,model
2,8,0.888,nan,0.056355319917201996,box_inpainting,junco,model
2,9,0.999,nan,0.05744483694434166,box_inpainting,junco,model
3,0,0.0,nan,0.058740586042404175,box_inpainting,junco,model
3,1,0.111,nan,0.05917632207274437,box_inpainting,junco,model
3,2,0.222,nan,0.05964253842830658,box_inpainting,junco,model
3,3,0.333,nan,0.06007864698767662,box_inpainting,junco,model
3,4,0.444,nan,0.060594212263822556,box_inpainting,junco,model
3,5,0.555,nan,0.06096457690000534,box_inpainting,junco,model
3,6,0.666,nan,0.06130615621805191,box_inpainting,junco,model
3,7,0.777,nan,0.061562132090330124,box_inpainting,junco,model
3,8,0.888,nan,0.0616636648774147,box_inpainting,junco,model
3,9,0.999,nan,0.0616670697927475,box_inpainting,junco,model
0,0,0.0,1.0,0.04513820260763168,box_inpainting,junco,alg2
0,1,0.111,0.9722500000000001,0.04489917680621147,box_inpainting,junco,alg2
0,2,0.222,0.9445,0.0437774732708931,box_inpainting,junco,alg2
0,3,0.333,0.9167500000000001,0.043917249888181686,box_inpainting,junco,alg2
0,4,0.444,0.889,0.059306394308805466,box_inpainting,junco,alg2
0,5,0.555,0.86125,0.09941220283508301,box_inpainting,junco,alg2
0,6,0.666,0.8335,0.15873122215270996,box_inpainting,junco,alg2
0,7,0.777,0.80575,0.2723999619483948,box_inpainting,junco,alg2
0,8,0.888,0.778,0.42039594054222107,box_inpainting,junco,alg2
0,9,0.999,0.75025,0.6532508730888367,box_inpainting,junco,alg2
1,0,0.0,0.8571428571428572,2.8838043212890625,box_inpainting,junco,alg2
1,1,0.111,0.8175000000000001,2.8363771438598633,box_inpainting,junco,alg2
1,2,0.222,0.7778571428571429,2.7468338012695312,box_inpainting,junco,alg2
1,3,0.333,0.7382142857142858,2.62213134765625,box_inpainting,junco,alg2
1,4,0.444,0.6985714285714286,2.44150447845459,box_inpainting,junco,alg2
1,5,0.555,0.6589285714285714,2.2551686763763428,box_inpainting,junco,alg2
1,6,0.666,0.6192857142857142,2.0956199169158936,box_inpainting,junco,alg2
1,7,0.777,0.5796428571428571,1.9725663661956787,box_inpainting,junco,alg2
1,8,0.888,0.54,1.8208659887313843,box_inpainting,junco,alg2
1,9,0.999,0.5003571428571428,1.6586863994598389,box_inpainting,junco,alg2
2,0,0.0,0.6666666666666667,2.0494115352630615,box_inpainting,junco,alg2
2,1,0.111,0.6204166666666668,2.0339508056640625,box_inpainting,junco,alg2
2,2,0.222,0.5741666666666667,2.4521164894104004,box_inpainting,junco,alg2
2,3,0.333,0.5279166666666668,2.801326274871826,box_inpainting,junco,alg2
2,4,0.444,0.48166666666666674,2.6196932792663574,box_inpainting,junco,alg2
2,5,0.555,0.4354166666666667,2.281014919281006,box_inpainting,junco,alg2
2,6,0.666,0.38916666666666666,2.0102405548095703,box_inpainting,junco,alg2
2,7,0.777,0.34291666666666665,1.7698819637298584,box_inpainting,junco,alg2
2,8,0.888,0.2966666666666667,1.5825755596160889,box_inpainting,junco,alg2
2,9,0.999,0.2504166666666667,1.4525917768478394,box_inpainting,junco,alg2
3,0,0.0,0.3999999999999999,1.6044321060180664,box_inpainting,junco,alg2
3,1,0.111,0.3555999999999999,1.4537343978881836,box_inpainting,junco,alg2
3,2,0.222,0.3111999999999999,1.3257529735565186,box_inpainting,junco,alg2
3,3,0.333,0.2668,1.223097562789917,box_inpainting,junco,alg2
3,4,0.444,0.22239999999999996,1.1433618068695068,box_inpainting,junco,alg2
3,5,0.555,0.17799999999999994,1.085923671722412,box_inpainting,junco,alg2
3,6,0.666,0.13359999999999997,1.0449094772338867,box_inpainting,junco,alg2
3,7,0.777,0.08919999999999997,1.019332766532898,box_inpainting,junco,alg2
3,8,0.888,0.044799999999999986,1.0071845054626465,box_inpainting,junco,alg2
3,9,0.999,0.0004000000000000003,1.0071845054626465,box_inpainting,junco,alg2
