alg,stage,step,tau,sigma_tau,mse_total,mse_obs,mse_hole,meas_resid,x0_rms,x0hat_rms,mse_x1hat
rebuild_B,0,0,0.0,1.0,7.921494960784912,0.007989153265953064,31.662012100219727,0.4914455711841583,0.7509024143218994,0.7606925368309021,nan
rebuild_B,0,1,0.111,0.9722500000000001,7.152984619140625,0.0079946955665946,28.58795738220215,0.49141424894332886,0.8875423073768616,0.8361138701438904,130.65750122070312
rebuild_B,0,2,0.222,0.9445,1.0933477878570557,0.00795033760368824,4.3495402336120605,0.49142614006996155,0.8111991882324219,0.8289724588394165,32.44887924194336
rebuild_B,0,3,0.333,0.9167500000000001,1.1915411949157715,0.008028566837310791,4.742079257965088,0.49143946170806885,0.9666656851768494,0.8823457956314087,15.61802864074707
rebuild_B,0,4,0.444,0.889,1.8009361028671265,0.007958821021020412,7.179868221282959,0.4914417266845703,2.0410380363464355,1.4845653772354126,33.744598388671875
rebuild_B,0,5,0.555,0.86125,7.181217193603516,0.00801931507885456,28.7008113861084,0.4915201961994171,7.297401428222656,5.190744876861572,186.86312866210938
rebuild_B,0,6,0.666,0.8335,13.473712921142578,0.008088571950793266,53.87058639526367,0.4914412498474121,24.17575454711914,17.098257064819336,1288.193115234375
rebuild_B,0,7,0.777,0.80575,20.88330841064453,0.00802081823348999,83.50916290283203,0.4915238320827484,81.865966796875,57.28213882446289,10433.357421875
rebuild_B,0,8,0.888,0.778,24.406967163085938,0.008053125813603401,97.60370635986328,0.4923515021800995,302.1378479003906,204.1553497314453,117955.796875
rebuild_B,0,9,0.999,0.75025,26.984107971191406,0.00835321843624115,107.91136932373047,0.5117629170417786,1322.4815673828125,849.4439086914062,2019422.375
rebuild_B,1,0,0.0,0.8571428571428572,28.33513641357422,0.005245252512395382,113.3248062133789,0.37718188762664795,1.4611587524414062,1.0547332763671875,nan
rebuild_B,1,1,0.111,0.8175000000000001,12.308799743652344,0.005297001451253891,49.21931076049805,0.3770831823348999,9.386545181274414,5.93636417388916,271.2703552246094
rebuild_B,1,2,0.222,0.7778571428571429,20.52721405029297,0.00527043966576457,82.09304809570312,0.3773932158946991,49.7490119934082,31.833335876464844,3967.25732421875
rebuild_B,1,3,0.333,0.7382142857142858,35.663917541503906,0.00560034578666091,142.6388702392578,0.38705840706825256,274.8059997558594,169.2572479248047,88677.5234375
rebuild_B,1,4,0.444,0.6985714285714286,117.25865173339844,0.031963203102350235,468.938720703125,0.7999415993690491,1879.14892578125,1073.98681640625,3483066.0
rebuild_B,1,5,0.555,0.6589285714285714,1502.481689453125,3.356273651123047,5999.85693359375,7.793882369995117,17316.2578125,9044.01953125,255468464.0
rebuild_B,1,6,0.666,0.6192857142857142,62450.09375,760.1614379882812,247519.890625,116.6317138671875,218531.59375,103709.296875,34894028800.0
rebuild_B,1,7,0.777,0.5796428571428571,6417663.0,313357.375,24730582.0,2361.66064453125,3754527.75,1613316.125,8720563568640.0
rebuild_B,1,8,0.888,0.54,1545232128.0,232243520.0,5484198400.0,64205.37890625,87011680.0,33719280.0,3915451637694464.0
rebuild_B,1,9,0.999,0.5003571428571428,906821107712.0,305593745408.0,2710503161856.0,2327809.0,2695618816.0,937572480.0,3.1012143275840635e+18
rebuild_B,2,0,0.0,0.6666666666666667,302820.0,47361.23046875,1069196.375,816.8043823242188,448473.4375,240660.390625,nan
rebuild_B,2,1,0.111,0.6204166666666668,65602912.0,10620686.0,230549584.0,12244.0458984375,5512774.5,2636956.75,22118148341760.0
rebuild_B,2,2,0.222,0.5741666666666667,27493888000.0,4777402368.0,95643344896.0,260530.5625,97186304.0,41394932.0,5667089087987712.0
rebuild_B,2,3,0.333,0.5279166666666668,21687231840256.0,4221661085696.0,74083932831744.0,7794368.5,2425316608.0,914749632.0,2.8589770725780357e+18
rebuild_B,2,4,0.444,0.48166666666666674,3.1193428347846656e+16,7165592440143872.0,1.0327692962850406e+17,324488672.0,84525170688.0,28048447488.0,2.7614192662191454e+21
rebuild_B,2,5,0.555,0.4354166666666667,7.926710937344121e+19,2.2976578048518783e+19,2.4813868135797595e+20,18654482432.0,4068770840576.0,1177373900800.0,4.989707650740138e+24
rebuild_B,2,6,0.666,0.38916666666666666,3.451161717073599e+23,1.3717551034524738e+23,9.689380747289042e+23,1469657120768.0,267331498409984.0,66741463941120.0,1.6409632051570038e+28
rebuild_B,2,7,0.777,0.34291666666666665,3.025733422466334e+25,1.7347076013400495e+25,6.898809271755081e+25,16780861898752.0,2.3848186015645696e+16,5047154582224896.0,9.634173575954214e+31
rebuild_B,2,8,0.888,0.2966666666666667,nan,nan,nan,nan,nan,nan,nan
rebuild_B,2,9,0.999,0.2504166666666667,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,0,0.0,0.3999999999999999,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,1,0.111,0.3555999999999999,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,2,0.222,0.3111999999999999,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,3,0.333,0.2668,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,4,0.444,0.22239999999999996,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,5,0.555,0.17799999999999994,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,6,0.666,0.13359999999999997,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,7,0.777,0.08919999999999997,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,8,0.888,0.044799999999999986,nan,nan,nan,nan,nan,nan,nan
rebuild_B,3,9,0.999,0.0004000000000000003,nan,nan,nan,nan,nan,nan,nan
