image,stage,step,tau,sigma_tau,resolution,mse_wls,mse_model,mse_alg2
breastplate_armor,0,0,0.0,1.0,32,7.752292633056641,0.2367366999387741,3.619906566339204e-13
crane_structure,0,0,0.0,1.0,32,8.164359092712402,0.274311363697052,2.1392433722892956e-13
ibex_horns,0,0,0.0,1.0,32,7.465041637420654,0.13460764288902283,1.6199399406526677e-13
junco,0,0,0.0,1.0,32,7.350055694580078,0.045455798506736755,3.676270374816486e-14
lakeside_beach,0,0,0.0,1.0,32,7.850903511047363,0.050089187920093536,5.042830980269211e-14
sea_anemone,0,0,0.0,1.0,32,7.964532375335693,0.24709820747375488,4.758569840251914e-13
shetland_sheepdog,0,0,0.0,1.0,32,8.01799201965332,0.12838894128799438,2.0444418185293356e-13
breastplate_armor,0,1,0.111,0.9722500000000001,32,7.703585624694824,0.1632615625858307,5.124463520189693e-09
crane_structure,0,1,0.111,0.9722500000000001,32,8.215892791748047,0.33698534965515137,5.281385107025471e-09
ibex_horns,0,1,0.111,0.9722500000000001,32,7.482133865356445,0.14209195971488953,4.9274486713102306e-09
junco,0,1,0.111,0.9722500000000001,32,7.369765281677246,0.04242005944252014,4.906343775701316e-09
lakeside_beach,0,1,0.111,0.9722500000000001,32,7.916192054748535,0.09246160835027695,5.223565135992203e-09
sea_anemone,0,1,0.111,0.9722500000000001,32,7.931208610534668,0.22469750046730042,5.199237484987407e-09
shetland_sheepdog,0,1,0.111,0.9722500000000001,32,8.02775764465332,0.12475323677062988,5.300869077018433e-09
breastplate_armor,0,2,0.222,0.9445,32,7.682374000549316,0.11040721833705902,2.17204139119076e-08
crane_structure,0,2,0.222,0.9445,32,8.190692901611328,0.3360884189605713,2.2383726872021725e-08
ibex_horns,0,2,0.222,0.9445,32,7.488616466522217,0.14829909801483154,2.0884623808115066e-08
junco,0,2,0.222,0.9445,32,7.387023448944092,0.04411229491233826,2.0794971078430535e-08
lakeside_beach,0,2,0.222,0.9445,32,7.929286003112793,0.11102434247732162,2.2139758470984816e-08
sea_anemone,0,2,0.222,0.9445,32,7.885069847106934,0.18697893619537354,2.2037067282099088e-08
shetland_sheepdog,0,2,0.222,0.9445,32,8.029667854309082,0.124564528465271,2.2467517624136235e-08
breastplate_armor,0,3,0.333,0.9167500000000001,32,7.678866386413574,0.07316391915082932,5.187184726196392e-08
crane_structure,0,3,0.333,0.9167500000000001,32,8.127477645874023,0.28708529472351074,5.346071674239283e-08
ibex_horns,0,3,0.333,0.9167500000000001,32,7.479876518249512,0.14881162345409393,4.987675694678728e-08
junco,0,3,0.333,0.9167500000000001,32,7.399105072021484,0.04882459342479706,4.966344135937106e-08
lakeside_beach,0,3,0.333,0.9167500000000001,32,7.912459373474121,0.10271832346916199,5.287396476205686e-08
sea_anemone,0,3,0.333,0.9167500000000001,32,7.84604549407959,0.14421938359737396,5.262885949264273e-08
shetland_sheepdog,0,3,0.333,0.9167500000000001,32,8.022178649902344,0.12456386536359787,5.3657288390240865e-08
breastplate_armor,0,4,0.444,0.889,32,7.67485237121582,0.05999933183193207,9.806139900092603e-08
crane_structure,0,4,0.444,0.889,32,8.063968658447266,0.23199722170829773,1.0106082726224486e-07
ibex_horns,0,4,0.444,0.889,32,7.455608367919922,0.14426034688949585,9.428690361801273e-08
junco,0,4,0.444,0.889,32,7.400612831115723,0.05530748516321182,9.38866833166685e-08
lakeside_beach,0,4,0.444,0.889,32,7.883639335632324,0.08515778183937073,9.995409300245228e-08
sea_anemone,0,4,0.444,0.889,32,7.810023307800293,0.10679404437541962,9.949154389232717e-08
shetland_sheepdog,0,4,0.444,0.889,32,8.00503158569336,0.11965067684650421,1.0143563144993095e-07
breastplate_armor,0,5,0.555,0.86125,32,7.662417411804199,0.055292364209890366,1.632453177080606e-07
crane_structure,0,5,0.555,0.86125,32,8.004547119140625,0.17925511300563812,1.6823764781292994e-07
ibex_horns,0,5,0.555,0.86125,32,7.427297115325928,0.13813906908035278,1.5696309674240183e-07
junco,0,5,0.555,0.86125,32,7.390191555023193,0.06103275343775749,1.5629464655830816e-07
lakeside_beach,0,5,0.555,0.86125,32,7.853053092956543,0.06790958344936371,1.6639546629448887e-07
sea_anemone,0,5,0.555,0.86125,32,7.786883354187012,0.08197196573019028,1.6562648852413986e-07
shetland_sheepdog,0,5,0.555,0.86125,32,7.981481075286865,0.11137337982654572,1.6886099274415756e-07
breastplate_armor,0,6,0.666,0.8335,32,7.651790142059326,0.051614608615636826,2.5096807121371967e-07
crane_structure,0,6,0.666,0.8335,32,7.958953857421875,0.13676664233207703,2.5864756025839597e-07
ibex_horns,0,6,0.666,0.8335,32,7.403615474700928,0.13114003837108612,2.413153197267093e-07
junco,0,6,0.666,0.8335,32,7.374229431152344,0.06417782604694366,2.402818211066915e-07
lakeside_beach,0,6,0.666,0.8335,32,7.829139709472656,0.05383199080824852,2.5581368845450925e-07
sea_anemone,0,6,0.666,0.8335,32,7.772143840789795,0.06773510575294495,2.5462912844886887e-07
shetland_sheepdog,0,6,0.666,0.8335,32,7.95819616317749,0.10202857106924057,2.59607645602955e-07
