task,image,stage,step,tau,T,sigma_tau,s_k,e_k,resolution,mse_wls,mse_model
box_inpainting,breastplate_armor,0,0,0.0,0.0,1.0,0.0,0.25,32,7.752292633056641,0.2367366999387741
box_inpainting,crane_structure,0,0,0.0,0.0,1.0,0.0,0.25,32,8.164359092712402,0.274311363697052
box_inpainting,ibex_horns,0,0,0.0,0.0,1.0,0.0,0.25,32,7.465041637420654,0.13460764288902283
box_inpainting,junco,0,0,0.0,0.0,1.0,0.0,0.25,32,7.350055694580078,0.04545579478144646
box_inpainting,lakeside_beach,0,0,0.0,0.0,1.0,0.0,0.25,32,7.850902557373047,0.050089187920093536
box_inpainting,sea_anemone,0,0,0.0,0.0,1.0,0.0,0.25,32,7.964532375335693,0.24709820747375488
box_inpainting,shetland_sheepdog,0,0,0.0,0.0,1.0,0.0,0.25,32,8.01799201965332,0.1283889263868332
box_inpainting,breastplate_armor,0,1,0.111,19.425,0.9722500000000001,0.0,0.25,32,7.703584671020508,0.1632615625858307
box_inpainting,crane_structure,0,1,0.111,19.425,0.9722500000000001,0.0,0.25,32,8.21589469909668,0.33698534965515137
box_inpainting,ibex_horns,0,1,0.111,19.425,0.9722500000000001,0.0,0.25,32,7.482133865356445,0.14209195971488953
box_inpainting,junco,0,1,0.111,19.425,0.9722500000000001,0.0,0.25,32,7.369765281677246,0.04242005944252014
box_inpainting,lakeside_beach,0,1,0.111,19.425,0.9722500000000001,0.0,0.25,32,7.916191101074219,0.09246160835027695
box_inpainting,sea_anemone,0,1,0.111,19.425,0.9722500000000001,0.0,0.25,32,7.931208610534668,0.22469747066497803
box_inpainting,shetland_sheepdog,0,1,0.111,19.425,0.9722500000000001,0.0,0.25,32,8.02775764465332,0.12475322932004929
box_inpainting,breastplate_armor,0,2,0.222,38.85,0.9445,0.0,0.25,32,7.682374000549316,0.11040721833705902
box_inpainting,crane_structure,0,2,0.222,38.85,0.9445,0.0,0.25,32,8.190692901611328,0.3360884189605713
box_inpainting,ibex_horns,0,2,0.222,38.85,0.9445,0.0,0.25,32,7.488616466522217,0.14829909801483154
box_inpainting,junco,0,2,0.222,38.85,0.9445,0.0,0.25,32,7.38702392578125,0.04411229491233826
box_inpainting,lakeside_beach,0,2,0.222,38.85,0.9445,0.0,0.25,32,7.929286003112793,0.11102434247732162
box_inpainting,sea_anemone,0,2,0.222,38.85,0.9445,0.0,0.25,32,7.885069847106934,0.18697896599769592
box_inpainting,shetland_sheepdog,0,2,0.222,38.85,0.9445,0.0,0.25,32,8.029667854309082,0.1245645210146904
box_inpainting,breastplate_armor,0,3,0.333,58.275000000000006,0.9167500000000001,0.0,0.25,32,7.678866386413574,0.07316391915082932
box_inpainting,crane_structure,0,3,0.333,58.275000000000006,0.9167500000000001,0.0,0.25,32,8.127477645874023,0.28708529472351074
box_inpainting,ibex_horns,0,3,0.333,58.275000000000006,0.9167500000000001,0.0,0.25,32,7.479876518249512,0.14881163835525513
box_inpainting,junco,0,3,0.333,58.275000000000006,0.9167500000000001,0.0,0.25,32,7.399105072021484,0.04882458969950676
box_inpainting,lakeside_beach,0,3,0.333,58.275000000000006,0.9167500000000001,0.0,0.25,32,7.912459373474121,0.10271832346916199
